category_id,breadcrumb,canonical_breadcrumb,canonical_category_id,action
6407109,Auto & Motorrad: Teile > Auto-Ersatz- & -Reparaturteile > Kühlung > Frostschutzmittel,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Kühlung > Frostschutzmittel,6407109,keep
6407111,Auto & Motorrad: Teile > Auto-Tuning & -Styling,Auto & Motorrad > Auto-Tuning & -Styling,6407111,keep
6407112,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Getriebe,Auto & Motorrad > Auto-Tuning & -Styling > Sport-Getriebe,6407112,keep
6407113,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Getriebe > Antriebswellen,Auto & Motorrad > Auto-Tuning & -Styling > Sport-Getriebe > Antriebswellen,6407113,keep
6407114,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sportfederung,Auto & Motorrad > Auto-Tuning & -Styling > Sportfederung,6407114,keep
6407115,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sportfederung > Domlager,Auto & Motorrad > Auto-Tuning & -Styling > Sportfederung > Domlager,6407115,keep
6407116,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik","Auto & Motorrad > Autoelektronik, GPS & Sicherheitstechnik",6407116,keep
6407117,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment","Auto & Motorrad > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment",6407117,keep
6407118,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Auto DVD Player","Auto & Motorrad > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Auto DVD Player",6407118,keep
6407119,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Autoradios","Auto & Motorrad > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Autoradios",6407119,keep
6406754,Auto & Motorrad: Teile > Autoteile & Zubehör,Auto & Motorrad > Autoteile & Zubehör,6406754,keep
6407120,Auto & Motorrad: Teile > Autoteile & Zubehör > Auspuff- & Abgassysteme,Auto & Motorrad > Autoteile & Zubehör > Auspuff- & Abgassysteme,6407120,keep
6407121,Auto & Motorrad: Teile > Autoteile & Zubehör > Auspuff- & Abgassysteme > Lambdasonden & O2-Sensoren,Auto & Motorrad > Autoteile & Zubehör > Auspuff- & Abgassysteme > Lambdasonden & O2-Sensoren,6407121,keep
6407122,Auto & Motorrad: Teile > Autoteile & Zubehör > Autoelektrik,Auto & Motorrad > Autoteile & Zubehör > Autoelektrik,6407122,keep
6407123,Auto & Motorrad: Teile > Autoteile & Zubehör > Autoelektrik > Anlasser,Auto & Motorrad > Autoteile & Zubehör > Autoelektrik > Anlasser,6407123,keep
6407124,Auto & Motorrad: Teile > Autoteile & Zubehör > Autoelektrik > Batterien,Auto & Motorrad > Autoteile & Zubehör > Autoelektrik > Batterien,6407124,keep
6407125,Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile,Auto & Motorrad > Autoteile & Zubehör > Bremsen & Bremsenteile,6407125,keep
6407126,Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsbeläge,Auto & Motorrad > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsbeläge,6407126,keep
6407127,Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsscheiben,Auto & Motorrad > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsscheiben,6407127,keep
6406755,Auto & Motorrad: Teile > Autoteile & Zubehör > Federung & Lenkung,Auto & Motorrad > Autoteile & Zubehör > Federung & Lenkung,6406755,keep
6407128,Auto & Motorrad: Teile > Autoteile & Zubehör > Federung & Lenkung > Lenkgetriebe & -gehäuse,Auto & Motorrad > Autoteile & Zubehör > Federung & Lenkung > Lenkgetriebe & -gehäuse,6407128,keep
6407129,Auto & Motorrad: Teile > Autoteile & Zubehör > Federung & Lenkung > Lenksäulen,Auto & Motorrad > Autoteile & Zubehör > Federung & Lenkung > Lenksäulen,6407129,keep
6407130,"Auto & Motorrad: Teile > Autoteile & Zubehör > Federung & Lenkung > Radlager, -naben & Buchsen","Auto & Motorrad > Autoteile & Zubehör > Federung & Lenkung > Radlager, -naben & Buchsen",6407130,keep
6407131,Auto & Motorrad: Teile > Autoteile & Zubehör > Federung & Lenkung > Stoßdämpfer- & Federbeinhalterungen,Auto & Motorrad > Autoteile & Zubehör > Federung & Lenkung > Stoßdämpfer- & Federbeinhalterungen,6407131,keep
6407132,Auto & Motorrad: Teile > Autoteile & Zubehör > Getriebe & Antriebstechnik,Auto & Motorrad > Autoteile & Zubehör > Getriebe & Antriebstechnik,6407132,keep
6407133,"Auto & Motorrad: Teile > Autoteile & Zubehör > Getriebe & Antriebstechnik > Antriebswellengelenke, Achsmanschetten & Teile","Auto & Motorrad > Autoteile & Zubehör > Getriebe & Antriebstechnik > Antriebswellengelenke, Achsmanschetten & Teile",6407133,keep
6407489,Auto & Motorrad: Teile > Autoteile & Zubehör > Getriebe & Antriebstechnik > Kupplungsteile & -sätze,Auto & Motorrad > Autoteile & Zubehör > Getriebe & Antriebstechnik > Kupplungsteile & -sätze,6407489,keep
6407490,Auto & Motorrad: Teile > Autoteile & Zubehör > Getriebe & Antriebstechnik > Kupplungsteile & -sätze > Kupplungssätze,Auto & Motorrad > Autoteile & Zubehör > Getriebe & Antriebstechnik > Kupplungsteile & -sätze > Kupplungssätze,6407490,keep
6406756,Auto & Motorrad: Teile > Autoteile & Zubehör > Innenausstattung,Auto & Motorrad > Autoteile & Zubehör > Innenausstattung,6406756,keep
6407134,"Auto & Motorrad: Teile > Autoteile & Zubehör > Innenausstattung > Fußmatten, Teppiche & Laderaumwannen","Auto & Motorrad > Autoteile & Zubehör > Innenausstattung > Fußmatten, Teppiche & Laderaumwannen",6407134,keep
6407135,Auto & Motorrad: Teile > Autoteile & Zubehör > Innenausstattung > Sonnen- & Sichtschutze,Auto & Motorrad > Autoteile & Zubehör > Innenausstattung > Sonnen- & Sichtschutze,6407135,keep
6407491,"Auto & Motorrad: Teile > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör","Auto & Motorrad > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör",6407491,keep
6407492,"Auto & Motorrad: Teile > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Außenspiegel & Teile","Auto & Motorrad > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Außenspiegel & Teile",6407492,keep
6407493,"Auto & Motorrad: Teile > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Außenspiegel & Teile > Außenspiegel","Auto & Motorrad > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Außenspiegel & Teile > Außenspiegel",6407493,keep
6407494,"Auto & Motorrad: Teile > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Schutzvorrichtungen & Schmutzfänger","Auto & Motorrad > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Schutzvorrichtungen & Schmutzfänger",6407494,keep
6407495,"Auto & Motorrad: Teile > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Schutzvorrichtungen & Schmutzfänger > Weitere Schutzvorrichtungen & Protektoren","Auto & Motorrad > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Schutzvorrichtungen & Schmutzfänger > Weitere Schutzvorrichtungen & Protektoren",6407495,keep
6407136,Auto & Motorrad: Teile > Autoteile & Zubehör > Luft- & Kraftstoffversorgung,Auto & Motorrad > Autoteile & Zubehör > Luft- & Kraftstoffversorgung,6407136,keep
6407138,Auto & Motorrad: Teile > Autoteile & Zubehör > Luft- & Kraftstoffversorgung > Lufteinlass- & Kraftstoffsensoren,Auto & Motorrad > Autoteile & Zubehör > Luft- & Kraftstoffversorgung > Lufteinlass- & Kraftstoffsensoren,6407138,keep
6406757,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile,Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile,6406757,keep
6407496,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile,Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile,6407496,keep
6407497,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile > Dichtungen & Dichtungsringe,Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile > Dichtungen & Dichtungsringe,6407497,keep
6407498,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile > Dichtungssätze,Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile > Dichtungssätze,6407498,keep
6407139,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Inspektionspakete & -kits,Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile > Inspektionspakete & -kits,6407139,keep
6407141,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Ölfilter,Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile > Ölfilter,6407141,keep
6467449,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Ölpumpen & Teile,Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile > Ölpumpen & Teile,6467449,keep
6407499,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Ventilsteuerungsteile,Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile > Ventilsteuerungsteile,6407499,keep
6407500,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Ventilsteuerungsteile > Nockenwellen,Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile > Ventilsteuerungsteile > Nockenwellen,6407500,keep
6407142,Auto & Motorrad: Teile > Autoteile & Zubehör > Motorkühlung,Auto & Motorrad > Autoteile & Zubehör > Motorkühlung,6407142,keep
6407143,Auto & Motorrad: Teile > Autoteile & Zubehör > Motorkühlung > Ausgleichsbehälter,Auto & Motorrad > Autoteile & Zubehör > Motorkühlung > Ausgleichsbehälter,6407143,keep
6406758,Auto & Motorrad: Teile > Erste Hilfe- & Notfallausrüstungen,Auto & Motorrad > Erste Hilfe- & Notfallausrüstungen,6406758,keep
6406759,Auto & Motorrad: Teile > Erste Hilfe- & Notfallausrüstungen > Sicherheit,Auto & Motorrad > Erste Hilfe- & Notfallausrüstungen > Sicherheit,6406759,keep
6467208,Auto & Motorrad > KFZ-Ersatzteile,Auto & Motorrad > KFZ-Ersatzteile,6467208,keep
6470665,"Auto & Motorrad > KFZ-Ersatzteile > Antrieb, Motoren & Getriebe","Auto & Motorrad > KFZ-Ersatzteile > Antrieb, Motoren & Getriebe",6470665,keep
6470666,"Auto & Motorrad > KFZ-Ersatzteile > Antrieb, Motoren & Getriebe > Luft- & Kraftstoffversorgung","Auto & Motorrad > KFZ-Ersatzteile > Antrieb, Motoren & Getriebe > Luft- & Kraftstoffversorgung",6470666,keep
6467351,Auto & Motorrad > KFZ-Ersatzteile > Karosserieteile,Auto & Motorrad > KFZ-Ersatzteile > Karosserieteile,6467351,keep
6467477,Auto & Motorrad > KFZ-Ersatzteile > Karosserieteile > Außenspiegel & Zubehör,Auto & Motorrad > KFZ-Ersatzteile > Karosserieteile > Außenspiegel & Zubehör,6467477,keep
6467352,Auto & Motorrad > KFZ-Ersatzteile > Karosserieteile > Kraftrad-Verkleidungen,Auto & Motorrad > KFZ-Ersatzteile > Karosserieteile > Kraftrad-Verkleidungen,6467352,keep
6467250,Auto & Motorrad > KFZ-Ersatzteile > KFZ-Federungen & Dämpfungen,Auto & Motorrad > KFZ-Ersatzteile > KFZ-Federungen & Dämpfungen,6467250,keep
6467251,Auto & Motorrad > KFZ-Ersatzteile > KFZ-Federungen & Dämpfungen > Federbeine & Stoßdämpfer,Auto & Motorrad > KFZ-Ersatzteile > KFZ-Federungen & Dämpfungen > Federbeine & Stoßdämpfer,6467251,keep
6467209,Auto & Motorrad > KFZ-Ersatzteile > KFZ-Klimaanlagen & Zubehör,Auto & Motorrad > KFZ-Ersatzteile > KFZ-Klimaanlagen & Zubehör,6467209,keep
6407096,Auto & Motorrad > KFZ-Pflege & -Wartung,Auto & Motorrad > KFZ-Pflege & -Wartung,6407096,keep
6467371,Auto & Motorrad > KFZ-Pflege & -Wartung > KFZ-Außenreinigung  & -pflege,Auto & Motorrad > KFZ-Pflege & -Wartung > KFZ-Außenreinigung & -pflege,6467371,keep
6467372,Auto & Motorrad > KFZ-Pflege & -Wartung > KFZ-Außenreinigung  & -pflege > Farben & Autolacke,Auto & Motorrad > KFZ-Pflege & -Wartung > KFZ-Außenreinigung & -pflege > Farben & Autolacke,6467372,keep
6407097,Auto & Motorrad > KFZ-Pflege & -Wartung > Motorreinigung & -pflege,Auto & Motorrad > KFZ-Pflege & -Wartung > Motorreinigung & -pflege,6407097,keep
6407098,Auto & Motorrad > KFZ-Pflege & -Wartung > Motorreinigung & -pflege > Motoröle,Auto & Motorrad > KFZ-Pflege & -Wartung > Motorreinigung & -pflege > Motoröle,6407098,keep
6467422,Auto & Motorrad > KFZ-Werkzeuge,Auto & Motorrad > KFZ-Werkzeuge,6467422,keep
6467423,Auto & Motorrad > KFZ-Werkzeuge > Diagnosegeräte,Auto & Motorrad > KFZ-Werkzeuge > Diagnosegeräte,6467423,keep
6467425,Auto & Motorrad > KFZ-Zubehör,Auto & Motorrad > KFZ-Zubehör,6467425,keep
6467426,Auto & Motorrad > KFZ-Zubehör > Auto-Grundausstattungen,Auto & Motorrad > KFZ-Zubehör > Auto-Grundausstattungen,6467426,keep
6467427,Auto & Motorrad > KFZ-Zubehör > Auto-Grundausstattungen > Wagenheber,Auto & Motorrad > KFZ-Zubehör > Auto-Grundausstattungen > Wagenheber,6467427,keep
6467479,Auto & Motorrad > KFZ-Zubehör > KFZ-Gepäckträger & -boxen,Auto & Motorrad > KFZ-Zubehör > KFZ-Gepäckträger & -boxen,6467479,keep
6467480,Auto & Motorrad > KFZ-Zubehör > KFZ-Gepäckträger & -boxen > Dachboxen,Auto & Motorrad > KFZ-Zubehör > KFZ-Gepäckträger & -boxen > Dachboxen,6467480,keep
6406760,"Auto & Motorrad: Teile > Kleidung, Schutzausrüstung & Merchandise","Auto & Motorrad > Kleidung, Schutzausrüstung & Merchandise",6406760,keep
6406761,"Auto & Motorrad: Teile > Kleidung, Schutzausrüstung & Merchandise > Helme & Zubehör","Auto & Motorrad > Kleidung, Schutzausrüstung & Merchandise > Helme & Zubehör",6406761,keep
6407144,"Auto & Motorrad: Teile > Kleidung, Schutzausrüstung & Merchandise > Helme & Zubehör > Motorrad- & Motorsporthelme","Auto & Motorrad > Kleidung, Schutzausrüstung & Merchandise > Helme & Zubehör > Motorrad- & Motorsporthelme",6407144,keep
6407145,Auto & Motorrad: Teile > Klein- & Leichtkraftradteile,Auto & Motorrad > Klein- & Leichtkraftradteile,6407145,keep
6407146,Auto & Motorrad: Teile > Klein- & Leichtkraftradteile > Leichtkraftradteile,Auto & Motorrad > Klein- & Leichtkraftradteile > Leichtkraftradteile,6407146,keep
6407147,Auto & Motorrad: Teile > Klein- & Leichtkraftradteile > Leichtkraftradteile > Elektrik & Zündung,Auto & Motorrad > Klein- & Leichtkraftradteile > Leichtkraftradteile > Elektrik & Zündung,6407147,keep
6406762,Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör,Auto & Motorrad > Motorrad- & Rollerteile & -zubehör,6406762,keep
6407148,Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör > Elektrik & Zündungen,Auto & Motorrad > Motorrad- & Rollerteile & -zubehör > Elektrik & Zündungen,6407148,keep
6407149,Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör > Elektrik & Zündungen > Batterien,Auto & Motorrad > Motorrad- & Rollerteile & -zubehör > Elektrik & Zündungen > Batterien,6407149,keep
6407501,Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik,Auto & Motorrad > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik,6407501,keep
6407502,Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik > Endantriebsriemen & -ketten & Zahnriemensätze,Auto & Motorrad > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik > Endantriebsriemen & -ketten & Zahnriemensätze,6407502,keep
6407503,Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik > Endantriebsriemen & -ketten & Zahnriemensätze > Endantriebsriemen & -ketten,Auto & Motorrad > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik > Endantriebsriemen & -ketten & Zahnriemensätze > Endantriebsriemen & -ketten,6407503,keep
6418669,Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik > Endantriebsriemen & -ketten & Zahnriemensätze > Primärzahnriemen & -ketten,Auto & Motorrad > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik > Endantriebsriemen & -ketten & Zahnriemensätze > Primärzahnriemen & -ketten,6418669,keep
6406763,Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör > Spiegel,Auto & Motorrad > Motorrad- & Rollerteile & -zubehör > Spiegel,6406763,keep
6406749,Auto & Motorrad: Fahrzeuge > Motorräder,Auto & Motorrad > Motorräder,6406749,keep
6406750,Auto & Motorrad: Fahrzeuge > Motorräder > Roller,Auto & Motorrad > Motorräder > Roller,6406750,keep
6406764,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel","Auto & Motorrad > Öl, Pflege- & Schmiermittel",6406764,keep
6406765,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Automatikgetriebeöl","Auto & Motorrad > Öl, Pflege- & Schmiermittel > Automatikgetriebeöl",6406765,keep
6406766,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Getriebeöl","Auto & Motorrad > Öl, Pflege- & Schmiermittel > Getriebeöl",6406766,keep
6406767,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl","Auto & Motorrad > Öl, Pflege- & Schmiermittel > Motoröl",6406767,keep
6406744,Auto & Motorrad > Öle & Flüssigkeiten,Auto & Motorrad > Öle & Flüssigkeiten,6406744,keep
6406745,Auto & Motorrad > Öle & Flüssigkeiten > Motoröle,Auto & Motorrad > Öle & Flüssigkeiten > Motoröle,6406745,keep
6406768,"Auto & Motorrad: Teile > Quad-, SSV- & UTV-Teile & -Zubehör","Auto & Motorrad > Quad-, SSV- & UTV-Teile & -Zubehör",6406768,keep
6406769,"Auto & Motorrad: Teile > Quad-, SSV- & UTV-Teile & -Zubehör > Ansaug- & Kraftstoffsysteme","Auto & Motorrad > Quad-, SSV- & UTV-Teile & -Zubehör > Ansaug- & Kraftstoffsysteme",6406769,keep
6407504,"Auto & Motorrad: Teile > Quad-, SSV- & UTV-Teile & -Zubehör > Verkleidungen & Rahmen","Auto & Motorrad > Quad-, SSV- & UTV-Teile & -Zubehör > Verkleidungen & Rahmen",6407504,keep
6407505,"Auto & Motorrad: Teile > Quad-, SSV- & UTV-Teile & -Zubehör > Verkleidungen & Rahmen > Verkleidungen, Türen & Kotflügel","Auto & Motorrad > Quad-, SSV- & UTV-Teile & -Zubehör > Verkleidungen & Rahmen > Verkleidungen, Türen & Kotflügel",6407505,keep
6407506,"Auto & Motorrad: Teile > Quad-, SSV- & UTV-Teile & -Zubehör > Verkleidungen & Rahmen > Verkleidungen, Türen & Kotflügel > Windschutz- & Fensterscheiben","Auto & Motorrad > Quad-, SSV- & UTV-Teile & -Zubehör > Verkleidungen & Rahmen > Verkleidungen, Türen & Kotflügel > Windschutz- & Fensterscheiben",6407506,keep
6407150,Auto & Motorrad: Teile > Spezielle Fahrzeug-Teile,Auto & Motorrad > Spezielle Fahrzeug-Teile,6407150,keep
6407151,Auto & Motorrad: Teile > Spezielle Fahrzeug-Teile > Pkw-Anhänger Ersatzteile,Auto & Motorrad > Spezielle Fahrzeug-Teile > Pkw-Anhänger Ersatzteile,6407151,keep
6407152,Auto & Motorrad: Teile > Spezielle Fahrzeug-Teile > Pkw-Anhänger Ersatzteile > Karosserie & Fahrwerk,Auto & Motorrad > Spezielle Fahrzeug-Teile > Pkw-Anhänger Ersatzteile > Karosserie & Fahrwerk,6407152,keep
6407153,Auto & Motorrad: Teile > Spezielle Fahrzeug-Teile > Pkw-Anhänger Ersatzteile > Stützen & Keile,Auto & Motorrad > Spezielle Fahrzeug-Teile > Pkw-Anhänger Ersatzteile > Stützen & Keile,6407153,keep
6407507,Auto & Motorrad: Teile > Spezielle Fahrzeug-Teile > Wohnmobil- & Wohnwagenteile & Zubehör,Auto & Motorrad > Spezielle Fahrzeug-Teile > Wohnmobil- & Wohnwagenteile & Zubehör,6407507,keep
6407508,Auto & Motorrad: Teile > Spezielle Fahrzeug-Teile > Wohnmobil- & Wohnwagenteile & Zubehör > Wasser- & Sanitärsysteme,Auto & Motorrad > Spezielle Fahrzeug-Teile > Wohnmobil- & Wohnwagenteile & Zubehör > Wasser- & Sanitärsysteme,6407508,keep
6407509,Auto & Motorrad: Teile > Spezielle Fahrzeug-Teile > Wohnmobil- & Wohnwagenteile & Zubehör > Wasser- & Sanitärsysteme > Wasserpumpen,Auto & Motorrad > Spezielle Fahrzeug-Teile > Wohnmobil- & Wohnwagenteile & Zubehör > Wasser- & Sanitärsysteme > Wasserpumpen,6407509,keep
6407017,Motorradteile > Verkleidungen & Rahmen,Auto & Motorrad > Verkleidungen & Rahmen,6407017,keep
6407018,Motorradteile > Verkleidungen & Rahmen > Windschutzscheiben,Auto & Motorrad > Verkleidungen & Rahmen > Windschutzscheiben,6407018,keep
6406770,Auto & Motorrad: Teile > Werkzeuge,Auto & Motorrad > Werkzeuge,6406770,keep
6407154,Auto & Motorrad: Teile > Werkzeuge & Werkstattbedarf,Auto & Motorrad > Werkzeuge & Werkstattbedarf,6407154,keep
6407155,Auto & Motorrad: Teile > Werkzeuge & Werkstattbedarf > Motorwerkzeuge & -geräte,Auto & Motorrad > Werkzeuge & Werkstattbedarf > Motorwerkzeuge & -geräte,6407155,keep
6407156,Auto & Motorrad: Teile > Werkzeuge & Werkstattbedarf > Motorwerkzeuge & -geräte > Motor-Einstellwerkzeuge,Auto & Motorrad > Werkzeuge & Werkstattbedarf > Motorwerkzeuge & -geräte > Motor-Einstellwerkzeuge,6407156,keep
6406771,Auto & Motorrad: Teile > Werkzeuge > Hebezeuge & Wagenheber,Auto & Motorrad > Werkzeuge > Hebezeuge & Wagenheber,6406771,keep
6407157,Auto & Motorrad: Teile > Werkzeuge > Reparatur-Sets & Teile,Auto & Motorrad > Werkzeuge > Reparatur-Sets & Teile,6407157,keep
6407158,Auto & Motorrad: Teile > Werkzeuge > Reparatur-Sets & Teile > Reifenreparatur,Auto & Motorrad > Werkzeuge > Reparatur-Sets & Teile > Reifenreparatur,6407158,keep
6407159,Auto & Motorrad: Teile > Werkzeuge > Werkstattausstattung & -bedarf,Auto & Motorrad > Werkzeuge > Werkstattausstattung & -bedarf,6407159,keep
6407160,Auto & Motorrad: Teile > Werkzeuge > Werkstattausstattung & -bedarf > Federspanner,Auto & Motorrad > Werkzeuge > Werkstattausstattung & -bedarf > Federspanner,6407160,keep
6406746,Auto & Motorrad > Wohnmobil- & Caravan-Teile & Zubehör,Auto & Motorrad > Wohnmobil- & Caravan-Teile & Zubehör,6406746,keep
6407161,Auto & Motorrad: Teile > Wohnmobil- & Caravan-Teile & Zubehör,Auto & Motorrad > Wohnmobil- & Caravan-Teile & Zubehör,6406746,merge_into_canonical
6407162,Auto & Motorrad: Teile > Wohnmobil- & Caravan-Teile & Zubehör > Heizungen & Klimaanlagen,Auto & Motorrad > Wohnmobil- & Caravan-Teile & Zubehör > Heizungen & Klimaanlagen,6407162,keep
6407163,Auto & Motorrad: Teile > Wohnmobil- & Caravan-Teile & Zubehör > Heizungen & Klimaanlagen > Standheizungen,Auto & Motorrad > Wohnmobil- & Caravan-Teile & Zubehör > Heizungen & Klimaanlagen > Standheizungen,6407163,keep
6406747,Auto & Motorrad > Wohnmobil- & Caravan-Teile & Zubehör > Kühlboxen & Kühlschränke,Auto & Motorrad > Wohnmobil- & Caravan-Teile & Zubehör > Kühlboxen & Kühlschränke,6406747,keep
6406651,Baby,Baby & Kind,6406772,merge_into_canonical
6406772,Baby & Kind,Baby & Kind,6406772,keep
6406652,Baby > Auto-Kindersitze & Zubehör,Baby & Kind > Auto-Kindersitze & Zubehör,6406652,keep
6467160,Baby & Kind > Babyartikel,Baby & Kind > Babyartikel,6467160,keep
6467373,Baby & Kind > Babyartikel > Baby- & Kindermöbel,Baby & Kind > Babyartikel > Baby- & Kindermöbel,6467373,keep
6467478,Baby & Kind > Babyartikel > Baby- & Kindermöbel > Kindergarderoben,Baby & Kind > Babyartikel > Baby- & Kindermöbel > Kindergarderoben,6467478,keep
