SKU,DocId,Titel,Brand,Produktart,CurrentCategoryId,CurrentBreadcrumb,CurrentRoot,TargetCategoryBreadcrumb,TargetCategoryId,Notes
SKU-3606468262,7212913647233,TEXTAR Bremsscheibe 92056600 für Mercedes-Benz S-Klasse (W140) 320x30mm NEU,TEXTAR,Bremsscheibe,123059,"Business & Industrie > Agrar, Forst & Kommune > Ersatzteile, Teile & Zubehör > Teile & Zubehör Traktoren > Antrieb, Motor & Getriebe > Bremsscheiben & -zubehör",Business & Industrie,,,LLM_SKIP not_processed
SKU-9947386415,03142017000003,Weber Räucherofen Smokey Mountain Cooker 711004 Schwarz Gr. 37 cm Metall NEU,Weber,Räucherofen,169124,"Business & Industrie > Agrar, Forst & Kommune > Spezial-Landwirtschaft > Fischwirtschaft > Räucheröfen",Business & Industrie,,,LLM_SKIP not_processed
SKU-2135446963,SKU-2135446963,Dexcom G6 Glukosesensoren: Präzise Echtzeit-Glukosewerte für Diabetiker,Dexcom,Glukosesensor,181784,"Business & Industrie > Automation, Antriebe & Motoren > Sensoren",Business & Industrie,,,LLM_SKIP not_processed
SKU-1423771699,7082024102510,Piaggio Keilriemen 102C-510 für Beverly X10 MP3 350 Roller Schwarz Gummi,Piaggio,Keilriemen,124487,"Business & Industrie > Baugewerbe > Baumaschinenteile & Zubehör > Antrieb, Motor & Getriebe > Keilriemen",Business & Industrie,,,LLM_SKIP not_processed
SKU-3988740005,914f7e36-2a57-4a6c-94e3-441532afad65,Offgridtec Sammelschiene 8-01-012830 Heavy Duty mit M8/M10 Anschlussbolzen,Offgridtec,Sammelschiene,260835,Business & Industrie > Elektronik & Messtechnik > Kabel & Leitungen > Kabelverbinder & Anschlussklemmen > Leitungs- & Kabelverbinder,Business & Industrie,,,LLM_SKIP not_processed
SKU-5403685857,SKU-5403685857,"Brennenstuhl Steckdosenleiste 8-fach, 5m Kabel, Schalter, Made in Germany",Brennenstuhl,Steckdosenleiste,181845,Business & Industrie > Elektronik & Messtechnik > Schalter,Business & Industrie,,,LLM_SKIP not_processed
SKU-1066852367,SKU-1066852367,Shelly Smart Switch 1PM Mini Gen3 Rot NEU SKU-1066852367 präziser Ihr Home,Shelly,Smart Switch,26211,Business & Industrie > Elektronik & Messtechnik > Schalter > Kippschalter,Business & Industrie,,,LLM_SKIP not_processed
SKU-6614383452,SKU-6614383452,Leonardo Karaffe Swing Transparent Glas NEU Gr. ca. 21 cm 1.2L Eleganz,Leonardo,Karaffe,258510,"Business & Industrie > Gastro & Nahrungsmittelgewerbe > Bar- & Ausschankausstattung > Gastronomie-Kaffee-, Kakao- & Teeausstattung > Kaffee- & Teespender > Karaffen & Dekanter",Business & Industrie,,,LLM_SKIP not_processed
SKU-4488972962,SKU-4488972962,"Gusskönig Dutch Oven Set 4,5L Gusseisen für vielseitiges Outdoor-Kochen",Gusskönig,Dutch Oven Set,25357,Business & Industrie > Gastro & Nahrungsmittelgewerbe > Gastronomie-Küchenausstattung > Gastronomie-Kochgeschirr- & zubehör,Business & Industrie,,,LLM_SKIP not_processed
SKU-0735099796,6954850111741,Dong Fang Hong Latex Handschuhe 6 Stück - für optimalen Schutz & Komfort,Dong Fang Hong,Haushaltshandschuhe,184002,Business & Industrie > Gebäudereinigung > Manuelle Reinigungsgeräte > Einmal-Reinigungshandschuhe,Business & Industrie,,,LLM_SKIP not_processed
SKU-3963918245,SKU-3963918245,Success Courier Pumpensteuerung DSK-1: Konstanter Druck & Trockenlaufschutz,Success Courier,Pumpensteuerung,184059,"Business & Industrie > Hydraulik, Pneumatik & Pumpen > Strömungswächter & Steuerungen > Pumpensteuerungen",Business & Industrie,,,LLM_SKIP not_processed
SKU-5946216503,SKU-5946216503,reviMED TENS-Gerät Revi Tens für effektive Schmerzlinderung & Muskelstimulation,reviMED,TENS-Gerät,30807,Business & Industrie > Medizin & Labor > Medizinische Geräte,Business & Industrie,,,LLM_SKIP not_processed
SKU-9912977908,SKU-9912977908,"Dexcom Blutzuckermessgerät G7 STK-GT-013 Schwarz NEU Dexcom, Inc. Präzise",Dexcom,Blutzuckermessgerät,30807,Business & Industrie > Medizin & Labor > Medizinische Geräte,Business & Industrie,,,LLM_SKIP not_processed
SKU-4303462818,3154020086005,"GYS Rutil Elektrode 252 186005 NEU Gr. 2,5 mm new Herst.-Nr. Ø2 4 6kg Business",GYS,Rutil Elektrode,182905,"Business & Industrie > Metallbearbeitung & Schlosserei > Schweißen & Löten > Schweißen > Elektroden, Drähte & Leitungen",Business & Industrie,,,LLM_SKIP not_processed
SKU-5799111421,SKU-5799111421,Philips LED High Bay Hallenleuchte LV70007 LV70007 Schwarz Aluminium NEU,Philips,LED High Bay Hallenleuchte,26219,Business & Industrie > Sicherheit & Gebäudeinstandhaltung > Gebäude-Beleuchtungen > Industrielle Beleuchtungen,Business & Industrie,,,LLM_SKIP not_processed
SKU-2930571748,8bc07ed5-5cee-4d00-abb3-00dd4f20439d,Bosch Hammerbohrer SDS max-4 2608685873 Metall NEU Gr. 30 mm 520mm Beton,Bosch,Hammerbohrer,124425,Business & Industrie > Werkzeuge & Werkstattbedarf > Elektrowerkzeug-Zubehör > Bohrer,Business & Industrie,,,LLM_SKIP not_processed
SKU-8927251416,4043962306996,fischer Hammerbohrer Quattric II SDS-plus Ø 24mm 450mm Quattric II 24/450/400,fischer,Hammerbohrer,124425,Business & Industrie > Werkzeuge & Werkstattbedarf > Elektrowerkzeug-Zubehör > Bohrer,Business & Industrie,,,LLM_SKIP not_processed
SKU-0545917168,2024080701046,SPURTAR Messschieber 0-150mm NEU DIN 862 Präzision 0.02mm Business Industrie,SPURTAR,Messschieber,131261,Business & Industrie > Werkzeuge & Werkstattbedarf > Mess- & Prüfwerkzeuge > Messschieber,Business & Industrie,,,LLM_SKIP not_processed
SKU-4541378818,SKU-4541378818,Longking Selbstklebefliesen für Küche & Bad – Schnelle & stilvolle LKA003WGuk,Longking,Selbstklebefliesen,45686,Business & Industrie > Werkzeuge & Werkstattbedarf > Spezial-Handwerkzeuge > Fliesenlegerwerkzeuge,Business & Industrie,,,LLM_SKIP not_processed
SKU-1784585629,4250454729170,adeo Verlag Kunstkarten-Set: Elegante Blumenmotive für herzliche Grüße,adeo Verlag,Grußkarte,914,Sammeln & Seltenes > Ansichtskarten & Zubehör,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-2804135383,SKU-2804135383,ERZEKRIM Ferritkern Entstörfilter Set Schwarz Ferrit NEU 40tlg. RFI/EMI,ERZEKRIM,Ferritkern Entstörfilter Set,1407,Sammeln & Seltenes > Beleuchtung > Lampenteile,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-4401248629,4009384458304,Fries GmbH Deutschland Fan Schal – Zeigen Sie Ihre Unterstützung stilvoll,Fries GmbH,Schal,63,Sammeln & Seltenes > Comics & Comic-Fanartikel,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-1566313678,SKU-1566313678,Heike Faller – Hundert: Was du im Leben lernen wirst Bilderbuch Gebunden Neu,Kein & Aber,Bilderbuch,60033,Sammeln & Seltenes > DDR & Ostalgie > DDR > Bücher & Zeitschriften > Kinder- & Jugendliteratur,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-5729537867,SKU-5729537867,Astrid Lindgren – Oetinger Bilderbuch Papier Gebundene Ausgabe Deutsch,Oetinger,Bilderbuch,60033,Sammeln & Seltenes > DDR & Ostalgie > DDR > Bücher & Zeitschriften > Kinder- & Jugendliteratur,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-9289261489,SKU-9289261489,Isabel Abedi – Lola Löwenherz Kinderbuch Abenteuer 2007 Gebundene Ausgabe Neu,Loewe,Kinderbuch,60033,Sammeln & Seltenes > DDR & Ostalgie > DDR > Bücher & Zeitschriften > Kinder- & Jugendliteratur,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-7270723982,SKU-7270723982,Kitchen Sink Einbauspüle SKU-7270723982 Silber Edelstahl NEU Robuste Sammeln,Kitchen Sink,Einbauspüle,8759,Sammeln & Seltenes > DDR & Ostalgie > DDR > Haushalt & Küche,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-9787450821,SKU-9787450821,"bremermann Manuelle Nudelmaschine 57003 57003 Rot Edelstahlwalzen, lackiertes",bremermann,Manuelle Nudelmaschine,8759,Sammeln & Seltenes > DDR & Ostalgie > DDR > Haushalt & Küche,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-8004480244,SKU-8004480244,Trotec Standventilator TVE 16 S: Sofortige Erfrischung & angenehmes Raumklima,,Standventilator,1152,Sammeln & Seltenes > Disneyana > Vintage > Haushaltsartikel,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-8310896573,SKU-8310896573,"IKEA RANARP Pendelleuchte: Zeitloses Design für warmes, gezieltes Licht",IKEA,Pendelleuchte,39216,"Sammeln & Seltenes > Esoterik, Mystik & Magie > Orakel & Tarot > Pendel",Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-9091395294,SKU-9091395294,LEONARDO Trinkglas Swing Transparent Glas NEU Gr. 9 cm Trinkgläser Set,LEONARDO,Trinkglas,3273,Sammeln & Seltenes > Haushalt & Küche > Bar- & Wein-Accessoires > Schnapsgläser,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-5740939127,SKU-5740939127,Leonardo Schalen-Set 5-tlg. Glas – Spülmaschinenfest & vielseitig einsetzbar,Leonardo,Schalen-Set,580,Sammeln & Seltenes > Haushalt & Küche > Gedeckter Tisch > Salzschalen,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-2789683373,SKU-2789683373,"Brandson Standventilator: Leise Kühlung, Höhenverstellbar & Oszillierend",Brandson,Standventilator,4037,Sammeln & Seltenes > Haushalt & Küche > Kleingeräte > Elektrische Ventilatoren,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-4349960147,SKU-4349960147,WMF Topf-Set Provence Plus 07.2304.6380 Silber Edelstahl NEU Induktionsgeeignet,WMF,Topf-Set,974,Sammeln & Seltenes > Haushalt & Küche > Töpfe & Pfannen,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-5814356347,SKU-5814356347,Tefal Pfannenset Ingenio Emission Induction L8975P04 Silber Edelstahl NEU,Tefal,Pfannenset,974,Sammeln & Seltenes > Haushalt & Küche > Töpfe & Pfannen,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-6854747447,e29c131f-ec89-434c-b216-90f28330918d,"Vinz Jethelm Como 220653541150 ECE R22-06, 1150g, Gr. XS, Matt Schwarz",Vinz,Jethelm,18671,Sammeln & Seltenes > Militaria > 1918-1945 > Helme & Kopfbedeckungen,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-1844691476,0060cdec-9193-411b-af64-4754ca0226bd,"Thule Rucksack Darkest Blue – Robust, vielseitig & nachhaltig für Alltag",Thule,Rucksack,37412,Sammeln & Seltenes > Militaria > NATO-Shop > Rucksäcke & Taschen,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-4820097368,SKU-4820097368,"TAN.TOMI Rolltop Rucksack – Flexibel, wasserabweisend & Laptopfach – Daypack",TAN.TOMI,Rolltop-Rucksack / Daypack,37412,Sammeln & Seltenes > Militaria > NATO-Shop > Rucksäcke & Taschen,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-0974179694,SKU-0974179694,wolfcraft Eckzwingen-Set ES 22 für präzise 90°-Winkel & stabile Holzprojekte,wolfcraft,Eckzwinge,515,Sammeln & Seltenes > Militaria > NATO-Shop > Werkzeuge & Tools,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-1612836881,SKU-1612836881,"Wera Fahrrad Werkzeug-Set 6, 10-teilig, Hex-Plus & Torx, MPN 05004174001, Neu",Wera,Werkzeugsatz,515,Sammeln & Seltenes > Militaria > NATO-Shop > Werkzeuge & Tools,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-3588671475,SKU-3588671475,Topeak Ratchet Rocket Essential Fahrradwerkzeugset für präzise Reparaturen,Topeak,Ratschen-Werkzeug / Multi-Tool (Ratchet),515,Sammeln & Seltenes > Militaria > NATO-Shop > Werkzeuge & Tools,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-9905416565,7290006780805,"SodaStream Glaskaraffe 0,7L für CRYSTAL/PENGUIN - Spülmaschinenfest & Stilvoll",SodaStream,Glaskaraffe,8736,Sammeln & Seltenes > Reklame & Werbung > Bier & Brauerei > Bierflaschen,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-5753016417,5820082016105,"Audi Fußmatten Set Vorne, Hinten NEU Q5 8R Schwarz Velours Audi Q5 8R Nein",Audi,Fußmatten Set,62844,Sammeln & Seltenes > Reklame & Werbung > Branchen & Marken > Auto & Motorrad,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-8779940575,SKU-8779940575,"TATONKA Campingbecher Handle Mug 600 - Robust, platzsparend & vielseitig",TATONKA,Campingbecher,62864,Sammeln & Seltenes > Reklame & Werbung > Branchen & Marken > Coca-Cola & Softdrinks > Coca-Cola > Tassen & Becher,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-9876441475,SKU-9876441475,Disney – Es war einmal ein Schneemann Bilderbuch Gebundene Ausgabe Neu,Disney,Bilderbuch,49177,Sammeln & Seltenes > Rollenspiele & Tabletops > LARP & Reenactment > Kleidung & Accessoires > Kinder,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-4561934561,SKU-4561934561,GLOCK Pistolenkoffer: Robuster Hartschalenkoffer mit Schaumstoffschutz,GLOCK,Waffenkoffer,23658,Sammeln & Seltenes > Rollenspiele & Tabletops > LARP & Reenactment > Waffen > Schaumstoff- & Latexwaffen,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-0922374624,2074133001002,"Magic: The Gathering Commander Deck – Sofort spielbar, epische Zombie-Horden",Magic: The Gathering,Commander Deck,2536,Sammeln & Seltenes > Sammelkartenspiele/TCGs,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-4310621602,0196214105119,Pokémon Sammelordner-Kollektion 100-10011 Mehrfarbig Kunststoff NEU Deutsch,Pokémon,Sammelordner-Kollektion,2536,Sammeln & Seltenes > Sammelkartenspiele/TCGs,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-4358173575,SKU-4358173575,SEEK DISCOMFORT SPARK Kartenspiel – Komfortzone erweitern & Beziehungen stärken,SEEK DISCOMFORT,Kartenspiel,2536,Sammeln & Seltenes > Sammelkartenspiele/TCGs,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-8735317765,5060570201660,VaultX Deck Box Schwarz NEU Sammelkarten Exo-Tec Toploading 80+ Sammeln,VaultX,Deck Box,183462,"Sammeln & Seltenes > Sammelkartenspiele/TCGs > TCG Zubehör > TCG Deck-Boxen, Blechdosen & Kartentrenner",Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-1789286937,SKU-1789286937,"Engelbert Strauss T-Shirt: Robust, bequem & vielseitig für Arbeit & Freizeit",Engelbert Strauss,,8697,Sammeln & Seltenes > Science-Fiction > Star Trek > Bekleidung,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-8919591829,SKU-8919591829,"PLANAM Kinder Outdoorhose NORIT – Robust, bequem & sicher für Abenteuer",PLANAM,Hose,8697,Sammeln & Seltenes > Science-Fiction > Star Trek > Bekleidung,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-1040274599,SKU-1040274599,SCM Bilderbuch: Mut & Freundschaft ab 3 Jahren – Stärkt soziale Kompetenzen,"Scm R. Brockhaus,Scm Brockhaus, R.",Bilderbuch,8694,Sammeln & Seltenes > Science-Fiction > Star Trek > Poster & Bilder,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-3149269291,SKU-3149269291,Nidec Sankyo Motorisierter Kartenleser 445-0765157A für Nidec Sankyo Präzision,Nidec Sankyo,Motorisierter Kartenleser,3948,Sammeln & Seltenes > Technik & Geräte > Automaten > Geldspielautomaten > Geldspielautomaten,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-0785869755,SKU-0785869755,Terry Exera Gel Fahrradsattel Herren – Ergonomisch für höchsten Komfort,Terry,Fahrradsattel,420,Sammeln & Seltenes > Transport > Fahrrad,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-3047799035,SKU-3047799035,ABUS Kettenschloss Iven Chain 7210/110 – Hoher Diebstahlschutz & Lackschonend,ABUS,Kettenschloss,420,Sammeln & Seltenes > Transport > Fahrrad,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-4996518676,SKU-4996518676,"Topeak Satteltasche BAG29601 Schwarz 210D & 420D Nylon, PU-beschichtet NEU",Topeak,Satteltasche,420,Sammeln & Seltenes > Transport > Fahrrad,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-6480044357,7325549884427,POC Fahrradhelm Axion Race MIPS Gr. M – MTB Schutz mit MIPS-Technologie,POC,Fahrradhelm,420,Sammeln & Seltenes > Transport > Fahrrad,Sammeln & Seltenes,,,LLM_SKIP not_processed
SKU-4304000683,SKU-4304000683,LEONARDO Geschirr & Besteck NEU SWING Trinkgläser Set Bunt Spülmaschinenfest,LEONARDO,,59212,Sammeln & Seltenes > Transport > Luftfahrt & Zeppelin > Geschirr & Besteck,Sammeln & Seltenes,,,LLM_SKIP not_processed
