canonical_category_id,canonical_breadcrumb,depth,merged_count,merged_category_ids,source_roots
6407119,"Auto & Motorrad > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Autoradios",4,1,6407119,Auto & Motorrad: Teile
6406754,Auto & Motorrad > Autoteile & Zubehör,2,1,6406754,Auto & Motorrad: Teile
6407120,Auto & Motorrad > Autoteile & Zubehör > Auspuff- & Abgassysteme,3,1,6407120,Auto & Motorrad: Teile
6407121,Auto & Motorrad > Autoteile & Zubehör > Auspuff- & Abgassysteme > Lambdasonden & O2-Sensoren,4,1,6407121,Auto & Motorrad: Teile
6407122,Auto & Motorrad > Autoteile & Zubehör > Autoelektrik,3,1,6407122,Auto & Motorrad: Teile
6407123,Auto & Motorrad > Autoteile & Zubehör > Autoelektrik > Anlasser,4,1,6407123,Auto & Motorrad: Teile
6407124,Auto & Motorrad > Autoteile & Zubehör > Autoelektrik > Batterien,4,1,6407124,Auto & Motorrad: Teile
6407125,Auto & Motorrad > Autoteile & Zubehör > Bremsen & Bremsenteile,3,1,6407125,Auto & Motorrad: Teile
6407126,Auto & Motorrad > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsbeläge,4,1,6407126,Auto & Motorrad: Teile
6407127,Auto & Motorrad > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsscheiben,4,1,6407127,Auto & Motorrad: Teile
6406755,Auto & Motorrad > Autoteile & Zubehör > Federung & Lenkung,3,1,6406755,Auto & Motorrad: Teile
6407128,Auto & Motorrad > Autoteile & Zubehör > Federung & Lenkung > Lenkgetriebe & -gehäuse,4,1,6407128,Auto & Motorrad: Teile
6407129,Auto & Motorrad > Autoteile & Zubehör > Federung & Lenkung > Lenksäulen,4,1,6407129,Auto & Motorrad: Teile
6407130,"Auto & Motorrad > Autoteile & Zubehör > Federung & Lenkung > Radlager, -naben & Buchsen",4,1,6407130,Auto & Motorrad: Teile
6407131,Auto & Motorrad > Autoteile & Zubehör > Federung & Lenkung > Stoßdämpfer- & Federbeinhalterungen,4,1,6407131,Auto & Motorrad: Teile
6407132,Auto & Motorrad > Autoteile & Zubehör > Getriebe & Antriebstechnik,3,1,6407132,Auto & Motorrad: Teile
6407133,"Auto & Motorrad > Autoteile & Zubehör > Getriebe & Antriebstechnik > Antriebswellengelenke, Achsmanschetten & Teile",4,1,6407133,Auto & Motorrad: Teile
6407489,Auto & Motorrad > Autoteile & Zubehör > Getriebe & Antriebstechnik > Kupplungsteile & -sätze,4,1,6407489,Auto & Motorrad: Teile
6407490,Auto & Motorrad > Autoteile & Zubehör > Getriebe & Antriebstechnik > Kupplungsteile & -sätze > Kupplungssätze,5,1,6407490,Auto & Motorrad: Teile
6406756,Auto & Motorrad > Autoteile & Zubehör > Innenausstattung,3,1,6406756,Auto & Motorrad: Teile
6407134,"Auto & Motorrad > Autoteile & Zubehör > Innenausstattung > Fußmatten, Teppiche & Laderaumwannen",4,1,6407134,Auto & Motorrad: Teile
6407135,Auto & Motorrad > Autoteile & Zubehör > Innenausstattung > Sonnen- & Sichtschutze,4,1,6407135,Auto & Motorrad: Teile
6407491,"Auto & Motorrad > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör",3,1,6407491,Auto & Motorrad: Teile
6407492,"Auto & Motorrad > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Außenspiegel & Teile",4,1,6407492,Auto & Motorrad: Teile
6407493,"Auto & Motorrad > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Außenspiegel & Teile > Außenspiegel",5,1,6407493,Auto & Motorrad: Teile
6407494,"Auto & Motorrad > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Schutzvorrichtungen & Schmutzfänger",4,1,6407494,Auto & Motorrad: Teile
6407495,"Auto & Motorrad > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Schutzvorrichtungen & Schmutzfänger > Weitere Schutzvorrichtungen & Protektoren",5,1,6407495,Auto & Motorrad: Teile
6407136,Auto & Motorrad > Autoteile & Zubehör > Luft- & Kraftstoffversorgung,3,1,6407136,Auto & Motorrad: Teile
6407138,Auto & Motorrad > Autoteile & Zubehör > Luft- & Kraftstoffversorgung > Lufteinlass- & Kraftstoffsensoren,4,1,6407138,Auto & Motorrad: Teile
6406757,Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile,3,1,6406757,Auto & Motorrad: Teile
6407496,Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile,4,1,6407496,Auto & Motorrad: Teile
6407497,Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile > Dichtungen & Dichtungsringe,5,1,6407497,Auto & Motorrad: Teile
6407498,Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile > Dichtungssätze,5,1,6407498,Auto & Motorrad: Teile
6407139,Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile > Inspektionspakete & -kits,4,1,6407139,Auto & Motorrad: Teile
6407141,Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile > Ölfilter,4,1,6407141,Auto & Motorrad: Teile
6467449,Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile > Ölpumpen & Teile,4,1,6467449,Auto & Motorrad: Teile
6407499,Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile > Ventilsteuerungsteile,4,1,6407499,Auto & Motorrad: Teile
6407500,Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile > Ventilsteuerungsteile > Nockenwellen,5,1,6407500,Auto & Motorrad: Teile
6407142,Auto & Motorrad > Autoteile & Zubehör > Motorkühlung,3,1,6407142,Auto & Motorrad: Teile
6407143,Auto & Motorrad > Autoteile & Zubehör > Motorkühlung > Ausgleichsbehälter,4,1,6407143,Auto & Motorrad: Teile
6406758,Auto & Motorrad > Erste Hilfe- & Notfallausrüstungen,2,1,6406758,Auto & Motorrad: Teile
6406759,Auto & Motorrad > Erste Hilfe- & Notfallausrüstungen > Sicherheit,3,1,6406759,Auto & Motorrad: Teile
6467208,Auto & Motorrad > KFZ-Ersatzteile,2,1,6467208,Auto & Motorrad
6470665,"Auto & Motorrad > KFZ-Ersatzteile > Antrieb, Motoren & Getriebe",3,1,6470665,Auto & Motorrad
6470666,"Auto & Motorrad > KFZ-Ersatzteile > Antrieb, Motoren & Getriebe > Luft- & Kraftstoffversorgung",4,1,6470666,Auto & Motorrad
6467351,Auto & Motorrad > KFZ-Ersatzteile > Karosserieteile,3,1,6467351,Auto & Motorrad
6467477,Auto & Motorrad > KFZ-Ersatzteile > Karosserieteile > Außenspiegel & Zubehör,4,1,6467477,Auto & Motorrad
6467352,Auto & Motorrad > KFZ-Ersatzteile > Karosserieteile > Kraftrad-Verkleidungen,4,1,6467352,Auto & Motorrad
6467250,Auto & Motorrad > KFZ-Ersatzteile > KFZ-Federungen & Dämpfungen,3,1,6467250,Auto & Motorrad
6467251,Auto & Motorrad > KFZ-Ersatzteile > KFZ-Federungen & Dämpfungen > Federbeine & Stoßdämpfer,4,1,6467251,Auto & Motorrad
6467209,Auto & Motorrad > KFZ-Ersatzteile > KFZ-Klimaanlagen & Zubehör,3,1,6467209,Auto & Motorrad
6407096,Auto & Motorrad > KFZ-Pflege & -Wartung,2,1,6407096,Auto & Motorrad
6467371,Auto & Motorrad > KFZ-Pflege & -Wartung > KFZ-Außenreinigung & -pflege,3,1,6467371,Auto & Motorrad
6467372,Auto & Motorrad > KFZ-Pflege & -Wartung > KFZ-Außenreinigung & -pflege > Farben & Autolacke,4,1,6467372,Auto & Motorrad
6407097,Auto & Motorrad > KFZ-Pflege & -Wartung > Motorreinigung & -pflege,3,1,6407097,Auto & Motorrad
6407098,Auto & Motorrad > KFZ-Pflege & -Wartung > Motorreinigung & -pflege > Motoröle,4,1,6407098,Auto & Motorrad
6467422,Auto & Motorrad > KFZ-Werkzeuge,2,1,6467422,Auto & Motorrad
6467423,Auto & Motorrad > KFZ-Werkzeuge > Diagnosegeräte,3,1,6467423,Auto & Motorrad
6467425,Auto & Motorrad > KFZ-Zubehör,2,1,6467425,Auto & Motorrad
6467426,Auto & Motorrad > KFZ-Zubehör > Auto-Grundausstattungen,3,1,6467426,Auto & Motorrad
6467427,Auto & Motorrad > KFZ-Zubehör > Auto-Grundausstattungen > Wagenheber,4,1,6467427,Auto & Motorrad
6467479,Auto & Motorrad > KFZ-Zubehör > KFZ-Gepäckträger & -boxen,3,1,6467479,Auto & Motorrad
6467480,Auto & Motorrad > KFZ-Zubehör > KFZ-Gepäckträger & -boxen > Dachboxen,4,1,6467480,Auto & Motorrad
6406760,"Auto & Motorrad > Kleidung, Schutzausrüstung & Merchandise",2,1,6406760,Auto & Motorrad: Teile
6406761,"Auto & Motorrad > Kleidung, Schutzausrüstung & Merchandise > Helme & Zubehör",3,1,6406761,Auto & Motorrad: Teile
6407144,"Auto & Motorrad > Kleidung, Schutzausrüstung & Merchandise > Helme & Zubehör > Motorrad- & Motorsporthelme",4,1,6407144,Auto & Motorrad: Teile
6407145,Auto & Motorrad > Klein- & Leichtkraftradteile,2,1,6407145,Auto & Motorrad: Teile
6407146,Auto & Motorrad > Klein- & Leichtkraftradteile > Leichtkraftradteile,3,1,6407146,Auto & Motorrad: Teile
6407147,Auto & Motorrad > Klein- & Leichtkraftradteile > Leichtkraftradteile > Elektrik & Zündung,4,1,6407147,Auto & Motorrad: Teile
6406762,Auto & Motorrad > Motorrad- & Rollerteile & -zubehör,2,1,6406762,Auto & Motorrad: Teile
6407148,Auto & Motorrad > Motorrad- & Rollerteile & -zubehör > Elektrik & Zündungen,3,1,6407148,Auto & Motorrad: Teile
6407149,Auto & Motorrad > Motorrad- & Rollerteile & -zubehör > Elektrik & Zündungen > Batterien,4,1,6407149,Auto & Motorrad: Teile
6407501,Auto & Motorrad > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik,3,1,6407501,Auto & Motorrad: Teile
6407502,Auto & Motorrad > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik > Endantriebsriemen & -ketten & Zahnriemensätze,4,1,6407502,Auto & Motorrad: Teile
6407503,Auto & Motorrad > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik > Endantriebsriemen & -ketten & Zahnriemensätze > Endantriebsriemen & -ketten,5,1,6407503,Auto & Motorrad: Teile
6418669,Auto & Motorrad > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik > Endantriebsriemen & -ketten & Zahnriemensätze > Primärzahnriemen & -ketten,5,1,6418669,Auto & Motorrad: Teile
6406763,Auto & Motorrad > Motorrad- & Rollerteile & -zubehör > Spiegel,3,1,6406763,Auto & Motorrad: Teile
6406749,Auto & Motorrad > Motorräder,2,1,6406749,Auto & Motorrad: Fahrzeuge
6406750,Auto & Motorrad > Motorräder > Roller,3,1,6406750,Auto & Motorrad: Fahrzeuge
6406764,"Auto & Motorrad > Öl, Pflege- & Schmiermittel",2,1,6406764,Auto & Motorrad: Teile
6406765,"Auto & Motorrad > Öl, Pflege- & Schmiermittel > Automatikgetriebeöl",3,1,6406765,Auto & Motorrad: Teile
6406766,"Auto & Motorrad > Öl, Pflege- & Schmiermittel > Getriebeöl",3,1,6406766,Auto & Motorrad: Teile
6406767,"Auto & Motorrad > Öl, Pflege- & Schmiermittel > Motoröl",3,1,6406767,Auto & Motorrad: Teile
6406744,Auto & Motorrad > Öle & Flüssigkeiten,2,1,6406744,Auto & Motorrad
6406745,Auto & Motorrad > Öle & Flüssigkeiten > Motoröle,3,1,6406745,Auto & Motorrad
6406768,"Auto & Motorrad > Quad-, SSV- & UTV-Teile & -Zubehör",2,1,6406768,Auto & Motorrad: Teile
6406769,"Auto & Motorrad > Quad-, SSV- & UTV-Teile & -Zubehör > Ansaug- & Kraftstoffsysteme",3,1,6406769,Auto & Motorrad: Teile
6407504,"Auto & Motorrad > Quad-, SSV- & UTV-Teile & -Zubehör > Verkleidungen & Rahmen",3,1,6407504,Auto & Motorrad: Teile
6407505,"Auto & Motorrad > Quad-, SSV- & UTV-Teile & -Zubehör > Verkleidungen & Rahmen > Verkleidungen, Türen & Kotflügel",4,1,6407505,Auto & Motorrad: Teile
6407506,"Auto & Motorrad > Quad-, SSV- & UTV-Teile & -Zubehör > Verkleidungen & Rahmen > Verkleidungen, Türen & Kotflügel > Windschutz- & Fensterscheiben",5,1,6407506,Auto & Motorrad: Teile
6407150,Auto & Motorrad > Spezielle Fahrzeug-Teile,2,1,6407150,Auto & Motorrad: Teile
6407151,Auto & Motorrad > Spezielle Fahrzeug-Teile > Pkw-Anhänger Ersatzteile,3,1,6407151,Auto & Motorrad: Teile
6407152,Auto & Motorrad > Spezielle Fahrzeug-Teile > Pkw-Anhänger Ersatzteile > Karosserie & Fahrwerk,4,1,6407152,Auto & Motorrad: Teile
6407153,Auto & Motorrad > Spezielle Fahrzeug-Teile > Pkw-Anhänger Ersatzteile > Stützen & Keile,4,1,6407153,Auto & Motorrad: Teile
6407507,Auto & Motorrad > Spezielle Fahrzeug-Teile > Wohnmobil- & Wohnwagenteile & Zubehör,3,1,6407507,Auto & Motorrad: Teile
6407508,Auto & Motorrad > Spezielle Fahrzeug-Teile > Wohnmobil- & Wohnwagenteile & Zubehör > Wasser- & Sanitärsysteme,4,1,6407508,Auto & Motorrad: Teile
6407509,Auto & Motorrad > Spezielle Fahrzeug-Teile > Wohnmobil- & Wohnwagenteile & Zubehör > Wasser- & Sanitärsysteme > Wasserpumpen,5,1,6407509,Auto & Motorrad: Teile
6407017,Auto & Motorrad > Verkleidungen & Rahmen,2,1,6407017,Motorradteile
6407018,Auto & Motorrad > Verkleidungen & Rahmen > Windschutzscheiben,3,1,6407018,Motorradteile
6406770,Auto & Motorrad > Werkzeuge,2,1,6406770,Auto & Motorrad: Teile
6407154,Auto & Motorrad > Werkzeuge & Werkstattbedarf,2,1,6407154,Auto & Motorrad: Teile
6407155,Auto & Motorrad > Werkzeuge & Werkstattbedarf > Motorwerkzeuge & -geräte,3,1,6407155,Auto & Motorrad: Teile
6407156,Auto & Motorrad > Werkzeuge & Werkstattbedarf > Motorwerkzeuge & -geräte > Motor-Einstellwerkzeuge,4,1,6407156,Auto & Motorrad: Teile
6406771,Auto & Motorrad > Werkzeuge > Hebezeuge & Wagenheber,3,1,6406771,Auto & Motorrad: Teile
6407157,Auto & Motorrad > Werkzeuge > Reparatur-Sets & Teile,3,1,6407157,Auto & Motorrad: Teile
6407158,Auto & Motorrad > Werkzeuge > Reparatur-Sets & Teile > Reifenreparatur,4,1,6407158,Auto & Motorrad: Teile
6407159,Auto & Motorrad > Werkzeuge > Werkstattausstattung & -bedarf,3,1,6407159,Auto & Motorrad: Teile
6407160,Auto & Motorrad > Werkzeuge > Werkstattausstattung & -bedarf > Federspanner,4,1,6407160,Auto & Motorrad: Teile
6406746,Auto & Motorrad > Wohnmobil- & Caravan-Teile & Zubehör,2,2,6406746|6407161,Auto & Motorrad|Auto & Motorrad: Teile
6407162,Auto & Motorrad > Wohnmobil- & Caravan-Teile & Zubehör > Heizungen & Klimaanlagen,3,1,6407162,Auto & Motorrad: Teile
6407163,Auto & Motorrad > Wohnmobil- & Caravan-Teile & Zubehör > Heizungen & Klimaanlagen > Standheizungen,4,1,6407163,Auto & Motorrad: Teile
6406747,Auto & Motorrad > Wohnmobil- & Caravan-Teile & Zubehör > Kühlboxen & Kühlschränke,3,1,6406747,Auto & Motorrad
6406772,Baby & Kind,1,2,6406651|6406772,Baby|Baby & Kind
6406652,Baby & Kind > Auto-Kindersitze & Zubehör,2,1,6406652,Baby
6467160,Baby & Kind > Babyartikel,2,1,6467160,Baby & Kind
6467373,Baby & Kind > Babyartikel > Baby- & Kindermöbel,3,1,6467373,Baby & Kind
6467478,Baby & Kind > Babyartikel > Baby- & Kindermöbel > Kindergarderoben,4,1,6467478,Baby & Kind
6467413,Baby & Kind > Babyartikel > Baby- & Kleinkinderspielzeuge,3,1,6467413,Baby & Kind
6467414,Baby & Kind > Babyartikel > Baby- & Kleinkinderspielzeuge > Holzspielzeuge,4,1,6467414,Baby & Kind
6467415,Baby & Kind > Babyartikel > Baby- & Kleinkinderspielzeuge > Holzspielzeuge > Bauklötze,5,1,6467415,Baby & Kind
6467161,Baby & Kind > Babyartikel > Babykleidung,3,1,6467161,Baby & Kind
6467472,Baby & Kind > Babyartikel > Babykleidung > Babyregenbekleidung,4,1,6467472,Baby & Kind
6467294,Baby & Kind > Babyartikel > Babykleidung > Babyschuhe,4,1,6467294,Baby & Kind
6467295,Baby & Kind > Babyartikel > Babykleidung > Babyschuhe > Babysneakers,5,1,6467295,Baby & Kind
6467162,Baby & Kind > Babyartikel > Babykleidung > Babystrumpfhosen,4,1,6467162,Baby & Kind
6467259,Baby & Kind > Babyartikel > Kinderautositze & Zubehör,3,1,6467259,Baby & Kind
6467260,Baby & Kind > Babyartikel > Kinderautositze & Zubehör > Babyschalen & Kindersitze,4,1,6467260,Baby & Kind
6467461,Baby & Kind > Babyartikel > Kinderwagen & Babytragen,3,1,6467461,Baby & Kind
6467462,Baby & Kind > Babyartikel > Kinderwagen & Babytragen > Kinderwagen & Zubehör,4,1,6467462,Baby & Kind
6467463,Baby & Kind > Babyartikel > Kinderwagen & Babytragen > Kinderwagen & Zubehör > Kinderwagen,5,1,6467463,Baby & Kind
6467464,Baby & Kind > Babyartikel > Kinderwagen & Babytragen > Kinderwagen & Zubehör > Kinderwagen > Sportkinderwagen,6,1,6467464,Baby & Kind
6467378,Baby & Kind > Babyartikel > Pflege & Entwicklung,3,1,6467378,Baby & Kind
6467379,Baby & Kind > Babyartikel > Pflege & Entwicklung > Wickelauflagen & -bezüge,4,1,6467379,Baby & Kind
6406777,Baby & Kind > Badezubehör,2,1,6406777,Baby
6406778,Baby & Kind > Badezubehör > Kinderwaschbecken,3,1,6406778,Baby
6406779,Baby & Kind > Bettausstattung,2,1,6406779,Baby
6406780,Baby & Kind > Bettausstattung > Matratzenschoner & -auflagen,3,1,6406780,Baby
6406781,Baby & Kind > Bücher & Zeitschriften,2,1,6406781,Baby
6406782,Baby & Kind > Bücher & Zeitschriften > Bücher,3,1,6406782,Baby
6406783,Baby & Kind > Ernährung,2,1,6406783,Baby
6406784,Baby & Kind > Ernährung > Kindergeschirr & -besteck,3,1,6406784,Baby
6407164,Baby & Kind > Ernährung > Kindergeschirr & -besteck > Kinderbesteck,4,1,6407164,Baby
6406773,Baby & Kind > Kindersitze & Zubehör,2,1,6406773,Baby & Kind
6406774,Baby & Kind > Kindersitze & Zubehör > Kindersitze,3,1,6406774,Baby & Kind
6406653,Baby & Kind > Kinderwagen & Zubehör,2,1,6406653,Baby
6407165,Baby & Kind > Kinderwagen & Zubehör > Kinderwagenzubehör,3,1,6407165,Baby
6407166,Baby & Kind > Kinderwagen & Zubehör > Kinderwagenzubehör > Sitzauflagen,4,1,6407166,Baby
6406785,Baby & Kind > Möbel,2,1,6406785,Baby
6406786,Baby & Kind > Möbel > Laufgitter,3,1,6406786,Baby
6406654,Baby & Kind > Pflege,2,1,6406654,Baby
6467252,Baby & Kind > Spielwaren,2,1,6467252,Baby & Kind
6467341,Baby & Kind > Spielwaren > Kinder Spielwelten,3,1,6467341,Baby & Kind
6467342,Baby & Kind > Spielwaren > Kinder Spielwelten > Kinder-Gartengeräte,4,1,6467342,Baby & Kind
6467404,Baby & Kind > Spielwaren > Kreativspielzeuge,3,1,6467404,Baby & Kind
6467405,Baby & Kind > Spielwaren > Kreativspielzeuge > 3D Stifte,4,1,6467405,Baby & Kind
6467253,Baby & Kind > Spielwaren > Musikinstrumente,3,1,6467253,Baby & Kind
6467254,Baby & Kind > Spielwaren > Musikinstrumente > Gitarren & Zubehör,4,1,6467254,Baby & Kind
6467349,Baby & Kind > Spielwaren > Musikinstrumente > Gitarren & Zubehör > Gitarren,5,1,6467349,Baby & Kind
6467350,Baby & Kind > Spielwaren > Musikinstrumente > Gitarren & Zubehör > Gitarren > Konzertgitarren,6,1,6467350,Baby & Kind
6467255,Baby & Kind > Spielwaren > Musikinstrumente > Gitarren & Zubehör > Gitarrenzubehör,5,1,6467255,Baby & Kind
6467256,Baby & Kind > Spielwaren > Musikinstrumente > Gitarren & Zubehör > Gitarrenzubehör > Gitarren-Effekte,6,1,6467256,Baby & Kind
6406787,Baby & Kind > Spielzeug,2,1,6406787,Baby
6406788,Baby & Kind > Spielzeug > Badespielzeug,3,1,6406788,Baby
6406789,Baby & Kind > Spielzeug > Holzspielzeug,3,1,6406789,Baby
6406775,Baby & Kind > Wickeln & Baden,2,1,6406775,Baby & Kind
6406776,Baby & Kind > Wickeln & Baden > Wickelauflagen & Wickeltische,3,1,6406776,Baby & Kind
6407167,Bad & Sanitär,1,1,6407167,Bad & Sanitär
6407168,Bad & Sanitär > Armaturen,2,1,6407168,Bad & Sanitär
6407169,Bad & Sanitär > Armaturen > Duscharmaturen,3,1,6407169,Bad & Sanitär
6407170,Bad & Sanitär > Armaturen > Duscharmaturen > Duschthermostate,4,1,6407170,Bad & Sanitär
6407171,Bastel- & Künstlerbedarf,1,1,6407171,Bastel- & Künstlerbedarf
6407172,Bastel- & Künstlerbedarf > Künstler- & Zeichenbedarf,2,1,6407172,Bastel- & Künstlerbedarf
6407173,Bastel- & Künstlerbedarf > Künstler- & Zeichenbedarf > Malen,3,1,6407173,Bastel- & Künstlerbedarf
6407174,Bastel- & Künstlerbedarf > Künstler- & Zeichenbedarf > Malen > Aquarell,4,1,6407174,Bastel- & Künstlerbedarf
6407175,Bastel- & Künstlerbedarf > Künstler- & Zeichenbedarf > Zeichnen,3,1,6407175,Bastel- & Künstlerbedarf
6407176,Bastel- & Künstlerbedarf > Künstler- & Zeichenbedarf > Zeichnen > Farbstifte & Zeichenkohle,4,1,6407176,Bastel- & Künstlerbedarf
6407177,Bastel- & Künstlerbedarf > Künstler- & Zeichenbedarf > Zeichnen > Pastell,4,1,6407177,Bastel- & Künstlerbedarf
6406790,Baumarkt,1,1,6406790,Baumarkt
6406793,Baumarkt > Bauelemente,2,1,6406793,Baumarkt
6406791,Baumarkt > Bauelemente & Treppen,2,1,6406791,Baumarkt
6406792,Baumarkt > Bauelemente & Treppen > Revisionsklappen,3,1,6406792,Baumarkt
6406794,Baumarkt > Bauelemente > Revision,3,1,6406794,Baumarkt
6406655,Beauty & Gesundheit,1,1,6406655,Beauty & Gesundheit
6407178,Beauty & Gesundheit > Enthaarung & Rasur,2,1,6407178,Beauty & Gesundheit
6407179,Beauty & Gesundheit > Enthaarung & Rasur > Rasierer & Rasierklingen,3,1,6407179,Beauty & Gesundheit
6407180,Beauty & Gesundheit > Enthaarung & Rasur > Rasierer & Rasierklingen > Herren Rasierklingen,4,1,6407180,Beauty & Gesundheit
6406657,Beauty & Gesundheit > Haarpflege & Haarstyling,2,1,6406657,Beauty & Gesundheit
6406658,Beauty & Gesundheit > Hautpflege,2,1,6406658,Beauty & Gesundheit
6406795,Beauty & Gesundheit > Hautpflege > Anti-Faltenprodukte,3,1,6406795,Beauty & Gesundheit
6406796,Beauty & Gesundheit > Hautpflege > Gesichtspflegegeräte,3,1,6406796,Beauty & Gesundheit
6407181,Beauty & Gesundheit > Hautpflege > Körperpflege,3,1,6407181,Beauty & Gesundheit
6407182,Beauty & Gesundheit > Hautpflege > Körperpflege > Körpercremes & -lotionen,4,1,6407182,Beauty & Gesundheit
6406659,Beauty & Gesundheit > Hilfsmittel,2,1,6406659,Beauty & Gesundheit
6407183,Beauty & Gesundheit > Hilfsmittel > Alltagshilfen,3,1,6407183,Beauty & Gesundheit
6407184,Beauty & Gesundheit > Hilfsmittel > Alltagshilfen > Inkontinenzhilfen,4,1,6407184,Beauty & Gesundheit
6407185,Beauty & Gesundheit > Hilfsmittel > Mobilitäts- & Gehhilfen,3,1,6407185,Beauty & Gesundheit
6407187,Beauty & Gesundheit > Hilfsmittel > Mobilitäts- & Gehhilfen > Rollstühle,4,1,6407187,Beauty & Gesundheit
6406660,Beauty & Gesundheit > Körperpflege,2,1,6406660,Beauty & Gesundheit
6406797,Beauty & Gesundheit > Medikamente von Apothekern,2,1,6406797,Beauty & Gesundheit
6406798,Beauty & Gesundheit > Medikamente von Apothekern > Tiergesundheit,3,1,6406798,Beauty & Gesundheit
6406799,Beauty & Gesundheit > Parfums,2,1,6406799,Beauty & Gesundheit
6406800,Beauty & Gesundheit > Parfums > Herren,3,1,6406800,Beauty & Gesundheit
6406661,Beauty & Gesundheit > Pflege- & Medizinischer Bedarf,2,1,6406661,Beauty & Gesundheit
6407188,Beauty & Gesundheit > Pflege- & Medizinischer Bedarf > Kälte- & Wärmetherapie,3,1,6407188,Beauty & Gesundheit
6407189,Beauty & Gesundheit > Pflege- & Medizinischer Bedarf > Kälte- & Wärmetherapie > Infrarot- & Wärmegeräte,4,1,6407189,Beauty & Gesundheit
