baselinker_category_id;baselinker_breadcrumb
6488275;Auto & Motorrad > Motorrad- & Rollerteile & -zubehör > Elektrik & Zündungen > Batterien
6488348;Auto & Motorrad > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik > Endantriebsriemen & -ketten & Zahnriemensätze > Endantriebsriemen & -ketten
6488372;Auto & Motorrad > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik > Endantriebsriemen & -ketten & Zahnriemensätze > Primärzahnriemen & -ketten
6488189;Auto & Motorrad > Motorrad- & Rollerteile & -zubehör > Spiegel
6488195;Auto & Motorrad > Quad-, SSV- & UTV-Teile & -Zubehör > Ansaug- & Kraftstoffsysteme
6488279;Auto & Motorrad > Spezielle Fahrzeug-Teile > Pkw-Anhänger Ersatzteile > Stützen & Keile
6488284;Auto & Motorrad > Werkzeuge > Reparatur-Sets & Teile > Reifenreparatur
6488191;Auto & Motorrad > Öl, Pflege- & Schmiermittel > Automatikgetriebeöl
6488193;Auto & Motorrad > Öl, Pflege- & Schmiermittel > Motoröl
6488164;Baby & Kind > Auto-Kindersitze & Zubehör
6488201;Baby & Kind > Bettausstattung > Matratzenschoner & -auflagen
6488204;Baby & Kind > Bücher & Zeitschriften > Bücher
6488206;Baby & Kind > Ernährung > Kindergeschirr & -besteck
6488289;Baby & Kind > Ernährung > Kindergeschirr & -besteck > Kinderbesteck
6488165;Baby & Kind > Kinderwagen & Zubehör
6488292;Baby & Kind > Kinderwagen & Zubehör > Kinderwagenzubehör > Sitzauflagen
6488210;Baby & Kind > Spielzeug > Badespielzeug
6488211;Baby & Kind > Spielzeug > Holzspielzeug
6407180;Beauty & Gesundheit > Enthaarung & Rasur > Rasierer & Rasierklingen > Herren Rasierklingen
6406657;Beauty & Gesundheit > Haarpflege & Haarstyling
6406658;Beauty & Gesundheit > Hautpflege
6406795;Beauty & Gesundheit > Hautpflege > Anti-Faltenprodukte
6407184;Beauty & Gesundheit > Hilfsmittel > Alltagshilfen > Inkontinenzhilfen
6406798;Beauty & Gesundheit > Medikamente von Apothekern > Tiergesundheit
6407189;Beauty & Gesundheit > Pflege- & Medizinischer Bedarf > Kälte- & Wärmetherapie > Infrarot- & Wärmegeräte
6406817;Briefmarken > Motive > Geschichte
6407513;Business & Industrie > Elektronik & Messtechnik > Kabel & Leitungen > Kabelverbinder & Anschlussklemmen > Leitungs- & Kabelverbinder
6407517;Business & Industrie > Großhandel & Sonderposten > Kleidung & Accessoires(Posten) > Herrenbekleidung > Unterwäsche
6407223;Business & Industrie > Sicherheit & Gebäudeinstandhaltung > Persönliche Schutzausrüstung > Sicherheitswesten
6406669;Bücher & Zeitschriften > Bücher
6406670;Bücher & Zeitschriften > Fachbücher, Lernen & Nachschlagen
6407208;Büro & Schreibwaren > Büromöbel > Schränke & Regale > Aktenschränke
6406821;Büro & Schreibwaren > Bürotechnik > Schreibmaschinen-Zubehör
6407211;Büro & Schreibwaren > Papier, Büro- & Schreibwaren > Papier, Hefte & Blöcke > Briefpapier & Karten
6406675;Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör
6406829;Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör > Drucker
6406830;Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör > Tinte, Toner & Papier
6407224;Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör > Tinte, Toner & Papier > Tintenpatronen
6406677;Computer, Tablets & Netzwerk > Kabel & Steckverbinder
6407226;Computer, Tablets & Netzwerk > Kabel & Steckverbinder > Netzwerkkabel & Adapter > Splitter, Koppler & Adapter
6406833;Computer, Tablets & Netzwerk > Kabel & Steckverbinder > USB-Kabel, -Hubs & -Adapter
6406838;Computer, Tablets & Netzwerk > Notebook- & Desktop-Zubehör > Mauspads & Handgelenkauflagen
6406839;Computer, Tablets & Netzwerk > Notebook- & Desktop-Zubehör > Ständer, Halter & Autohalterungen
6406849;Filme & Serien > Film-Fanartikel > Bücher & Skripte
6406851;Garten & Terrasse > Beleuchtung > Garten- & Terrassenfackeln
6406854;Garten & Terrasse > Beleuchtung > Strahler & Flutlichter
6406857;Garten & Terrasse > Gartenbauten & Sonnenschutz > Sonnenschirmzubehör
6406865;Garten & Terrasse > Grills, Heizstrahler & Picknickzubehör > Servierwagen
6406694;Garten & Terrasse > Motor-Gartengeräte & -zubehör
6406870;Garten & Terrasse > Motor-Gartengeräte & -zubehör > Kettensägen-Zubehör
6406867;Garten & Terrasse > Möbel > Möbelschutzhüllen
6407244;Handys & Kommunikation > Funktechnik > Antennen > Amateurfunkantennen
6407246;Handys & Kommunikation > Funktechnik > Teile & Zubehör > Filter
6406895;Handys & Kommunikation > Handy-Zubehör > Taschen & Schutzhüllen
6406700;Haushaltsgeräte > Geschirrspülmaschinen
6406904;Haushaltsgeräte > Kaffee-, Tee- & Espressomaschinen > Filter-Kaffeemaschinen
6406907;Haushaltsgeräte > Kleingeräte Haushalt > Dampfreiniger
6406910;Haushaltsgeräte > Kleingeräte Küche > Fritteusen
6407270;Haushaltsgeräte > Klimaanlagen & Heizgeräte > Ventilatoren & Luftbehandlung > Stand- & Tischventilatoren
6406914;Haushaltsgeräte > Staubsauger & Zubehör > Staubsauger
6406917;Haushaltsgeräte > Waschmaschinen & Trockner > Waschmaschinen- & Trocknerteile
6406703;Haustierbedarf > Fische & Aquarien
6406921;Haustierbedarf > Katzen > Kratzbäume & Möbel
6406922;Haustierbedarf > Katzen > Näpfe & Trinkbrunnen
6406923;Heimwerker > Bad & Küche > Bad
6407277;Heimwerker > Bad & Küche > Küche > Küchenarmaturen
6407280;Heimwerker > Erneuerbare Energie > Solarenergie > Solarmodule
6406930;Heimwerker > Farben, Tapeten & Zubehör > Tapeten, Werkzeuge & Zubehör
6407283;Heimwerker > Heizen, Klima & Sanitär > Heizungs-, Klima- & Sanitärprüfgeräte > Rohrinstallations-Sets
6407285;Heimwerker > Heizen, Klima & Sanitär > Wasser > Pumpen & Wasserfiltersysteme
6407286;Heimwerker > Heizen, Klima & Sanitär > Wasser > Ventile
6406932;Heimwerker > Schrankbeschläge & -teile > Schubladenschienen
6406934;Heimwerker > Schwimmbecken, Saunen & Außenwhirlpools > Schwimmbeckenbedarf
6406936;Heimwerker > Werkzeuge > Elektrowerkzeug- & Druckluftgerät-Zubehör
6407287;Heimwerker > Werkzeuge > Elektrowerkzeug- & Druckluftgerät-Zubehör > Bohrer-Bits
6407288;Heimwerker > Werkzeuge > Elektrowerkzeuge > Schleifmaschinen
6406938;Heimwerker > Werkzeuge > Handwerkzeuge
6407289;Heimwerker > Werkzeuge > Handwerkzeuge > Messer
6407290;Heimwerker > Werkzeuge > Handwerkzeuge > Schraubenschlüssel
6407292;Heimwerker > Werkzeuge > Messwerkzeuge & Messgeräte > Messschieber
6407527;Kleidung & Accessoires > Damen > Damen-Accessoires > Sonnenbrillen & Zubehör > Sonnenbrillen
6406945;Kleidung & Accessoires > Damen > Damenschuhe
6407293;Kleidung & Accessoires > Damen > Damenschuhe > Halbschuhe & Ballerinas
6407294;Kleidung & Accessoires > Damen > Damenschuhe > Sneaker
6407295;Kleidung & Accessoires > Damen > Damenschuhe > Stiefel & Stiefeletten
6407307;Kleidung & Accessoires > Herren > Herren-Accessoires
6407308;Kleidung & Accessoires > Herren > Herren-Accessoires > Geldbörsen & Etuis
6407309;Kleidung & Accessoires > Herren > Herren-Accessoires > Handschuhe & Fäustlinge
6407314;Kleidung & Accessoires > Herren > Herrenschuhe > Sandalen
6407315;Kleidung & Accessoires > Herren > Herrenschuhe > Sneaker
6407316;Kleidung & Accessoires > Herren > Herrenschuhe > Stiefel
6407310;Kleidung & Accessoires > Herren > Pullover & Strick
6407531;Kleidung & Accessoires > Herren > Shirts & Hemden > Freizeithemden & Shirts
6407532;Kleidung & Accessoires > Herren > Shirts & Hemden > Poloshirts
6407533;Kleidung & Accessoires > Herren > Shirts & Hemden > T-Shirts
6407317;Kleidung & Accessoires > Herren > Unterwäsche
6407537;Kleidung & Accessoires > Kinder > Jungen > Mode für Jungen > T-Shirts, Polos & Hemden
6407540;Kleidung & Accessoires > Kinder > Unisex für Kinder > Unisex-Mode > Kapuzenpullover & Sweatshirts
6407329;Kleidung & Accessoires > Spezielle Anlässe > Erotik > Kostüme für Damen
6407543;Kleidung & Accessoires > Spezielle Anlässe > Kostüme & Verkleidungen > Kostüme > Baby- & Kleinkinderkostüme
6407547;Kleidung & Accessoires > Spezielle Anlässe > Vintage-Mode > Vintage-Accessoires > Krawatten, -schals & Fliegen
6407549;Kleidung & Accessoires > Spezielle Anlässe > Vintage-Mode > Vintage-Mode für Herren > Pullover & Strickjacken
6407174;Künstler- & Zeichenbedarf > Malen > Aquarell
6407176;Künstler- & Zeichenbedarf > Zeichnen > Farbstifte & Zeichenkohle
6407177;Künstler- & Zeichenbedarf > Zeichnen > Pastell
6407552;Modellbau > Modellbausätze > Werkzeuge, Zubehör & Motoren > Werkzeuge > Elektrowerkzeuge
6407378;Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Fernsteuerung & Elektronik
6407385;Musikinstrumente > Drums & Percussion > Ersatzteile > Sticks, Besen & Schlägel
6407021;Musikinstrumente > Gitarren & Bässe > E-Gitarren
6407554;Musikinstrumente > Gitarren & Bässe > Zubehör > Teile > Pickups
6407338;Möbel & Wohnen > Badezimmer > Badezimmerzubehör > Badvorleger, Teppiche & Toilettensitzabdeckungen
6407339;Möbel & Wohnen > Badezimmer > Badezimmerzubehör > Handtuchhalter
6407341;Möbel & Wohnen > Badezimmer > Dusch- & Badewannenzubehör > Anti-Rutsch-Lösungen
6406723;Möbel & Wohnen > Beleuchtung
6406724;Möbel & Wohnen > Bettwaren, -wäsche & Matratzen
6406974;Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Bettlaken
6406975;Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Bettwäsche
6406976;Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Kopfkissen & Körperkissen
6406979;Möbel & Wohnen > Dekoration > Figuren, Skulpturen & Statuen
6407344;Möbel & Wohnen > Haushalt > Putzgeräte > Reinigungshandschuhe
6406983;Möbel & Wohnen > Hochzeitsdekoration > Gastgeschenke
6406984;Möbel & Wohnen > Kindermöbel & Wohnen > Badzubehör & -textilien
6407348;Möbel & Wohnen > Kindermöbel & Wohnen > Bettwaren & -wäsche > Bettdecken
6407350;Möbel & Wohnen > Kindermöbel & Wohnen > Kochen & Essen > Schüsseln & Teller
6406726;Möbel & Wohnen > Kochen & Genießen
6407354;Möbel & Wohnen > Kochen & Genießen > Gedeckter Tisch > Servierplatten & -schalen
6407355;Möbel & Wohnen > Kochen & Genießen > Gedeckter Tisch > Tischsets
6406986;Möbel & Wohnen > Kochen & Genießen > Gläser & Glaswaren
6407356;Möbel & Wohnen > Kochen & Genießen > Küchenhelfer > Gewürzmühlen & -streuer
6406988;Möbel & Wohnen > Kochen & Genießen > Küchenmesser
6407363;Möbel & Wohnen > Kochen & Genießen > Wasseraufbereitung & Trinkwassersprudler > Trinkwassersprudler
6407364;Möbel & Wohnen > Kochen & Genießen > Wasseraufbereitung & Trinkwassersprudler > Wasserfilter-Kartuschen
6407366;Möbel & Wohnen > Möbel > Betten > Lattenroste
6406991;Möbel & Wohnen > Möbel > Regale & Aufbewahrung
6407382;Münzen > Historische Wertpapiere > USA & Kanada > Elektronik & Computer
6407029;Reisen > Reiseaccessoires > Regenschirme
6407033;Reisen > Reisekoffer & -taschen > Reisekoffer & Trolleys
6407036;Sammeln & Seltenes > Rollenspiele & Tabletops > Kartenspiele
6407394;Sammeln & Seltenes > Sammelkartenspiele/TCGs > TCG Zubehör > TCG Deck-Boxen, Blechdosen & Kartentrenner
6406732;Spielzeug > Basteln & Kreativität
6407045;Spielzeug > Bären, -kleidung & Zubehör > Bärenkleidung & Accessoires
6406733;Spielzeug > Lernspielzeug
6407053;Spielzeug > Musik & Instrumente > Trommeln & Co.
6407055;Spielzeug > Playmobil > Freizeit
6406734;Spielzeug > Puppen & Zubehör
6407406;Spielzeug > Spiele > Kartenspiele > Moderne Kartenspiele
6407057;Spielzeug > Spiele > Sonstige
6407418;Sport > Angelsport > Kleines Angelzubehör > Bleie
6407420;Sport > Angelsport > Zubehör > Räucheröfen & -utensilien
6407423;Sport > Camping & Outdoor > Bekleidung > Wanderschuhe
6407428;Sport > Camping & Outdoor > Camping-Küchenbedarf > Kochgeschirr
6407438;Sport > Camping & Outdoor > Rucksäcke > Tagesrucksäcke
6407439;Sport > Camping & Outdoor > Rucksäcke > Trekkingrucksäcke
6407067;Sport > Camping & Outdoor > Sonstiges Camping & Outdoor
6407441;Sport > Camping & Outdoor > Zelte & Strandmuscheln > Strandmuscheln
6407557;Sport > Fitness & Jogging > Bekleidung > Damen > Sweatshirts & Kapuzenpullover
6407069;Sport > Fitness & Jogging > Fitness- & Laufschuhe
6407446;Sport > Fitness & Jogging > Krafttraining & Gewichte > Gewichthebergürtel
6407070;Sport > Fitness & Jogging > Yoga & Pilates
6407449;Sport > Fitness & Jogging > Yoga & Pilates > Yogamatten
6407072;Sport > Funsport > Cityroller & Kickboards
6407073;Sport > Funsport > Elektro-Scooter
6407563;Sport > Funsport > Skateboarding > Boards > Lager
6407075;Sport > Radsport > Fahrradteile & -komponenten
6407456;Sport > Radsport > Fahrradteile & -komponenten > Bremsbeläge
6407457;Sport > Radsport > Fahrradteile & -komponenten > Bremsscheiben
6407458;Sport > Radsport > Fahrradteile & -komponenten > Sättel
6407076;Sport > Radsport > Fahrradzubehör
6407461;Sport > Radsport > Fahrradzubehör > Beleuchtung & Reflektoren
6407463;Sport > Radsport > Fahrradzubehör > Fahrradanhänger
6407464;Sport > Radsport > Fahrradzubehör > Fahrradständer & Aufbewahrung
6407465;Sport > Radsport > Fahrradzubehör > Fahrradtaschen
6407467;Sport > Radsport > Fahrradzubehör > Schlösser & Sicherheit
6407468;Sport > Radsport > Fahrradzubehör > Transportkoffer/-taschen
6407470;Sport > Radsport > Helme & Protektoren > Helme
6407080;Sport > Sporttaschen & Rucksäcke > Rucksäcke
6407475;Sport > Tauchen > Instrumente & Uhren > Konsolen
6407477;Sport > Weitere Ballsportarten > Football > Fanartikel
6407082;Sport > Weitere Ballsportarten > Tennis
6407478;Sport > Weitere Ballsportarten > Tennis > Sonstige
6407485;Sport > Weiterer Wassersport > Kitesurfen > Sonstige
6407488;Sport > Wintersport > Bekleidung > Hosen
6407570;Sport > Wintersport > Skifahren, Snowboarden & Schneeschuhwandern > Schuhe & Boots > Herrenschuhe & -boots
6407571;Sport > Wintersport > Skifahren, Snowboarden & Schneeschuhwandern > Schuhe & Boots > Kinderschuhe & -boots
6406740;TV, Video & Audio > Tragbare Geräte & Kopfhörer
6407095;Uhren & Schmuck > Juwelierbedarf > Reinigungsgeräte & -materialien
