sku;avy_id;bl_product_id;before_brand;after_brand;bl_brand;before_title;after_title;bl_title;bucket;title_issues;apply_avy;apply_bl
SKU-4616386559;4006633310222;467473617;ATE;ATE;ATE;ATE Bremsscheibe Hinten 12mm für Continental Aftermarket Services GmbH;ATE Bremsscheibe Hinten 12mm für Audi A4/A5/A6/A7/Q5 OE: 412178;ATE Bremsscheibe Hinten 12mm für Audi A4/A5/A6/A7/Q5 OE: 412178;Auto & Motorrad (Teile);title_too_short|priority_a_missing_in_title;no;no
SKU-7396058360;4026947097541;489024228;BGS technic;BGS technic;BGS technic;BGS technic Motor-Einstellwerkzeug Satz für Opel Saab Chevrolet Buick Cadillac;BGS technic Motor-Einstellwerkzeug für Opel Saab Chevy 2.8L 3.6L EN-46106 EN-48383;BGS technic Motor-Einstellwerkzeug für Opel Saab Chevy 2.8L 3.6L EN-46106 EN-48383;Auto & Motorrad (Teile);title_too_long|priority_a_missing_in_title;no;no
SKU-1609202291;4027816321033;467474755;Febi Bilstein;Febi Bilstein;febi bilstein;Febi Bilstein Ölfilter 32103 65mm;FEBI Bilstein Ölfilter 32103 65mm für Peugeot Citroën Ford Opel Diesel 9818914980;FEBI Bilstein Ölfilter 32103 65mm für Peugeot Citroën Ford Opel Diesel 9818914980;Auto & Motorrad (Teile);title_too_long|priority_a_missing_in_title;no;no
SKU-3097738026;4034144003036;473223837;EMUK;EMUK;EMUK;EMUK Anhängerspiegel Außenspiegel 100303;EMUK Anhängerspiegel Außenspiegel für Renault Modelle ab 2015 (100303);EMUK Anhängerspiegel Außenspiegel für Renault Modelle ab 2015 (100303);Auto & Motorrad (Teile);priority_a_missing_in_title;no;no
SKU-0333689520;4040074053454;467474894;MEYLE;MEYLE;MEYLE;MEYLE Federbeinstützlager Vorderachse für Mercedes-Benz 014 641 0004;MEYLE Federbeinstützlager Vorderachse für Mercedes E-Klasse, CLS 014 641 0004;MEYLE Federbeinstützlager Vorderachse für Mercedes E-Klasse, CLS 014 641 0004;Auto & Motorrad (Teile);priority_a_missing_in_title;no;no
SKU-0945605804;4040074122754;473224960;MEYLE;MEYLE;MEYLE;MEYLE Automatikgetriebeöl 0140193700 ATF DCG II 1 Liter;MEYLE Automatikgetriebeöl ATF DCG II für VW DSG, BMW DKG 0140193700;MEYLE Automatikgetriebeöl ATF DCG II für VW DSG, BMW DKG 0140193700;Auto & Motorrad (Teile);title_too_short;no;no
SKU-9078406333;4040074137246;467514130;MEYLE;MEYLE;MEYLE;MEYLE Inspektionspaket für Audi VW Seat Skoda 1 112 330 0003/S Inspekti;MEYLE Inspektionspaket für Audi VW Seat Skoda 1.6 2.0 TDI 112 330 0003/S;MEYLE Inspektionspaket für Audi VW Seat Skoda 1.6 2.0 TDI 112 330 0003/S;Auto & Motorrad (Teile);;no;no
SKU-6074840029;4040074266946;467549470;MEYLE;MEYLE;MEYLE;MEYLE Gelenksatz radseitig 100 498 0057;MEYLE Gelenksatz radseitig für MCV0026 100 498 0057;MEYLE Gelenksatz radseitig für MCV0026 100 498 0057;Auto & Motorrad (Teile);title_too_short;no;no
SKU-8581934036;4041248145418;467474893;Elring;Elring;Elring;Elring Zylinderkopfschraubensatz Zylinderkopf für VW 057.240 172mm;Elring Zylinderkopfschraubensatz Zylinderkopf für VW Touran 057.240;Elring Zylinderkopfschraubensatz Zylinderkopf für VW Touran 057.240;Auto & Motorrad (Teile);title_too_short;no;no
SKU-8529588380;4041248434536;467474896;Elring;Elring;Elring;Elring Dichtungssatz für VW Seat T5 Sharan Alhambra 542.210;Elring Dichtungssatz Zylinderkopf für VW T5 Sharan Alhambra 542.210;Elring Dichtungssatz Zylinderkopf für VW T5 Sharan Alhambra 542.210;Auto & Motorrad (Teile);title_too_short|priority_a_missing_in_title;no;no
SKU-7321712010;4041248450864;467474903;Elring;Elring;Elring;Elring Zylinderkopfdichtungssatz Motor 1.49mm 1212188109;Elring Zylinderkopfdichtungssatz 1.49mm für Audi, VW 038103383BL, 1212188109;Elring Zylinderkopfdichtungssatz 1.49mm für Audi, VW 038103383BL, 1212188109;Auto & Motorrad (Teile);priority_a_missing_in_title|priority_a_not_in_first_60;no;no
SKU-4780318569;4041248450871;467474900;Elring;Elring;Elring;Elring Zylinderkopfdichtung Motor 1.57mm für Volkswagen Audi Ford Seat Skoda;Elring Zylinderkopfdichtung Motor 1.57mm für VW Audi Ford Seat Skoda 150.162;Elring Zylinderkopfdichtung Motor 1.57mm für VW Audi Ford Seat Skoda 150.162;Auto & Motorrad (Teile);priority_a_missing_in_title;no;no
SKU-3016364513;4046001447266;467476418;VAICO;VAICO;VAICO;VAICO Bremsscheibe Hinterachse V25-40006;VAICO Bremsscheibe Hinterachse für Ford Kuga Galaxy Focus Mondeo V25-40006;VAICO Bremsscheibe Hinterachse für Ford Kuga Galaxy Focus Mondeo V25-40006;Auto & Motorrad (Teile);;no;no
SKU-1353005263;4082300855241;467476419;HELLA;HELLA;HELLA;HELLA Anlasser für Mazda Cx-5 8EA 011 612-801 12V 1.2kW;HELLA Anlasser 12V 1.2kW für Mazda CX-5 8EA 011 612-801;HELLA Anlasser 12V 1.2kW für Mazda CX-5 8EA 011 612-801;Auto & Motorrad (Teile);title_too_short;no;no
SKU-0694979094;4100420037405;476200310;LIQUI MOLY;LIQUI MOLY;LIQUI MOLY;LIQUI MOLY Motoröl für Ganzjährig 3740 5W-30 1 Liter 5W;LIQUI MOLY Motoröl Top Tec 4300 5W-30 für Benzin- und Dieselfahrzeuge OE 3740;LIQUI MOLY Motoröl Top Tec 4300 5W-30 für Benzin- und Dieselfahrzeuge OE 3740;Auto & Motorrad (Teile);priority_a_missing_in_title;no;no
SKU-2902386366;4251175827556;467476534;EURO DRIVELINE;EURO DRIVELINE;EURO DRIVELINE;EURO DRIVELINE Antriebswelle Vorderachse links W135;EURO DRIVELINE Antriebswelle Vorderachse links für VW Lupo, Polo, Scirocco W135;EURO DRIVELINE Antriebswelle Vorderachse links für VW Lupo, Polo, Scirocco W135;Auto & Motorrad (Teile);;no;no
SKU-8650951585;4260527480433;491624601;Lyvanas;Lyvanas;Lyvanas;Lyvanas Eiskratzer mit Schneebesen LYEK-01;Lyvanas Eiskratzer Schneebesen 2-in-1 für PKW/LKW ICE SCRAPER LYEK-01;Lyvanas Eiskratzer Schneebesen 2-in-1 für PKW/LKW ICE SCRAPER LYEK-01;Auto & Motorrad (Teile);title_too_short|priority_a_missing_in_title;no;no
SKU-9268872444;4270001051905;467476724;SPIVO;SPIVO®;SPIVO®;SPIVO Tennis Trainer spi-bun-DE1-bla;SPIVO Tennis Trainer spi-bun-DE1-bla;SPIVO Tennis Trainer spi-bun-DE1-bla;Sport & Freizeit;title_too_short;no;no
SKU-2966583160;4906958001464;467527296;YUASA;YUASA;YUASA;YUASA Motorradbatterie für Motorrad Powersports YTZ10S 12V Motorradbatt;YUASA AGM Batterie YTZ10S 12V 9.1Ah Starterbatterie für Motorräder;YUASA AGM Batterie YTZ10S 12V 9.1Ah Starterbatterie für Motorräder;Auto & Motorrad (Teile);title_too_short|priority_a_missing_in_title|priority_a_not_in_first_60;no;no
SKU-2019632072;4909500898543;467476727;KYB;KYB;KYB;KYB Staubschutzsatz Vorderachse 910158;KYB Staubschutzsatz Vorderachse für Mercedes E-Klasse W212 S212 910158;KYB Staubschutzsatz Vorderachse für Mercedes E-Klasse W212 S212 910158;Auto & Motorrad (Teile);;no;no
SKU-9425624573;5011987005952;476547233;Shell;Shell;Shell;Shell Motoröl für Diesel- und Ottomotoren 550042844 HelixUltra ECT C3 5W-30;Shell Motoröl Helix Ultra ECT C3 5W-30 für Diesel- und Ottomotoren 550042844;Shell Motoröl Helix Ultra ECT C3 5W-30 für Diesel- und Ottomotoren 550042844;Auto & Motorrad (Teile);;no;no
SKU-1746174206;5901532626087;467476969;Spieg;Spieg;Spieg;Spieg Außenspiegel Rechts für Fiat Ducato 626087 elektrisch beheizt;Polcar Außenspiegel Rechts elektrisch beheizt für Fiat Ducato 3238522E;Polcar Außenspiegel Rechts elektrisch beheizt für Fiat Ducato 3238522E;Auto & Motorrad (Teile);order_priority_a;no;no
SKU-5437386727;5904270013775;467477119;JPN;JPN;JPN;JPN Radlagersatz Vorderachse QL0503-JPN;JPN Radlagersatz Vorderachse für KIA Sportage SL, 10L0503-JPN;JPN Radlagersatz Vorderachse für KIA Sportage SL, 10L0503-JPN;Auto & Motorrad (Teile);title_too_short;no;no
SKU-6816251293;5908242693453;467477094;KAMOKA;KAMOKA;KAMOKA;KAMOKA Radlagersatz Vorderachse 5600063 84mm;KAMOKA Radlagersatz Vorderachse für Hyundai KIA Sportage SL 5600063;KAMOKA Radlagersatz Vorderachse für Hyundai KIA Sportage SL 5600063;Auto & Motorrad (Teile);title_too_short;no;no
SKU-7199945280;6220160202030;497952264;Sodafixx;SodaStream;SodaStream;Sodafixx CO2 Zylinder;Sodafixx CO2 Zylinder;Sodafixx CO2 Zylinder;Küche & Haushalt;title_too_short|priority_a_missing_in_title|priority_a_not_in_first_60;no;no
SKU-1423771699;7082024102510;467477315;Piaggio;Piaggio;Piaggio;Piaggio Keilriemen Antrieb für Group MP3 530 HPE 1A020495;Piaggio Keilriemen Antrieb für Piaggio MP3 530 HPE 1A020495;Piaggio Keilriemen Antrieb für Piaggio MP3 530 HPE 1A020495;Auto & Motorrad (Teile);title_too_short|priority_a_missing_in_title|duplicate_word;no;no
SKU-3606468262;7212913647233;476372298;TExTAR;TExTAR;TEXTAR;TExTAR Bremsscheibe 30mm für Mercedes-Benz S-Klasse 92056600 320mm;TEXTAR Bremsscheibe 320mm 30mm für Mercedes-Benz S-Klasse 92056600;TEXTAR Bremsscheibe 320mm 30mm für Mercedes-Benz S-Klasse 92056600;Auto & Motorrad (Teile);title_too_short;no;no
SKU-9706798890;7313020097503;491625823;Thule;Thule;Thule;Thule Befestigungskit Dach KIT187033;Thule Befestigungskit Fixpunkt für Thule Evo Dachträger KIT187033;Thule Befestigungskit Fixpunkt für Thule Evo Dachträger KIT187033;Auto & Motorrad (Teile);title_too_short|order_priority_a|duplicate_word;no;no
SKU-0015305033;7319f91f-5656-490e-bdfa-0aa526b0a9d1;499989221;SodaStream;SodaStream;SodaStream;SodaStream Kohlensäurezylinder 4er Pack DUO Terra Crystal 3.0;SodaStream Kohlensäurezylinder 4er Pack DUO Terra Crystal 3.0 NEU;SodaStream Kohlensäurezylinder 4er Pack DUO Terra Crystal 3.0 NEU;Küche & Haushalt;priority_a_missing_in_title;no;no
SKU-3130743576;7649988997723;489184070;MONASERA;MONASERA;MONASERA;MONASERA Lufterfrischer Halter Set Lüftung HA-MS-B1-232097;MONASERA Lufterfrischer Halter Set für Lüftung mit 2 Refills HA-MS-B1-232097;MONASERA Lufterfrischer Halter Set für Lüftung mit 2 Refills HA-MS-B1-232097;Auto & Motorrad (Teile);order_priority_a;no;no
SKU-7200941317;76a7cc4f-9aa4-4149-ad6b-9cc4ef1dc1df;476389851;Tesla;Tesla;Tesla;Tesla Sonnenschutz Panoramadach hinten für Model 3 Y CLI10206PDH;Sonniboy Sonnenschutz Panoramadach hinten für Tesla Model 3 Y CLI10206PDH;Sonniboy Sonnenschutz Panoramadach hinten für Tesla Model 3 Y CLI10206PDH;Auto & Motorrad (Teile);priority_a_missing_in_title|order_priority_a;no;no
SKU-1316800430;8004815313234;488068691;Fiamma;Fiamma;Fiamma;Fiamma Auffahrkeil für Wohnmobil Wohnwagen 97901-038 2er Set 3-Stufen Gra;Fiamma Auffahrkeil Level Up 3-Stufen Set für Wohnmobile 97901-038;Fiamma Auffahrkeil Level Up 3-Stufen Set für Wohnmobile 97901-038;Auto & Motorrad (Teile);title_too_short;no;no
SKU-7333529126;8717475102703;467527298;TYC;TYC;TYC;TYC Außenspiegel Rechts für Ford Transit V363 310-0237 elektrisch;TYC Außenspiegel Rechts elektrisch beheizbar für Ford Transit V363 310-0237;TYC Außenspiegel Rechts elektrisch beheizbar für Ford Transit V363 310-0237;Auto & Motorrad (Teile);;no;no
SKU-3341294632;8718042150288;467478016;NRF;NRF;NRF;NRF Ladeluftkühler Vorne für BMW 3er 0030119A;NRF Ladeluftkühler Vorne für BMW 3er E46 0030119A;NRF Ladeluftkühler Vorne für BMW 3er E46 0030119A;Auto & Motorrad (Teile);title_too_short;no;no
SKU-0236764953;SKU-0236764953;463235479;Malossi;Malossi;Malossi;Malossi Variator Antrieb für Motorroller 105E-320 Tuning Leistungsoptimierung M;Malossi Variator Antrieb für Motorroller Multivar 2000 105E-320;Malossi Variator Antrieb für Motorroller Multivar 2000 105E-320;Auto & Motorrad (Teile);title_too_short;no;no
SKU-0411747828;SKU-0411747828;458462471;JURID;JURID;JURID;JURID Bremsbelagsatz Hinterachse BREMBO 17.2mm für BMW 1er 2er 3er 573429J;JURID Bremsbelagsatz Hinterachse für BMW 1er 2er 3er ECE R90 573429J;JURID Bremsbelagsatz Hinterachse für BMW 1er 2er 3er ECE R90 573429J;Auto & Motorrad (Teile);title_too_short|priority_a_missing_in_title;no;no
SKU-0522930788;SKU-0522930788;459737337;Einhell;Einhell;Einhell;Einhell Bohrschrauber 18V;Einhell Bohrschrauber TC-CD 18/35 Li Solo 45.139.27 Rot/Schwarz NEU Power;Einhell Bohrschrauber TC-CD 18/35 Li Solo 45.139.27 Rot/Schwarz NEU Power;Haus, Garten & Baumarkt;priority_a_missing_in_title|priority_a_not_in_first_60;no;no
SKU-0871959830;SKU-0871959830;462089181;;Ruian Menglai Craft Gift Firm;Ruian Menglai Craft Gift Firm;Rührbecher;Rührbecher;Rührbecher;Küche & Haushalt;title_too_short|priority_a_missing_in_title|priority_a_not_in_first_60;no;no
SKU-1618101796;SKU-1618101796;458513307;;Wera;Wera;Wera Maulschlüssel;Wera Maulschlüssel;Wera Maulschlüssel;Haus, Garten & Baumarkt;title_too_short;no;no
SKU-2611077541;SKU-2611077541;458456653;Glossyautoparts;Glossyautoparts;Glossyautoparts;Glossyautoparts Nockenwelle Motor für diverse Fahrzeuge EBY-1000335-1342;Glossyautoparts Nockenwelle Motor für EBY-1000335-1342 OE 1342M;Glossyautoparts Nockenwelle Motor für EBY-1000335-1342 OE 1342M;Auto & Motorrad (Teile);title_too_short;no;no
SKU-2633108165;SKU-2633108165;465090922;WALSER;WALSER;WALSER;WALSER Hagelschutzplane für PKW Größe S 5mm wasserabweisend 30973 Hagelschutzp;WALSER Hagelschutzplane Perma Protect S 5mm für PKW 30973;WALSER Hagelschutzplane Perma Protect S 5mm für PKW 30973;Auto & Motorrad (Teile);title_too_short;no;no
SKU-2636479706;SKU-2636479706;458454058;;VIDEX Garden;VIDEX Garden;VIDExGarden classic Winterschutz Frost-Schutzhaus;VIDExGarden classic Winterschutz Frost-Schutzhaus;VIDExGarden classic Winterschutz Frost-Schutzhaus;Beauty & Personal Care;title_too_short;no;no
SKU-3046032177;SKU-3046032177;449825443;Tineco;Tineco;Tineco;;Der Tineco Floor One S5 revolutioniert Ihre Bodenpflege, indem er Saugen und Wischen in einem effizienten Schritt kombiniert. Dieser intelligente Akku-Hartbodenreiniger spart Ihnen wertvolle Zeit und;Der Tineco Floor One S5 revolutioniert Ihre Bodenpflege, indem er Saugen und Wischen in einem effizienten Schritt kombiniert. Dieser intelligente Akku-Hartbodenreiniger spart Ihnen wertvolle Zeit und;Haus, Garten & Baumarkt;title_too_long|duplicate_word;no;no
SKU-3086033338;SKU-3086033338;458477182;JURID;JURID;JURID;JURID Bremsbelagsatz Vorderachse Brembo 18.3mm 573602J;JURID Bremsbelagsatz Vorderachse 18.3mm für BMW 1er-4er MPN 573602J;JURID Bremsbelagsatz Vorderachse 18.3mm für BMW 1er-4er MPN 573602J;Auto & Motorrad (Teile);title_too_short|priority_a_missing_in_title;no;no
SKU-3095199472;SKU-3095199472;458453033;;Skechers;Skechers;Skechers Golfschuhe Damen Grau/Pink Mesh Synthetik 123029/GYPK;Skechers Golfschuhe Damen Grau/Pink Mesh Synthetik 123029/GYPK;Skechers Golfschuhe Damen Grau/Pink Mesh Synthetik 123029/GYPK;Schuhe & Accessoires;title_too_short;no;no
SKU-4304000683;SKU-4304000683;458467756;LEONARDO;LEONARDO;Leonardo;LEONARDO Gläser Glaswaren;LEONARDO Becherglas Set Swing 9cm 355ml Glas Blau Grau;LEONARDO Becherglas Set Swing 9cm 355ml Glas Blau Grau;Haus, Garten & Baumarkt;title_too_short|priority_a_missing_in_title|priority_a_not_in_first_60;no;no
SKU-4433223955;SKU-4433223955;449823701;;lululemon;lululemon;Yogamatte The Big Mat;Yogamatte The Big Mat;Yogamatte The Big Mat;Sport & Freizeit;title_too_short|priority_a_missing_in_title|priority_a_not_in_first_60;no;no
SKU-4660262942;SKU-4660262942;458456586;;Adidas;Adidas;Adidas Sneaker Herren Gr. 47 1/3 Core Black/Carbon (Schwarz Leder JI1897;Adidas Sneaker Herren Gr. 47 1/3 Core Black/Carbon (Schwarz Leder JI1897;Adidas Sneaker Herren Gr. 47 1/3 Core Black/Carbon (Schwarz Leder JI1897;Schuhe & Accessoires;;no;no
SKU-5091393302;SKU-5091393302;458453027;Unbekannt;JOIDWAY;JOIDWAY;Unbekannt B423K Laser-Tonerkartusche Standard Schwarz;Unbekannt B423K Laser-Tonerkartusche Standard Schwarz;Unbekannt B423K Laser-Tonerkartusche Standard Schwarz;Elektronik & Computer;title_too_short|priority_a_missing_in_title|priority_a_not_in_first_60;no;no
SKU-5127373339;SKU-5127373339;458506064;UnionSine;UnionSine;UnionSine;UnionSine HD2510 Externe Festplatte 500GB Schwarz;UnionSine Externe Festplatte DataPocket HD2510 500GB USB 3.0 Schwarz Neu;UnionSine Externe Festplatte DataPocket HD2510 500GB USB 3.0 Schwarz Neu;Elektronik & Computer;order_priority_a;no;no
SKU-5582443660;SKU-5582443660;458516641;Biologika;Biologika;Biologika;Roberto Barnai Biologika Organ Atlas Gesundheit Sachbuch Gebundene Ausgabe;Roberto Barnai – Biologika Organ Atlas Gesundheit Sachbuch Gebundene Ausgabe NEU;Roberto Barnai – Biologika Organ Atlas Gesundheit Sachbuch Gebundene Ausgabe NEU;Bücher & Medien;priority_a_missing_in_title;no;no
SKU-5869700759;SKU-5869700759;458461774;MSI;MSI;MSI;MSI PRO B650M-P Mainboard pcie ddr5 Schwarz;MSI Mainboard PRO B650M-P Schwarz NEU AMD AM5 DDR5 PCIe 4.0 Micro-ATX Computer;MSI Mainboard PRO B650M-P Schwarz NEU AMD AM5 DDR5 PCIe 4.0 Micro-ATX Computer;Elektronik & Computer;order_priority_a;no;no
SKU-7237772440;SKU-7237772440;449822440;Topeak;Topeak;Topeak;Standpumpe TJB-UET1;Topeak Standpumpe TJB-UET1 NEU;Topeak Standpumpe TJB-UET1 NEU;Sport & Freizeit;title_too_short|title_starts_with_marketing;no;no
SKU-7473377331;SKU-7473377331;464488486;CORSAIR;CORSAIR;CORSAIR;;Das CORSAIR RM1000x Netzteil liefert eine herausragende und stabile 1000 Watt Dauerleistung, ideal für anspruchsvollste Gaming-PCs und professionelle Workstations. Es unterstützt den neuesten ATX 3. 1;Das CORSAIR RM1000x Netzteil liefert eine herausragende und stabile 1000 Watt Dauerleistung, ideal für anspruchsvollste Gaming-PCs und professionelle Workstations. Es unterstützt den neuesten ATX 3. 1;Haus, Garten & Baumarkt;title_too_long|duplicate_word;no;no
SKU-7721659409;SKU-7721659409;458477722;DB-Tronic;DB-Tronic;db-tronic;;Das db-tronic Raspberry Pi 5 8GB RAM Starter-Set bietet den idealen Einstieg in die Welt der Einplatinencomputer. Es ermöglicht Hobbyisten, Studenten und Entwicklern die mühelose Realisierung komplexe;Das db-tronic Raspberry Pi 5 8GB RAM Starter-Set bietet den idealen Einstieg in die Welt der Einplatinencomputer. Es ermöglicht Hobbyisten, Studenten und Entwicklern die mühelose Realisierung komplexe;Haus, Garten & Baumarkt;title_too_long|duplicate_word;no;no
SKU-7961309823;SKU-7961309823;458466308;;Engelbert Strauss;Engelbert Strauss;Engelbert Strauss Herren Bundhose Schwarz/Platin Gr. 44;Engelbert Strauss Herren Bundhose Schwarz/Platin Gr. 44;Engelbert Strauss Herren Bundhose Schwarz/Platin Gr. 44;Mode & Bekleidung;title_too_short;no;no
SKU-8133187753;SKU-8133187753;449821041;GULNABIO;Villa Grinario;Villa Grinario;GULNABIO Spannbettlaken Gr. 100x200cm Baumwolle Rot;VILLA GRINARIO Spannbettlaken Gr. 100x200cm Baumwolle Rot;VILLA GRINARIO Spannbettlaken Gr. 100x200cm Baumwolle Rot;Haus, Garten & Baumarkt;title_too_short;no;no
SKU-8310896573;SKU-8310896573;449822551;IKEA;LUCI;LUCI;Hängeleuchte Stahl pulverbeschichtet 38cm für Esstisch/Frühstücksbar IKEA;LUCI Pendelleuchte SKU-8310896573 38cm 220-240V Metall 240V Weiß;LUCI Pendelleuchte SKU-8310896573 38cm 220-240V Metall 240V Weiß;Haus, Garten & Baumarkt;title_too_short|priority_a_missing_in_title|priority_a_not_in_first_60;no;no
