SKU,Localised For,Title,Subtitle,Product Description,Additional Info,Group Picture URL,Picture URL 1,Picture URL 2,Picture URL 3,Picture URL 4,Picture URL 5,Picture URL 6,Picture URL 7,Picture URL 8,Picture URL 9,Picture URL 10,Picture URL 11,Picture URL 12,Picture URL 13,Picture URL 14,Picture URL 15,Picture URL 16,Picture URL 17,Picture URL 18,Picture URL 19,Picture URL 20,Picture URL 21,Picture URL 22,Picture URL 23,Picture URL 24,UPC,ISBN,EAN,MPN,Brand,ePID,Attribute Name 1,Attribute Value 1,Attribute Name 2,Attribute Value 2,Attribute Name 3,Attribute Value 3,Attribute Name 4,Attribute Value 4,Attribute Name 5,Attribute Value 5,Attribute Name 6,Attribute Value 6,Attribute Name 7,Attribute Value 7,Attribute Name 8,Attribute Value 8,Attribute Name 9,Attribute Value 9,Attribute Name 10,Attribute Value 10,Attribute Name 11,Attribute Value 11,Attribute Name 12,Attribute Value 12,Attribute Name 13,Attribute Value 13,Attribute Name 14,Attribute Value 14,Attribute Name 15,Attribute Value 15,Attribute Name 16,Attribute Value 16,Attribute Name 17,Attribute Value 17,Attribute Name 18,Attribute Value 18,Attribute Name 19,Attribute Value 19,Attribute Name 20,Attribute Value 20,Attribute Name 21,Attribute Value 21,Attribute Name 22,Attribute Value 22,Attribute Name 23,Attribute Value 23,Attribute Name 24,Attribute Value 24,Attribute Name 25,Attribute Value 25,Attribute Name 26,Attribute Value 26,Attribute Name 27,Attribute Value 27,Attribute Name 28,Attribute Value 28,Attribute Name 29,Attribute Value 29,Attribute Name 30,Attribute Value 30,Condition,Condition Description,Measurement System,Length,Width,Height,Weight Major,Weight Minor,Package Type,Total Ship To Home Quantity,Channel Id,Category,Shipping Policy,Payment Policy,Return Policy,List Price,Max Quantity Per Buyer,Strikethrough Price,Minimum Advertised Price,Minimum Advertised Price Handling,Store Category Name 1,Store Category Name 2,Sold Off eBay,Sold On eBay,Apply Tax,Tax Category,VAT Percent,Include eBay Product Details,Domestic Shipping P1 Cost,Domestic Shipping P1 Additional Cost,Domestic Shipping P1 Surcharge,Domestic Shipping P2 Cost,Domestic Shipping P2 Additional Cost,Domestic Shipping P2 Surcharge,Domestic Shipping P3 Cost,Domestic Shipping P3 Additional Cost,Domestic Shipping P3 Surcharge,Domestic Shipping P4 Cost,Domestic Shipping P4 Additional Cost,Domestic Shipping P4 Surcharge,International Shipping P1 Cost,International Shipping P1 Additional Cost,International Shipping P1 Surcharge,International Shipping P2 Cost,International Shipping P2 Additional Cost,International Shipping P2 Surcharge,International Shipping P3 Cost,International Shipping P3 Additional Cost,International Shipping P3 Surcharge,International Shipping P4 Cost,International Shipping P4 Additional Cost,International Shipping P4 Surcharge,International Shipping P5 Cost,International Shipping P5 Additional Cost,International Shipping P5 Surcharge,Template Name,Custom Fields,Eligible For eBay Plus,
"SKU-6725568671","de_DE","ACRE Carbon Ultralight Rollator RTD08179P, Rot, 130kg, faltbar, CE-zertifiziert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altersgruppe",,"Breite",,"Höhe",,"Länge",,"Geeignet für",,"Herstellergarantie",,"Gütesiegel & Kennzeichnungen",,"Herstellernummer",,"Anzahl der Einheiten",,"Produktart","Rollator","Besonderheiten",,"Marke","ACRE","Material","Carbonfaser","Maximale Belastbarkeit","130 kg","Anzahl der Räder","4","Farbe","Rot","Gewicht","4.8","Ursprungsland","China","Modell","Carbon Ultralight","Maßeinheit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-1784585629","de_DE","adeo Verlag Kunstkarten-Set: Elegante Blumenmotive für herzliche Grüße",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Format",,"Lineatur",,"Drucktechnologie",,"Personalisieren",,"Herstellernummer",,"Anzahl der Einheiten",,"Maßeinheit",,"Anleitung für Personalisierung",,"Grammatur",,"Produktart","Kunstkarte","Besonderheiten","Mit Umschlägen","Farbe","Mehrfarbig","Marke","adeo Verlag","Ursprungsland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-0114729665","de_DE","Adidas Campus 00s Sneaker Gr. 42.5 – Ikonischer Retro-Stil für höchsten Komfort",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UK-Schuhgröße",,"US-Schuhgröße",,"Charakter",,"Schuhschaft-Typ",,"Schuhweite",,"Erscheinungsjahr",,"Herstellungsjahr",,"Jahreszeit",,"Aktivität",,"Vintage",,"Signiert",,"Muster",,"Herstellernummer",,"Individualisiert",,"Anzahl der Einheiten",,"Maßeinheit",,"Pronation",,"Marke","adidas","EU-Schuhgröße","42 2/3","Modell","adidas Campus 00s","Produktlinie","adidas Campus","Abteilung","Herren","Stil","Sneaker","Farbe","Rot","Innensohlenmaterial","Textil","Obermaterial","Faux-Wildleder","Thema","Retro","Laufsohlenmaterial","Gummi","Futtermaterial","Textil","Anlass","Freizeit",,,,,,,,,,,,15709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-2391228513","de_DE","adidas Handball Spezial W Damen Sneaker Hellgrau / Hellblau Retro NEU OVP Gr. 38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charakter",,"Innensohlenmaterial",,"Futtermaterial",,"Laufsohlenmaterial",,"Schuhschaft-Typ",,"Verschluss",,"Jahreszeit",,"Besonderheiten",,"Akzente",,"Gewebeart",,"Produktart",,"Aktivität",,"Muster",,"Erscheinungsjahr",,"Herstellungsjahr",,"Stollentyp",,"Vintage",,"Signiert",,"Herstellernummer",,"Individualisiert",,"Anzahl der Einheiten",,"Maßeinheit",,"Pronation",,"EU-Schuhgröße","38","Marke","adidas","Abteilung","Damen","Stil","Sneaker","Farbe","Grau","Produktlinie","adidas Handball","Modell","adidas Handball",,,,,,,,,,,,95672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-1419839651","de_DE","Adidas Kinder Sneaker VS Switch 3 CF C – Einfaches Anziehen mit Klettverschluss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jahreszeit",,"Charakter",,"Dämpfungsgrad",,"Schuhschaft-Typ",,"Gewebeart",,"Herstellungsjahr",,"Akzente",,"Vintage",,"Muster",,"Personalisieren",,"Schuhspitze",,"Individualisiert",,"Anleitung für Personalisierung",,"Anzahl der Einheiten",,"Handgefertigt",,"Herstellernummer",,"Maßeinheit",,"Pronation",,"Signiert",,"Sprengung",,"Stollenform",,"EU-Schuhgröße","30","Abteilung","Jungen","Marke","adidas","Stil","Sneaker","Produktart","Sportschuh","Besonderheiten","Klettverschluss","Farbe","Weiß","Produktlinie",,"AU-Schuhgröße","3",,,,,,,,,,,,57929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-9804667250","de_DE","Adidas Originals Samba OG Junior Sneaker weiß/grün mit Gum-Sohle Gr. 38 2/3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charakter",,"Gewebeart",,"Aktivität",,"Muster",,"Erscheinungsjahr",,"Herstellungsjahr",,"Anzahl der Einheiten",,"Maßeinheit",,"Pronation",,"EU-Schuhgröße","38 2/3","Marke","adidas","Abteilung","Jugendliche","Stil","Sneaker","Farbe","Weiß/Grün/Gummi","Produktlinie","adidas Samba OG","Modell","adidas Samba","UK-Schuhgröße","5","US-Schuhgröße","6","Obermaterial","Leder","Innensohlenmaterial","Synthetik","Futtermaterial","Synthetik","Laufsohlenmaterial","Gummi","Schuhschaft-Typ","Low Top","Verschluss","Schnürung","Thema","Logo","Jahreszeit","Sommer","Besonderheiten",,"Schuhweite","Standard","Akzente","Logo","Anlass",,,,,,,,,,,,,95672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-9146759920","de_DE","adidas Samba LT W Damen Sneaker Schwarz Weiß Leder Retro NEU OVP Gr. 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Herstellernummer",,"Anzahl der Einheiten",,"Maßeinheit",,"Absatzart",,"Absatzhöhe",,"Aktivität",,"Akzente",,"Anlass",,"Charakter",,"Charakter Familie",,"Dämpfungsgrad",,"Gewebeart",,"Herstellungsjahr",,"Individualisiert",,"Jahreszeit",,"Muster",,"Personalisiert",,"Plateauhöhe",,"Pronation",,"Schuhgröße",,"Schuhschaft-Typ",,"Schuhspitze",,"Signiert",,"Sprengung",,"Stollenform",,"Stollentyp",,"Vintage",,"Wadenweite",,"Zwischensohlen-Typ",,"Marke","Adidas",,,,,,,,,,,,35381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-0989494543","de_DE","adidas SL 72 OG W Damen Sneaker Semi Pink / Red Glow Pink NEU OVP Gr. 38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charakter",,"Innensohlenmaterial",,"Futtermaterial",,"Laufsohlenmaterial",,"Schuhschaft-Typ",,"Verschluss",,"Thema",,"Jahreszeit",,"Akzente",,"Anlass",,"Gewebeart",,"Produktart",,"Aktivität",,"Muster",,"Erscheinungsjahr",,"Herstellungsjahr",,"Stollentyp",,"Vintage",,"Signiert",,"Herstellernummer",,"Individualisiert",,"Anzahl der Einheiten",,"Maßeinheit",,"Pronation",,"EU-Schuhgröße","38 2/3","Marke","adidas","Abteilung","Damen","Stil","Sneaker","Farbe","Semi Pink/Red Glow Pink","Produktlinie","adidas SL",,,,,,,,,,,,95672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-2693030055","de_DE","Adidas Unisex Jogginghose Lila Gr. 2xS Baumwollmischung IY9636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anzahl der Einheiten",,"Maßeinheit",,"Akzente",,"Bundhöhe",,"Gewebeart",,"Größenkategorie",,"Herstellungsjahr",,"Hosenträgerknöpfe/Gürtelschlaufen",,"Jahreszeit",,"Muster",,"Personalisiert",,"Produktlinie",,"Schrittlänge",,"Taillenumfang",,"Thema",,"Vintage",,"Größe","2XS","Marke","Adidas","Herstellernummer","IY9636","Ursprungsland",,"Abteilung","Unisex","Anlass","Freizeit","Beinform","Regular","Besonderheiten",,"Farbe","Lila","Material","Baumwollmischung","Modell","ESS Joggers","Passform","Regular","Stil","Jogginghose","Textilpflege","Maschinenwäsche",,,,,,,,,,,,65415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-4817360056","de_DE","Adidas UnisexKinder T-Shirt Grün Gr. 158 IY7431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jahrzehnt",,"Original/Reproduktion",,"Look",,"Brustumfang",,"Schrittlänge",,"Schulterbreite",,"Schulter zum Saum",,"Bund zum Saum",,"Material",,"Ursprungsland",,"Größe","158","Marke","Adidas","Herstellernummer","IY7431","Farbe","Grün","Anlass",,"Geschlecht","Unisex Kinder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-2670059438","de_DE","AEG CLEAN 6000 ÖKO Staubsauger AB61C1OKO, 750W, grau, 65% recycelt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laufzeit",,"Smart Home Kommunikationsprotokoll",,"Ladezeit",,"Smart Home Kompatibilität",,"Schutzplan",,"Anzahl der Einheiten",,"Maßeinheit",,"Marke","AEG","Produktart","Bodenstaubsauger mit Beutel","Modell","AB61C1OKO","Mit/Ohne Beutel","Mit Beutel","Filter","99,99% der Partikel >0.3 Mikrometer","Anschlussart","Kabelgebunden","Besonderheiten","Regulierbar, Abnehmbare Bürste, Kabelaufwicklung,Höhenverstellbar, Tragbar, Abhebbar, Randreinigung","Leistung","750","Farbe","Granite Grey recycled","Enthaltenes Zubehör","Polsterbürste, Staubwedel, Düse, Bodenbürste, Fugendüse,Mikrofaserüberzug, Filter","Spannung","230","Kapazität","3.5","Ursprungsland",,"Herstellergarantie","10 Jahre","Gewicht","6 kg","Herstellernummer","AB61C1OKO",,,,,,,,,,,,,,,,,,,,,,,,,,20614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-5561398463","de_DE","Alberomio Wickelauflage Schlafwolke Dreams 70x47 cm, Phthalatfrei, MDF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Material",,"Thema",,"Geschlecht",,"Tiefe",,"Produktart","Wickelauflage","Marke","Alberomio","Eigenschaften","Phthalatfrei","Farbe","Weiß","Länge","70","Breite","47","Ursprungsland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-9400450055","de_DE","ALKAR Außenspiegel Rechts für Fiat Ducato, Citroën Jumper, Peugeot Boxer 9202922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anzahl der Schlösser",,"Anzahl pro Packung",,"Besonderheiten",,"OE/OEM Referenznummer(n)",,"Breite",,"Durchmesser",,"Gütesiegel & Kennzeichnungen",,"Herstellergarantie",,"Höhe",,"Im Lieferumfang enthalten",,"Länge",,"Oberflächenbeschaffenheit",,"Vergleichsnummer",,"Hersteller","ALKAR","Material","Kunststoff","Einbauposition","Rechts","Herstellernummer","9202922","Produktart","Außenspiegel","Farbe","Schwarz","Gewicht","1","Ursprungsland",,"Oldtimer-Teil","Nein","Tuning- & Styling-Teil","Nein","Universelle Kompatibilität","Nein",,,,,,,,,,,,,,,,,,,,,,,,262219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-2638568297","de_DE","Altra Escalante 4 Herren Laufschuhe Black/White – Größe EU 48 (UK 12, US 13)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Material",,"Sicherheitsklasse",,"Herstellernummer",,"Anzahl der Einheiten",,"Maßeinheit",,"Marke","Altra","Schuhgröße","48","Produktart","Laufschuh","Ursprungsland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-5740515403","de_DE","Altra Escalante Racer 2 Herren Laufschuh Gray/Blue EU 48 (UK 12) – leichter Perf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Produktlinie",,"Innensohlenmaterial",,"Modell",,"Herstellungsjahr",,"Thema",,"Anlass",,"Aktivität",,"Schuhweite",,"Jahreszeit",,"Charakter Familie",,"Gewebeart",,"Laufsohlenmaterial",,"Futtermaterial",,"Pronation",,"Schuhschaft-Typ",,"Zwischensohlen-Typ",,"Vintage",,"Individualisiert",,"Herstellernummer",,"Muster",,"Sprengung",,"Akzente",,"Dämpfungsgrad",,"Handgefertigt",,"Signiert",,"Stollentyp",,"Anzahl der Einheiten",,"Maßeinheit",,"Marke","Altra","EU-Schuhgröße","48",,,,,,,,,,,,158952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-3982672342","de_DE","Android Autoradio 6S9701P, HD Touchscreen, GPS, DSP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Einbauposition",,"Maßeinheit",,"Oldtimer-Teil",,"Oberflächenbeschaffenheit",,"Tuning- & Styling-Teil",,"Personalisieren",,"Universelle Kompatibilität",,"Herstellergarantie",,"OE/OEM Referenznummer(n)",,"Anzahl der Einheiten",,"Anleitung für Personalisierung",,"Vergleichsnummer",,"Hersteller","Unbekannt","Ursprungsland",,"Herstellernummer","6S9701P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-3097738026","de_DE","Anhängerspiegel Außenspiegel EMUK 100303 NEU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Einbauposition",,"Maßeinheit",,"Oldtimer-Teil",,"Oberflächenbeschaffenheit",,"Tuning- & Styling-Teil",,"Personalisieren",,"Universelle Kompatibilität",,"Herstellernummer",,"OE/OEM Referenznummer(n)",,"Anzahl der Einheiten",,"Anleitung für Personalisierung",,"Vergleichsnummer",,"Hersteller","EMUK","Ursprungsland",,"Herstellergarantie","10 Jahre Herstellergarantie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
