sku,productId,qty,bin,eligible,baselinker_linked,last_saved_source,title
SKU-6511282128,20220424000047,1,XGA0105B,yes,yes,script:backfill-normalize-products,JMIYAV Gaming Mauspad JD-80 800x300mm Rosa NEU
SKU-3806532980,20221212000014,0,,no,yes,script:backfill-normalize-products,"SHARGE Powerbank Flow Mini SP012, 5000mAh, USB-C, 2x 5V/2.4A Ausgang Grau"
SKU-5134751391,20221705000003,0,,no,yes,script:backfill-normalize-products,Intelamp Solar-Außenleuchte Wandmontage 1200 LM MotionSensor Schwarz NEU
SKU-1164276787,2024010542503,1,XGA0305A,yes,yes,script:backfill-normalize-products,VEVOR Kompressor Kühlbox 55L -20°C 12V 24V 230V Auto Camping CF55-V2
SKU-4603086544,20240129000072,1,XGA0106B,yes,yes,script:backfill-normalize-products,URVOLAX CarPlay Display UR73C Schwarz NEU
SKU-0545917168,2024080701046,1,XGA0105B,yes,yes,script:backfill-normalize-products,SPURTAR Messschieber 0-150mm Edelstahl NEU DIN 862 0.2mm Präzision Heimwerker
SKU-0922374624,2074133001002,0,,no,yes,script:backfill-normalize-products,Magic: The Gathering Commander Deck D41330001 Jugendliche Erwachsene Karton
SKU-2511182802,2290601009009,0,,no,yes,script:backfill-normalize-products,SACHS Kupplungssatz 2290601009 A3 Golf V 240mm NEU
SKU-5446097686,2312388888888,1,XGA0101C,yes,yes,script:backfill-normalize-products,"kecoolke Ultraschallreiniger KZ-F3 3,0L 120W Ultraschall 150W Heizung Silber Neu"
SKU-5133324860,24196924186507,1,XGA0502E,yes,yes,script:backfill-normalize-products,Patagonia Freizeithemd Gr. L Herren Bio-Baumwolle Salamandergrün NEU
SKU-6761538665,2452014202112,1,XGA0202A,yes,yes,script:backfill-normalize-products,BMW Fußmatten 2452014202112 2er F45 Active Tourer Vorne Hinten
SKU-3050715048,247e01a5-fa99-4b01-be0a-fefbe97a145d,0,,no,yes,script:backfill-normalize-products,"HASKYY Vielzahn Steckschlüsselsatz XZN CVN-16, 16-teilig, 1/2 Zoll, NEU"
SKU-3476455542,2493370000004,1,XGA0405A,yes,yes,script:backfill-normalize-products,NINTH HALL Sweatshirt Gr. M Unisex Baumwollmischung NEU
SKU-0704619212,25004695020111,0,,no,yes,script:backfill-normalize-products,Silicon Power SSD SP256GBSS3A55S25 256GB 7mm sata NEU
SKU-6617431534,2640f8be-81e3-4d78-b73c-14f234d26721,2,XGA0403C,yes,yes,script:backfill-normalize-products,WUZECK Flex-Solarmodul 100W 19.8V Monokristallines Silizium NEU
SKU-3982672342,2810449728013,1,XGA0106C,yes,yes,script:backfill-normalize-products,Autoradio 6S9701P Android GPS HD Touchscreen Schwarz NEU
SKU-6634800828,295c4789-b314-43ba-a18c-274b6ac422ef,2,XGA0501D,yes,yes,script:backfill-normalize-products,Tommy Hilfiger Pullover Gr.xL Herren Baumwolle Kaschmir Dunkelblau NEU
SKU-7824016126,2d3f8a0d-2c5f-4852-a241-8281d55e418a,1,XGA0404C,yes,yes,script:backfill-normalize-products,LADYHOW Handseilzug 1215 Stahl Metallisch/Schwarz NEU
SKU-4883385910,2f144eb7-126a-43ac-90cc-c6dbf899a7d6,1,XGA0106A,yes,yes,script:backfill-normalize-products,ZARA HOME Couchtisch 9273/072/700/99 46x70x60cm Erwachsene Mangoholz Braun
SKU-7753504850,30c418b6-000b-47e9-8252-3478b4693cda,3,XGA0105B,yes,yes,script:backfill-normalize-products,PerformaNat Calcium Bolus QDENI400127 NEU
SKU-2941051529,31080024102010,1,XGA0105C,yes,yes,script:backfill-normalize-products,TRW Bremsscheibe DF4866S Audi Vorderachse 52.4mm Schwarz NEU
SKU-4303462818,3154020086005,1,XGA0106D,yes,yes,script:backfill-normalize-products,GYS Rutil Elektrode 186005 2.5mm NEU
SKU-6206509150,3165143111321,0,,no,yes,script:backfill-normalize-products,Bosch Zusatzwasserpumpe 0392020073 12V NEU
SKU-3877364215,3219110502725,1,XGA0404A,yes,yes,script:backfill-normalize-products,DELSEY PARIS Trolley Koffer 00 3861820 19 8R 71cm Unisex Himbeere NEU
SKU-5868736484,3322937241712,1,XGA0106B,yes,yes,script:backfill-normalize-products,TRW Bremsbelagsatz GDB1330 für Audi VW Skoda Seat NEU
SKU-8229761001,3339082c-5066-4322-a318-4b8732a19d83,1,XGA0305A,yes,yes,script:backfill-normalize-products,VEVOR Kompressor Kühlbox 615mm 20 Liter NEU
SKU-2267173123,3374650257716,1,XGA0106C,yes,yes,script:backfill-normalize-products,MOTUL Motoröl 111812 5W 1L NEU
SKU-5700317364,34bb265f-a1ad-4850-a2ec-71bf44c1ad68,1,XGA0502C,yes,yes,script:backfill-normalize-products,Hansgrohe Waschtischmischer 71558000 Messing Chrom NEU
SKU-2522561568,3558380099390,1,XGA0105B,yes,yes,script:backfill-normalize-products,Asmodee Kartenspiel Mehrfarbig NEU
SKU-8192040791,3573994006336,0,,no,yes,script:backfill-normalize-products,Dexeryl Pflegecreme 18747739 Babys Kinder Erwachsene 500g NEU
SKU-5526640633,3613379433101,1,XGA0502E,yes,yes,script:backfill-normalize-products,Element Hemden Gr. L Herren Beige NEU
SKU-5896801162,3662775243128,1,XGA0106B,yes,yes,script:backfill-normalize-products,KYOTO Motorradbatterie GTX5L-BS 12V Schwarz NEU
SKU-3867423041,36f71981-e45d-478a-a80d-4e665f0e3352,0,,no,no,script:backfill-normalize-products,Unbekannt BH Damen Synthetikmischung Hautfarben NEU
SKU-6722573428,3770010398363,0,,no,yes,script:backfill-normalize-products,Umami Bento Box B0848KVNN4-FREN 1.2L Kunststoff Bambus Schwarz NEU
SKU-8932764822,395730b7-67d0-4880-a770-f85086b71052,1,XGA0405A,yes,yes,script:backfill-normalize-products,Blue Tomato Sweatshirt Gr. L Herren Baumwolle Schwarz NEU
SKU-8897137065,3f1a8ee4-8e40-4f90-af9a-deade528551c,0,,no,no,ui,Standheizung für Wohnmobil LKW BootxMZ-D1 Wohnmob VEVOR 8KW
SKU-7357361636,3f55c3c8-0603-4563-be53-8591b104d26e,1,XGA0201B,yes,yes,script:backfill-normalize-products,ROHO Sitzkissenbezug 61373208013 5cm Schwarz NEU
SKU-4832582390,4001690500234,1,XGA0502B,yes,yes,script:backfill-normalize-products,BENT Markisen-Zubehör 50023 250cm Gewebe 250x10cm Dunkelblau NEU
SKU-5144694690,4001807905976,1,XGA0404A,yes,yes,script:backfill-normalize-products,Stratic Trolley Light 39cm 37L Unisex Gr. S Nylon 55cm Mint NEU
SKU-8242720178,4001807906881,1,XGA0404A,yes,yes,script:backfill-normalize-products,STRATIC Hartschalenkoffer Straw 65cm Unisex Gr. M Hartschale Rosa NEU
SKU-8850596846,4003318620911,0,,no,yes,script:backfill-normalize-products,"ABUS Faltschloss BORDO 6000K/120 BK SH, 120cm, Sicherheitslevel 10 Schwarz"
SKU-0200958470,4004133669093,0,,no,yes,script:backfill-normalize-products,APS Trinkflaschen 66909 Glas Edelstahl 18/8 Polypropylen (PP) Silikon 1L
SKU-4191907503,4005046205217,1,XGA0403B,yes,yes,script:backfill-normalize-products,UPMANN Revisionsklappe 20521 150x200mm Weiß NEU
SKU-4715041854,4005414511612,1,XGA0103B,yes,yes,script:backfill-normalize-products,ESPRIT Bettwäsche-Set 77302-080-155-220 100% Baumwolle Renforcé 155x220cm
SKU-1892441877,4006094887004,0,,no,yes,script:backfill-normalize-products,PEBARO Holzbausatz 887 Unisex Pappel Linde NEU
SKU-5978798764,4006387029807,0,,no,yes,script:backfill-normalize-products,BRITA Wasserfilter-Kartusche P 1000 für reinen Geschmack & Geräteschutz
SKU-0770525136,4006387050412,1,XGA0501E,yes,yes,script:backfill-normalize-products,Brita Purity C 1100 Quell ST Filterkartusche
SKU-4616386559,4006633310222,1,XGA0106C,yes,yes,script:backfill-normalize-products,ATE Bremsscheibe 24.0112-0178.1 Continental Aftermarket Services GmbH
SKU-3455080661,4007060000236,1,XGA0501D,yes,yes,script:backfill-normalize-products,SCHIESSER Taillenslip Gr. 40 Damen 100% Baumwolle Weiß NEU
SKU-1708759606,4007065867636,1,XGA0501D,yes,yes,script:backfill-normalize-products,SCHIESSER Bustier 174926 Damen Gr. 42 95% Bio-Baumwolle 5% Elasthan Schwarz
SKU-7707703650,4007066272026,1,XGA0502E,yes,yes,ui,SCHIESSER Damen Pyjama Short Dunkelblau Gr. M 100% Baumwolle 179281 NEU
SKU-1523043917,4007066810273,0,,no,no,ui,SCHIESSER Herren Boxershorts Sortiert Gr. M 95% Bio-Baumwolle 5% Elasthan
SKU-4586382771,4007126366610,0,,no,no,ui,Hailo Mülltrennsystem TA Swing Tandem 2x15L für 30cm Schrank 3666101
SKU-2748406604,4008177077142,0,,no,yes,script:backfill-normalize-products,Castrol Motoröl P0186F9-00 5W NEU
SKU-2859032659,4009384341071,24,XGA0204C,yes,yes,script:backfill-normalize-products,"MFLAX Außenspiegelflagge 34107 Schwarz, Rot, Gold Textil NEU Ja Deutschland"
SKU-4401248629,4009384458304,17,XGA0202D,yes,yes,script:backfill-normalize-products,Fries GmbH Schal 45830 Unisex Textil Schwarz Rot Gold NEU
SKU-0963183292,4010886516256,0,,no,yes,script:backfill-normalize-products,GEDORE Nusssteckleiste 5162520 Silber Federstahl NEU Sichere Werkzeugordnung
SKU-7745371992,4011097314013,3,XGA0502C,yes,yes,script:backfill-normalize-products,Hansgrohe Brauseschlauch 28272000 125cm Kunststoff Chrom NEU
SKU-5493501888,4011097314037,2,XGA0502C,yes,yes,script:backfill-normalize-products,Hansgrohe Duschschlauch 28276000 160cm Kunststoff 1.60m Chrom NEU
SKU-4766228789,4011097775111,2,XGA0502C,yes,yes,script:backfill-normalize-products,Hansgrohe Duschthermostat 13156000 296mm Metall Chrom NEU
SKU-2139913486,4013361212134,1,XGA0203C,yes,yes,script:backfill-normalize-products,KHW Wintersport Lenkschlitten Snow Flyer Pink 99x52 cm max. 88kg
SKU-5410787453,4013556577007,2,XGA0302D,yes,yes,script:backfill-normalize-products,acamp Schutzhülle 57700 110cm Polyester 110x200cm Anthrazit NEU
SKU-2724878095,4013556577076,3,XGA0302D,yes,yes,script:backfill-normalize-products,acamp Schutzhülle 57707 Anthrazit Polyestergewebe NEU Gr. 160 cm Cappa
SKU-7700165856,4013556577120,11,XGA0302E,yes,yes,script:backfill-normalize-products,acamp Schutzhülle 57712 200cm Polyestergewebe Anthrazit NEU
SKU-0139597304,4013556577144,4,XGA0302E,yes,yes,script:backfill-normalize-products,acamp Schutzhülle 57714 Anthrazit Polyester NEU Ampelschirm Cappa wetterfest
SKU-5928571392,4013556592796,4,XGA0302E,yes,yes,script:backfill-normalize-products,acamp Schutzhülle 59279 Anthrazit Polyester NEU Strandkorb Cappa Optimaler
SKU-3704607179,4013594537810,1,XGA0105B,yes,yes,script:backfill-normalize-products,goki Murmelbahn Unisex Holz Mehrfarbig NEU
SKU-3586300359,4016417025303,6,XGA0303D,yes,yes,script:backfill-normalize-products,EURO PART Ablaufschlauch 10006367 19mm Kunststoff 1.5m Grau NEU
SKU-9885764249,4023103244009,0,,no,yes,script:backfill-normalize-products,"Vileda Wäscheständer King UNimate Schwarz Stahl, Aluminium NEU 20m Trockenfläche"
SKU-2879742273,4025457166471,1,XGA0402B,yes,yes,script:backfill-normalize-products,kela Heißer Stein 16647 24cm 24x16cm NEU
SKU-7396058360,4026947097541,1,XGA0402B,yes,yes,script:backfill-normalize-products,BGS technic Motor-Einstellwerkzeug Satz 9754 2.8L 3.6L Silber Blau NEU
SKU-1137525213,4027816273868,0,,no,yes,script:backfill-normalize-products,febi bilstein Radlagersatz 27386 für Opel PKW Vorderachse beidseitig NEU
SKU-1609202291,4027816321033,1,XGA0106B,yes,yes,script:backfill-normalize-products,Febi Bilstein Ölfilter 32103 69mm 70mm NEU
SKU-9182883969,4030434105633,2,XGA0106B,yes,yes,script:backfill-normalize-products,FLENNOR Radlagersatz FR490971 für Mercedes-Benz OE 1403300051 Passgenau NEU
SKU-3097738026,4034144003036,1,XGA0106D,yes,yes,script:backfill-normalize-products,EMUK Anhängerspiegel 100303 Schwarz Silber NEU
SKU-4110694191,4036021157276,0,,no,yes,script:backfill-normalize-products,MANNOL Kühlerfrostschutzmittel 4115 5L Rot NEU
SKU-5320936983,4036021163093,1,XGA0106D,yes,yes,script:backfill-normalize-products,Mannol Motoröle 7511 SCT Lubricants 5W 20L NEU
SKU-0614291176,4036021579191,0,,no,yes,script:backfill-normalize-products,MANNOL Motoröl 7919 0W 5L NEU
SKU-0333689520,4040074053454,2,XGA0106C,yes,yes,script:backfill-normalize-products,MEYLE Federbeinstützlager 014 641 0004 Mercedes-Benz Vorderachse Schwarz
SKU-0945605804,4040074122754,6,XGA0106C,yes,yes,script:backfill-normalize-products,MEYLE Getriebeöl 277026 1L NEU
SKU-9078406333,4040074137246,1,XGA0106D,yes,yes,script:backfill-normalize-products,Meyle Filter-Satz 112 330 0003/S für AUDI SEAT SKODA VW
SKU-6074840029,4040074266946,1,XGA0106C,yes,yes,script:backfill-normalize-products,MEYLE Gelenksatz 100 498 0057 radseitig 88mm Schwarz NEU
SKU-8581934036,4041248145418,3,XGA0106C,yes,yes,script:backfill-normalize-products,Elring Zylinderkopfschraubensatz 057.240 Motor 172mm NEU
SKU-8529588380,4041248434536,1,XGA0106B,yes,yes,script:backfill-normalize-products,Elring Dichtungssatz 542.210 Schwarz NEU
SKU-7321712010,4041248450864,1,XGA0106B,yes,yes,script:backfill-normalize-products,Elring Zylinderkopfdichtungssatz 150.153 Motor 80.5mm 1.49mm NEU
SKU-4780318569,4041248450871,1,XGA0106B,yes,yes,script:backfill-normalize-products,Elring Zylinderkopfdichtung 150.162 Motor 1.57mm Schwarz/Bronze NEU
SKU-1948960316,4041248450888,1,XGA0106B,yes,yes,script:backfill-normalize-products,Elring Zylinderkopfdichtungssatz 150.172 Motor NEU
SKU-8927251416,4043962306996,1,XGA0102B,yes,yes,script:backfill-normalize-products,fischer Hammerbohrer Quattric II 24/450/400 24mm Hartmetall 450mm NEU
SKU-3016364513,4046001447266,1,XGA0106C,yes,yes,script:backfill-normalize-products,VAICO Bremsscheibe V25-40006 Kuga Galaxy Focus Mondeo Range Rover Evoque
SKU-6068074259,4047059413104,1,XGA0201B,yes,yes,script:backfill-normalize-products,europet bernina Trinkbrunnen 603-413104 25x20x18cm 2.1L 4W Kunststoff
SKU-8414659629,4052138007280,3,XGA0203A,yes,yes,script:backfill-normalize-products,Trotec Kombifilter 7.160.00.530 Filtervlies Aktivkohle Schwarz NEU
SKU-2191775022,4053202268477,0,,no,yes,script:backfill-normalize-products,ZF Automatikgetriebeöl 600083246 1L NEU
SKU-0534200636,4053479285122,0,,no,yes,script:backfill-normalize-products,Würth Klingenschaber 0714663351 Schwarz Rot NEU
SKU-3855746092,4055333068964,3,XGA0106E,yes,yes,script:backfill-normalize-products,PARKSIDE Benzin-Rucksack-Kombigerät PBRK 700 A1 1.5kW (2 PS Grün NEU
SKU-6046815482,4059625316214,1,XGA0502C,yes,yes,script:backfill-normalize-products,Hansgrohe Waschtischarmatur 71550000 Messing NEU
SKU-5940997361,4059625401927,1,XGA0502C,yes,yes,script:backfill-normalize-products,Hansgrohe Waschtischarmatur 72559000 Messing Chrom NEU
SKU-2828094858,4061275132182,1,XGA0501C,yes,yes,script:backfill-normalize-products,Medion Filterkaffeemaschine mit Thermoskanne & Permanentfilter NEU
SKU-8205373469,4061504006000,1,XGA0501D,yes,yes,script:backfill-normalize-products,Penthouse String Ouvert Hot Getaway Damen Gr. L/xL Schwarz NEU
SKU-0563915773,4061504016139,1,XGA0501D,yes,yes,script:backfill-normalize-products,PENTHOUSE String Open Secret Damen Gr. L/xL Polyamid Schwarz NEU
SKU-6154185094,4062493735872,1,XGA0405A,yes,yes,script:backfill-normalize-products,Khujo Wintermantel Gr.xxL Erwachsene light moss green NEU
SKU-4885995332,4063217299953,1,XGA0204A,yes,yes,script:backfill-normalize-products,Heidelberger BETTWAREN Bettdecke 805067 200cm 135x200cm Weiß NEU
SKU-3244413909,4063367064357,1,XGA0201B,yes,yes,script:backfill-normalize-products,Let's BBQ Grillkorb 8035810940 22cm Edelstahl Silber NEU
SKU-4973901806,4063541990120,0,,no,yes,script:backfill-normalize-products,BOSS Sweatjacke Gr. 4xL Herren Beige NEU
SKU-3010724612,4063543580763,1,XGA0501D,yes,yes,script:backfill-normalize-products,HUGO BOSS Jeans Gr. 36/32 Herren Schwarz NEU
SKU-1747542074,4063544208888,1,XGA0105B,yes,yes,script:backfill-normalize-products,BOSS T-Shirt Gr. M Herren 100% Bio-Baumwolle
SKU-5749801311,4063544824545,1,XGA0405A,yes,yes,script:backfill-normalize-products,HUGO Blazer Damen Elastan 5% Polyester 64% Viskose 31 NEU
SKU-2126872416,4063846033713,1,XGA0106E,yes,yes,script:backfill-normalize-products,CYBEX Kindersitz Anoris T i-Size 115cm Deep Black-black NEU
SKU-2603681659,4064464829931,1,XGA0301C,yes,yes,script:backfill-normalize-products,Pier One UNISEx Weekender Schwarz Gr. Size Polyurethan P1954H033-Q110ONE000
SKU-2733489996,4064886306904,1,XGA0405A,yes,yes,script:backfill-normalize-products,Jack Wolfskin Outdoorjacke Gr. 3xL Herren Black Olive NEU
SKU-9824375922,4066551928015,1,XGA0405A,yes,yes,script:backfill-normalize-products,Lawrence Grey Daunenjacke Gr. 34 Damen 100% Polyamid Schwarz NEU
SKU-2312450352,4067266427367,1,XGA0403A,yes,yes,script:backfill-normalize-products,TT. BAGATT Leder Stiefeletten Damen EU 36 Cognac Echtleder NEU
SKU-8701402003,4067266427374,2,XGA0403A,yes,yes,script:backfill-normalize-products,TT. BAGATT Leder Stiefeletten Damen EU 37 Cognac Echtleder NEU
SKU-3067192877,4067266427381,3,XGA0403A,yes,yes,script:backfill-normalize-products,TT. BAGATT Stiefel Stiefeletten D11-AGX33-1100 Damen Leder NEU
SKU-5359727068,4067266427398,3,XGA0403B,yes,yes,script:backfill-normalize-products,TT. BAGATT Stiefel Stiefeletten D11-AGX33-1100 Leder NEU
SKU-8802720534,4067266427404,2,XGA0403B,yes,yes,script:backfill-normalize-products,TT. BAGATT Stiefel Stiefeletten Gr. 40 Damen D11-AGx33-1100 Leder NEU
SKU-1479525764,4067266427411,1,XGA0403B,yes,yes,script:backfill-normalize-products,TT. BAGATT Leder Stiefeletten Damen EU 41 Cognac Echtleder NEU
SKU-3831935492,4067522073659,1,XGA0401B,yes,yes,script:backfill-normalize-products,CLEANMaxx Polster- Teppichreiniger Doppeltank-System Selbstreinigungsfunktion Easy-Fill Schwarz
SKU-8382768165,4069092282370,1,XGA0201C,yes,yes,script:backfill-normalize-products,Lawrence Grey Home Bettwäsche-Set 40225462-004 Gr. 135x200cm 100% Baumwolle
SKU-1803692252,4078500055604,1,XGA0105B,yes,yes,script:backfill-normalize-products,GARDENA Akku- Ladegerät-Set 14910 18V NEU
SKU-1353005263,4082300855241,1,XGA0106C,yes,yes,script:backfill-normalize-products,HELLA Anlasser 8EA 011 612-801 Mazda Cx-5 1.2kW 12V Silber Schwarz NEU
SKU-0694979094,4100420037405,1,XGA0106C,yes,yes,script:backfill-normalize-products,LIQUI MOLY Motoröl 3740 5W 1L NEU
SKU-7902875633,4100420037412,1,XGA0106D,yes,yes,script:backfill-normalize-products,LIQUI MOLY Motoröl 3741 für Benzin Diesel Motoren Neu T 5W 5L Motor
SKU-4309949637,4100420206474,0,,no,yes,script:backfill-normalize-products,LIQUI MOLY Motoröl 20647 NEU 5W-30 Longlife III Liter Auto Motorrad Teile
SKU-4470809769,4211125274160,1,XGA0501C,yes,yes,script:backfill-normalize-products,Beurer Heizkissen 27416 60cm Gr.xxL Fleece 60x30cm Taupe NEU
SKU-4649569251,4250153617556,1,XGA0304A,yes,yes,script:backfill-normalize-products,Near Dark Pfeife Screen Prince 46020335 Schwarz Metall NEU Metallpfeife
SKU-1964286581,4250358601817,1,XGA0201A,yes,yes,script:backfill-normalize-products,Höfner Konzertgitarre HC504-7/8 Gr. 7/8 NEU Carmencita Musikinstrumente
SKU-1784585629,4250454729170,1,XGA0202D,yes,yes,script:backfill-normalize-products,adeo Verlag Grußkarte 5572917 Papier Mehrfarbig NEU
SKU-8243336834,4250518576153,1,XGA0204A,yes,yes,script:backfill-normalize-products,VENDOME Matratzenauflagen Topper 21053 200 Gelschaum 90x200cm 7.5cm NEU
SKU-2902386366,4251175827556,1,XGA0106D,yes,yes,script:backfill-normalize-products,EURO DRIVELINE Antriebswelle W135 VW Lupo Polo Scirocco Links Vorne
SKU-1198160025,4251665310447,1,XGA0501D,yes,yes,script:backfill-normalize-products,AMORELIE Mini-Vibrator Joy Shine 2.1-3.3cm Damen Silikon ABS 3.3cm Grün
SKU-8942698934,4251806427775,1,XGA0103B,yes,yes,script:backfill-normalize-products,SCHIESSER Bettwäsche-Set Erwachsene 100% Baumwolle 80x80cm Braun NEU
SKU-0336723314,4260168332719,1,XGA0403A,yes,yes,script:backfill-normalize-products,TEE-UU Rettungsmesser 9892-2510 NEU
