Key,Products,Cluster,Types,Sources,TopCategories,SampleValues
Muster,19,muster,string:19,attributes:19,37644:3 11507:1 15687:1 57990:1,Logo | Logo-Print | Geometrisch | Einfarbig | Unifarben | Gestreift | Feinripp | Uni
Geschlecht,16,geschlecht,string:16,attributes:16,22449:1 36440:1 37644:1 87122:1 109677:1,Unisex | Herren | Damen | UNISEX
Passform,16,passform,string:16,attributes:16,11507:1 15687:1 36440:1 263094:1,Regular Fit | Optimal | Drop Fit | Big Fit | Fahrzeugspezifisch | Normal | Slim Fit | Regular Fit / Normale Passform
Anlass,15,anlass,string:15,attributes:15,2024:1 11507:1 15687:1 57990:1,"Freizeit | Freizeit, Alltag | Freizeit, Business Casual | Sportveranstaltungen, Fan-Events | Besondere Anlässe | Dessous, Besondere Anlässe | Vielseitig | Casual"
Durchmesser,15,durchmesser,string:14 null:1,attributes:15,33564:4 33665:1 50382:1 58100:1 79656:1,"37 cm | 314 mm | 321 mm | 8,5 cm | 240 mm | 2,5 mm | 300 mm | 110 cm"
Form,14,form,string:14,attributes:14,177031:2 20660:1 23895:1 79656:1 81464:1,Rund | Rechteckig | Oval | Bolus
Leistung,14,leistung,string:14,attributes:14,20754:1 42284:1 69197:1 174119:1 177699:1,5W | 350 W | 2000 Watt | 17 W | 60 | 100W | 60 W | 4 W
Thema,14,thema,string:14,attributes:14,2024:1 11507:1 15687:1 19082:1 22449:1,"Anime & Manga | Fantasy, Zombies | Disney | Burgen & Schlösser | Basic | Deutschland | Klangkaskade | Erotik, Dessous"
Montageart,13,montageart,string:13,attributes:13,20740:1 158997:1 182094:1 262241:1,Seitenständer | Schraubmontage | Wandmontage | nicht vormontiert | Werkzeuglos | Standmontage | Aufputz | Aufputz / Unterputz
Verschluss,13,verschluss,string:13,attributes:13,15687:1 37644:1,"Knopfleiste | Gummizug | Reißverschluss, Zwei-Wege-Zipper | Ohne Verschluss | Knopfverschluss | Reißverschluss"
Verschlussart,13,verschlussart,string:13,attributes:13,37644:2 11507:1 44647:1 57990:1,Verstellbarer Fersenriemen | Reißverschluss | Haken- und Ösenverschluss | Vierkantverschluss | Ohne Verschluss | Reißverschluss und Knopf | Zwei-Wege-Reißverschluss
Besonderheit,12,besonderheit,string:12,attributes:12,29525:1 44647:1 178918:1 179496:1 261068:1,"Brusttasche | Reisefreundlich, Kompaktes Design | Upcycled | Feststellschraube | Robuste Konstruktion | DPF- und Katalysator-kompatibel | Robuste Bauweise, präzise Verarbeitung | Verdrehschutz"
Gebindeart,12,gebindeart,string:12,attributes:12,179496:5 179501:2 179494:1,Kanister | Flasche
identifiers.upc,12,identifiers upc,string:12,identifiers:12,23895:1 29525:1 69197:1 87122:1 179846:1,085854258548 | 872299043330 | 810123671069 | 850025732208 | 843820108804 | 727977275230 | 609832070375 | 655302158944
Technologie,12,technologie,string:12,attributes:12,179496:2 49782:1 69197:1 179846:1,Rapid Air | Ultraschall-Kaltnebel | LiFePO4 | Intelligente Steuerung | SLA (Sealed Lead Acid) | Fluid Titanium | QuickClean | Lobrid
Inhalt,11,inhalt,string:11,attributes:11,179496:4 171961:1 179494:1 179501:1 183457:1,"100 g | 100-Karten-Deck, 10 doppelseitige Token-Karten, Strategie-Insert, Referenzkarte, 1 Collector Booster Sample Pack, 2 legendäre traditionelle Foils | 1 Liter | 500 g | 5 | 5 Liter | 1 Tonerkartusche | 1 L"
Modellnummer,11,modellnummer,string:11,attributes:11,20660:1 33665:1 174119:1,X001Y0BTE9 | 201010252 | 6S9701P | MW0MW28046DW5 | J20 | 7511 | 150.153 | KH121U1KW-C11
Produktgruppe,11,produktgruppe,string:11,attributes:11,33564:2 33579:1 33612:1 33665:1 170141:1,Bremssystem | Ansaug- & Kraftstoffsysteme | Bremsenteile | Antriebsteile & Getriebe | Fahrwerk & Lenkung | Fahrwerk | Motorenteile | Federung & Lenkung
Angebotspaket,10,angebotspaket,null:5 string:5,attributes:10,33694:1 50382:1 54145:1 58100:1 138910:1,Ja | Nein
Besondere Merkmale,10,besondere merkmale,string:10,attributes:10,42284:1 178918:1 262128:1,"Drehzahlregelung, Staubabsaugung, Soft-Grip | Sichtfenster | Intelligente Steuerung, Lange Leuchtdauer, Hohe Helligkeit | Ohne Duftstoffe, Ohne Parabene, Hypoallergen, Ab Geburt geeignet, Medizinprodukt | Bio-Baumwolle | Leckageschutz, Erstausrüsterqualität | 6-in-1, Rucksack-Tragesystem | Doppeltank-System|Selbstreinigungsfunktion|Easy-Fill"
Eigenschaften,10,eigenschaften,string:10,attributes:10,15687:1 20349:1 37644:1 177031:1 178918:1,"Kühlend, Wärmend, Wohltuend | Stoßfest, Präzise Aussparungen, Einfache Installation, Angenehme Haptik | Wetterfest | Wetterfest, Solarbetrieben, Fernbedienung | Wasserdicht, Frostbeständig, UV-beständig | Kraftstoffsparend, Verschleißschutz, Motorsauberkeit, Kaltstartoptimiert | Atmungsaktiv | Wasserdicht, Winddicht, Atmungsaktiv, Warm, Recycelt"
Garantie,10,garantie,string:10,attributes:10,177031:2 261011:2 69197:1 263094:1,2 Jahre Herstellergarantie | 3 Jahre Herstellergarantie | 5 Jahre Herstellergarantie | 5 Jahre | 2 Jahre | 2 Jahre Herstellergarantie auf Material | 10 Jahre Herstellergarantie
Maßeinheit,10,masseinheit,string:8 null:2,attributes:10,29523:1 33612:1 50382:1 54145:1 84237:1,"µm, mil | Metrisch | Einheit | Stück"
Oberfläche,10,oberflache,string:10,attributes:10,20349:1 22670:1 33612:1,"Matt, Transparent | Pulverbeschichtet | Glänzend | Glatt | Schwarz oxidiert | Chrom | Hochglanz"
Anzahl der Einheiten,9,anzahl der einheiten,string:7 null:2,attributes:9,3199:1 20740:1 22670:1 54145:1 138910:1,1 | 3
Ärmellänge,9,armellange,string:9,attributes:9,15687:1 57990:1,Kurzarm | Langarm | Extralanger Arm | Lange Ärmel
Jahreszeit,9,jahreszeit,string:9,attributes:9,11507:1 57990:1 66728:1,"Herbst, Winter | Ganzjährig | Winter | Herbst/Winter | Alle Jahreszeiten"
Menge,9,menge,string:9,attributes:9,179496:5 33564:1 33612:1 33694:1 262228:1,4 Liter | 1 Set | 1 | 2
Obermaterial,9,obermaterial,string:9,attributes:9,,Britische Wachsbaumwolle | Polyurethan | 100% Polyamid | Leder | Echtleder
Oldtimer-Teil,9,oldtimer teil,string:9,attributes:9,33564:2 33729:1 39057:1 170141:1 178934:1,Nein
Pflegehinweis,9,pflegehinweis,string:9,attributes:9,15687:1 37644:1,Feucht abwischbar | Maschinenwäsche 30°C | Maschinenwäsche | Maschinenwäsche 60°C | Pflegeleicht | Leicht zu reinigen
Serie,9,serie,string:9,attributes:9,33694:1 54145:1 79656:1 183465:1 261068:1,Karmesin & Purpur | 2000 Series | F45 | Vernis Blend | PURITY C | EDGE TURBO DIESEL | Rebris E | Classic Line
Volumen,9,volumen,string:9,attributes:9,179496:5 87122:1 179501:1,4 Liter | 65 L | 1 Liter | 37 L | 5 L | 5L
Anzahl pro Packung,8,anzahl pro packung,string:8,attributes:8,11507:1 33729:1 57357:1 170141:1 177806:1,1 | 4 | 2 | 3
Fahrzeugmarke,8,fahrzeugmarke,string:8,attributes:8,33564:2 170141:1 177699:1 177807:1 178934:1,"Fiat, Citroën, Peugeot | Audi | Hyundai | Honda | Mercedes-Benz | Mazda"
Fahrzeugmodell,8,fahrzeugmodell,string:8,attributes:8,33564:1 33579:1 33694:1 170141:1 177699:1,"i30N | A3, Golf V | 2er F45 Active Tourer | W140, C140 | Kuga, Galaxy, Focus, Mondeo, Range Rover Evoque | CX-5 | VW Lupo, VW Polo, VW Scirocco | Mercedes E-Klasse W212 S212"
Funktion,8,funktion,string:8,attributes:8,23895:1 33612:1 180391:1 262128:1,"Wiederherstellung Fahrwerksleistung | Plug & Play | Erweiterbar | Zuverlässige Abdichtung | Motorabdichtung | Wasserdicht, Winddicht | 3-in-1 | Eis- und Schneebeseitigung"
Herstellerland,8,herstellerland,string:8,attributes:8,54145:1 156105:1 177806:1 179496:1 180391:1,Slowakische Republik | Frankreich | Deutschland | Tschechische Republik
Universelle Kompatibilität,8,universelle kompatibilitat,string:8,attributes:8,33612:2 238:1 33564:1 33694:1 39057:1,Nein | Ja
Viskosität,8,viskositat,string:8,attributes:8,179496:6 179494:1,10W-40 | SAE 5W-30 | SAE 0W-30 | 5W-30 | SAE 75W-90
Artikelnummer,7,artikelnummer,string:7,attributes:7,33665:1 49782:1 177031:1 178934:1,1507000192029 | 512050 | 59279 | 647-203 | 50520195 | 32988205-001 | 21053
Eigenschaft,7,eigenschaft,string:7,attributes:7,23895:1 36440:1 178918:1,"Medizinprodukt | Dornenfest | Rutschfeste Unterseite | Knickfest | Verdrehschutz | Harzfrei, doppelt gekocht, feuchtigkeitsbeständig, pilzhemmend | Faltbar, Leichtgewicht"
Fahrzeugtyp,7,fahrzeugtyp,string:7,attributes:7,33694:1 49782:1 57357:1 170141:1 179501:1,PKW | Motorrad
Fassungsvermögen,7,fassungsvermogen,string:7,attributes:7,67720:1 98844:1 101428:1 177784:1,"6.2 Liter | 55 L | 3,0 Liter | 20 Liter | 1.2 L | 2.1 L | 3,5 Liter"
Füllmenge,7,fullmenge,string:7,attributes:7,179496:2 179501:2 179494:1,4 Liter | 500 g | 5 L | 1 | 1 Liter | 5 Liter
Funktionen,7,funktionen,string:7,attributes:7,67720:1 122188:1,"Frittieren, Backen, Grillen, Braten | Bewegungsmelder | Digitalanzeige, Temperaturregelung, Tragbar, App-Steuerung, LED-Beleuchtung, Batterieschutz | Apple CarPlay, Android Auto, AirPlay, Miracast, FM Transmitter | Heizfunktion, Timer, Digitalanzeige | Braten, Garen, Servieren, Warmhalten | Rasentrimmer, Freischneider, Heckenschere, Laubbläser, Hochentaster, Rasenkantenschneider"
Modifizierter Artikel,7,modifizierter artikel,null:4 string:3,attributes:7,50382:1 58100:1 138910:1 158997:1 177806:1,Nein
Pflegehinweise,7,pflegehinweise,string:7,attributes:7,37644:1 180953:1,"Maschinenwäsche kalt | Maschinenwäsche 60°C, Nicht bleichen, Trocknen niedrige Temperatur, Bügeln mittlere Temperatur, Nicht chemisch reinigen | Maschinenwäsche | Schonwaschgang, Maschinenwäsche bei 30 °C | Maschinenwäsche 30°C | Maschinenwäsche 60°C | Waschbar bei 30°C"
Spannung,7,spannung,string:7,attributes:7,49782:2 29518:1 177699:1 179846:1 261425:1,51.2 V | 12V | AC100-240 V (50/60 Hz) DC 12/24 V | 18V | 12 V
Absatzart,6,absatzart,string:6,attributes:6,,Blockabsatz
Absatzhöhe,6,absatzhohe,string:6,attributes:6,,"7 cm | Hoch | Hoch (7,6-10 cm) | Mittel"
Abteilung,6,abteilung,string:6,attributes:6,175769:1,Herren | Damen
Anzahl der Teile,6,anzahl der teile,string:6,attributes:6,50382:2 33694:1 84237:1 262128:1,6 | 4 | 16 | 1
Dicke,6,dicke,string:6,attributes:6,33564:3 33612:1 33665:1,25 mm | 28 mm | 2.5 | 12 mm | 1.49 mm | 1.57 mm
Fahrzeugkompatibilität,6,fahrzeugkompatibilitat,string:6,attributes:6,179496:5 261425:1,"Motorrad 4-Takt Motoren | VW Golf, Audi A3, Ford Galaxy, Porsche Cayenne | Für Fahrzeuge mit Herstellerfreigaben BMW LL-04, MB 229.51, Porsche C30, VW 504 00/507 00 | Für diverse Benzin- und Dieselfahrzeuge | PEUGEOT, CITROËN, FIAT, HONDA, HYUNDAI, KIA | Diesel- und Ottomotoren"
Geeignet für,6,geeignet fur,string:6,attributes:6,177031:2 20754:1 22670:1 260307:1,"Wassersprudler | Hängesessel | Strandkorb | Waschmaschinen, Spülmaschinen | Anfänger, Fortgeschrittene | Süßwasser und Meerwasser"
Hauptkategorie,6,hauptkategorie,string:6,attributes:6,33564:1 33579:1 33661:1 33665:1 39057:1,"Autoteile & Zubehör | Auto & Motorrad: Teile > Auto-Ersatz- & -Reparaturteile > Bremsen > Bremsscheiben | Garten & Terrasse | Motoren & Motorenteile | Auto & Motorrad > KFZ-Ersatzteile > Antrieb, Motoren & Getriebe > KFZ-Dichtungen | Auto & Motorrad > KFZ-Ersatzteile > KFZ-Federungen & Dämpfungen > Federbeine & Stoßdämpfer"
Materialzusammensetzung,6,materialzusammensetzung,string:6,attributes:6,,"Upcycelte Vintage-Materialien | 92% Baumwolle, 8% Kaschmir | 84% Baumwolle, 16% Leinen | 92% Nylon, 8% Elastan | 90% Polyamid, 10% Elasthan | gewebtes Stretch-Material"
Saison,6,saison,string:6,attributes:6,37644:2 15687:1,Ganzjährig | SP24 | Alle Jahreszeiten | A/S 9999
Tiefe,6,tiefe,string:6,attributes:6,177031:1,69.3 cm | 20 cm | 79 mm | 95 cm | 29 cm | 19 mm
Altersempfehlung,5,altersempfehlung,string:5,attributes:5,19082:1 22449:1 156105:1 183457:1 261068:1,13+ | Ab 6 Jahren | Ab 3 Jahre | Ab 4 Jahren
Anzahl Teile,5,anzahl teile,string:5,attributes:5,37644:2 3244:1 33694:1 156105:1,15 | 4 | 2 | 61
Artikelzustand,5,artikelzustand,string:5,attributes:5,33564:1 178934:1 263094:1,Neu | Gebraucht – Voll funktionsfähig | Gebraucht
Ausschnitt,5,ausschnitt,string:5,attributes:5,15687:1,Rundhals
Kapazität,5,kapazitat,string:5,attributes:5,49782:2 47075:1 179846:1,30 Ah | 5000 mAh | 256 GB | 4 Ah | 9.1 Ah
Modifikationsbeschreibung,5,modifikationsbeschreibung,null:5,attributes:5,58100:1 138910:1 158997:1 177806:1 177807:1,
Montage,5,montage,string:4 null:1,attributes:5,20622:1 177807:1 178934:1,Unkomplizierte Installation | Wandmontage | Keine Montage erforderlich | Teilmontiert
Spezifikation,5,spezifikation,string:5,attributes:5,179496:2 179494:1 179501:1,"ACEA C3 | AF13++ | TE-ML 11 | ACEA C3, API SN, API CF | GL4/5"
Sportart,5,sportart,string:5,attributes:5,2024:1 44647:1 158997:1 161826:1,Radsport | Tauchen | Fußball | Badminton | Angeln
Steuerung,5,steuerung,string:5,attributes:5,23895:1 174119:1 184665:1,"Fernbedienung | Touch | Touchscreen, Sprachsteuerung, Lenkradfernbedienung (SWC) | Manuell"
Zertifizierung,5,zertifizierung,string:5,attributes:5,33729:1 37644:1 156105:1,"CE, TÜV SÜD IE | OEKO-TEX Standard 100 | CE-zertifiziert | Carbon Neutral Product | EAC-zertifiziert"
Anwendung,4,anwendung,string:4,attributes:4,178918:1 179496:1 179501:1,"Benzin- und Dieselmotoren | Benzinmotoren, Dieselmotoren | Doppelkupplungsgetriebe (DCT) | Camping, Outdoor-Kochen"
Anzahl,4,anzahl,string:4,attributes:4,184665:1 262128:1 262228:1,1 Stück | 1
Befestigung,4,befestigung,string:4,attributes:4,177031:2 261011:2,Aluminium-Ösen | Gewebebändchen zum Festschnüren | Gewebebändchen
Beschreibung des Angebotpakets,4,beschreibung des angebotpakets,null:4,attributes:4,58100:1 158997:1 177806:1 177807:1,
Bremsscheibenart,4,bremsscheibenart,string:4,attributes:4,33564:4,belüftet | Innenbelüftet | Voll
Bruttogewicht,4,bruttogewicht,string:4,attributes:4,,11.5 | 6.5 | 4.1 | 0.47 kg
Design,4,design,string:4,attributes:4,33694:1 178934:1 180953:1,Sportliches rotes Design | M Competition Logo | 231/4 Placket | Nordic Felloptik
Fahrzeughersteller,4,fahrzeughersteller,string:4,attributes:4,33564:2 33612:1 262241:1,"Audi, VW, Seat | Audi | Audi, Ford, Seat, Skoda, VW | Ford, Land Rover"
GTIN,4,gtin,string:4,attributes:4,36440:1,0098931289601 | 04260325295246 | 3573994006336 | 4260716810041
Herstelleradresse,4,herstelleradresse,string:4,attributes:4,2024:1 20622:1 33661:1,"Industriestrasse 17, 55743 Idar-Oberstein | 69448 Weinheim | Wilhelmstraße 47, 58256 Ennepetal, Germany | Am Eifeltor 20, 50997 Köln, Germany"
Herstellergarantie,4,herstellergarantie,string:4,attributes:4,,5 Jahre
Herstellerland - und Region,4,herstellerland und region,null:3 string:1,attributes:4,58100:1 158997:1 177806:1 177807:1,Tschechische Republik
Kragenform,4,kragenform,string:4,attributes:4,57990:1,"Kapuze, Hochabschließend | Stehkragen | Umlegekragen im Rever-Stil"
Montage erforderlich,4,montage erforderlich,string:4,attributes:4,3199:1 81464:1 177031:1,Ja | Nein
Motortyp,4,motortyp,string:4,attributes:4,33612:2 33661:1 262241:1,2.0 TDI | PSA-Motoren | 1.9 TDI | 1.9 TDI Pumpe-Düse PD
Nettogewicht,4,nettogewicht,string:4,attributes:4,,10.15 kg | 5.5 | 3.4 | 0.27 kg
Öl-Typ,4,ol typ,string:4,attributes:4,179496:2 179494:1,Mineralisch | Teilsynthetisch | HC-Synthese | Vollsynthetisch
Passend für,4,passend fur,string:4,attributes:4,57357:1 170141:1 261011:1 262228:1,"Ford Galaxy (WGR), Citroën C4 Coupe (LA_), Skoda Octavia Combi (5E5), Citroën C4 II (B7), Seat Leon ST (5F8), Skoda Octavia (1U2) | Sonnenschirm | Opel PKW | Mercedes-Benz E-Klasse, CLS"
Referenznummer OE,4,referenznummer oe,string:4,attributes:4,33564:1 170141:1 177699:1 262228:1,412178 | 16 03 254 | 2123230020 | P55W
