fs_id,sku,ean,name,category,qty,bin,bl_id,base_product_id,price,currency,has_details
4041248450888,SKU-1948960316,4041248450888,Elring Zylinderkopfdichtungssatz 150.172 für zuverlässige Motorabdichtung,Motoren & Motorenteile,1,XGA0106B,,,33.28,EUR,true
4043962306996,SKU-8927251416,4043962306996,fischer Hammerbohrer SDS-plus Quattric II Ø 24mm für höchste Präzision,Spiralbohrer,1,XGA0102B,,,41.9,EUR,true
4046001447266,SKU-3016364513,4046001447266,VAICO Bremsscheibe V25-40006: Maximale Fahrsicherheit im 2er-Set,Auto & Motorrad: Teile,1,XGA0106C,,,67.38,EUR,true
4082300855241,SKU-1353005263,4082300855241,HELLA Anlasser 8EA 011 612-801 für zuverlässigen Motorstart 12V 1.2kW,Anlasser,1,XGA0106C,,,130,EUR,true
4250358601817,SKU-1964286581,4250358601817,Hofner HC504-7/8 Gitarren- & Bass-Zubehör für optimale Performance,Sonstige Musikinstrumente,1,XGA0201A,,,199,EUR,true
4251175827556,SKU-2902386366,4251175821556,EURO DRIVELINE Antriebswelle W135: Präzision & Langlebigkeit für Ihr Fahrzeug,Autoteile & Zubehör,1,XGA0106D,,,63.99,EUR,true
4260499852344,SKU-3933851468,4260499852344,BLAUPUNKT Autoradio VALENCIA 200 DAB+ BT – Digitalradio & Freisprechen,Auto-Hi-Fi & Navigation,1,XGA0201B,,,114.99,EUR,true
4260526472194,SKU-7139254013,4260526472194,DONBOLSO Slim Wallet Rome Herren Echtleder schlank mit Münzfach,Geldbörsen & Etuis,1,XGA0102D,,,29.99,EUR,true
4270001051905,SKU-9268872444,4270001051905,Spivo Topspin Trainer: Präzise Ballkontrolle & besseres Tennisspiel,Puppen & Zubehör,1,XGA0304B,,,179.99,EUR,true
4806633149839,SKU-5619085780,14006633314036,ATE Bremsbeläge Original – Maximale Sicherheit & Zuverlässigkeit,Bremsbeläge,1,XGA0106B,,,26.04,EUR,true
4909500898543,SKU-2019632072,4909500898543,KYB Staubschutz-Kit 910158: Verlängert Stoßdämpfer-Lebensdauer effektiv,Federung & Lenkung,1,XGA0106B,,,21.49,EUR,true
4960999610955,SKU-4090290612,4960999610955,Canon Toner 716 Schwarz Original für gestochen scharfe Laser-Ausdrucke,Drucker,1,XGA0101B,,,56.95,EUR,true
57380a89-b13c-470c-8167-aa51b43eb78e,SKU-5329605855,4969913221,Ernie Ball E-Gitarrensaiten Regular Slinky 10-46: Ikonischer Slinky-Sound,Musikinstrumente,1,XGA0106B,,,17.49,EUR,true
578c3341-658b-46d1-b419-b4ce60b534a5,SKU-9688561402,,Oventrop Schrägsitzventil DN50 Totraumfrei für höchste Hygiene,Rückschlagventile,1,XGA0102D,,,112,EUR,true
5901532626087,SKU-1746174206,5901532626087,Polcar Außenspiegel Rechts Fiat Ducato 2006-2011 Elektrisch Beheizt,Auto & Motorrad: Teile,1,XGA0106D,,,96.35,EUR,true
5904270013775,SKU-5437386727,5904270013775,JPN Radlagersatz für KIA Sportage ix35 – Maximale Fahrsicherheit,Auto & Motorrad: Teile,1,XGA0106B,,,19.28,EUR,true
5908242693453,SKU-6816251293,5908242693453,KAMOKA Radlagersatz für höchste Fahrsicherheit & optimalen Fahrkomfort,Auto & Motorrad: Teile,1,XGA0106B,,,22.49,EUR,true
6078c5f0-fb52-4c9c-b795-12a136ba6c79,SKU-2708761114,4250394535152,BITUXX Federspanner-Set Universal | Sicher & Präzise für Kfz-Wartung,Auto & Motorrad: Teile,1,XGA0101E,,,74.9,EUR,true
61921411800024,SKU-6860111834,61921411800024,Qunsheng Haushaltshandschuhe: Robuster Naturlatex für optimalen Schutz,Handschuhe & Fäustlinge,0,,,,0,EUR,true
6be95318-1354-4b38-9526-aab48b727982,SKU-6954275739,16567432516506316,"SAGENSPEZI Sägekette .325"" 74 TG für präzise Schnitte & maximale Leistung",Motor-Gartengeräte & -zubehör,2,XGA0106B,,,31.98,EUR,true
7082024102510,SKU-1423771699,3615984567431,Piaggio Keilriemen Original 102C-510 für präzise Kraftübertragung,Keilriemen,1,XGA0106B,,,67.95,EUR,true
7316577150929,SKU-8906682806,7316577150929,SKF Schrägkugellager 7315 BEGAP - Höchste Präzision für Langlebigkeit,Lager,2,XGA0106B,,,178.47,EUR,true
7325549884427,SKU-6480044357,7325549884427,POC Fahrradhelm Axion Race MIPS – Premium MTB Schutz & Rotationsschutz,Fahrrad,1,XGA0301C,,,74.99,EUR,true
74429111967912,SKU-6162434731,74429111967912,KOTO Dartständer Höhenverstellbar & Ultrastabil für perfektes Spiel,Töpferscheiben,1,XGA0106A,,,8.42,EUR,true
7778bbb4-0a11-414b-a323-1573ab313f48,SKU-6044260478,4057635165101,MAHLE Ausgleichsbehälter VW Transporter: Optimale Kühlung & Langlebigkeit,Ausgleichsbehälter,1,XGA0106C,,,25.96,EUR,true
85020cb2-38be-42d7-a2d1-bb5aa92d9e36,SKU-5952589845,11203709,Unbekant Oberfräse 3709 für präzise Kanten & Nuten in Holz,Elektrowerkzeuge,1,XGA0101C,,,65,EUR,true
8718042150288,SKU-3341294632,8718042150288,NRF Ladeluftkühler BMW: Optimiert Leistung und Effizienz,Motoren & Motorenteile,1,XGA0106D,,,69.39,EUR,true
8bc07ed5-5cee-4d00-abb3-00dd4f20439d,SKU-2930571748,3165140564250,Bosch Hammerbohrer SDS max-4 30mm für Beton - Extreme Haltbarkeit & Präzision,Spiralbohrer,1,XGA0102B,,,28.79,EUR,true
914f7e36-2a57-4a6c-94e3-441532afad65,SKU-3988740005,4250983259612,Offgridtec Sammelschiene M8 Heavy Duty für sichere Stromverteilung,Elektroinstallation,1,XGA0106B,,,609.14,EUR,true
9aff4795-bed9-4a09-ba98-77c2e138b511,SKU-2439653897,3738147686,Unbekannt A1Pro Kabelloses Ladegerät 15W Schnellladung für Qi-Geräte,Kabelgebundene Router,0,,,,0,EUR,true
SKU-0280699295,SKU-0280699295,09700310601067,H&M Damen Strickpullover: Zeitloser Stil & Hoher Tragekomfort,Pullover & Strick,1,XSGA0103A,458453030,458453030,17.99,EUR,true
SKU-2135446963,SKU-2135446963,,Dexcom G6 Glukosesensoren: Präzise Echtzeit-Glukosewerte für Diabetiker,Diabetes-Management,0,,458514654,458514654,184.77,EUR,true
SKU-5403685857,SKU-5403685857,4007123624386,"Brennenstuhl Steckdosenleiste 8-fach, 5m Kabel, Schalter, Made in Germany",Steckdosenleiste,0,,449820995,449820995,17.37,EUR,true
SKU-7049665224,SKU-7049665224,09766310601055,H&M Damen Strickjacke: Eleganter Zopfmuster Cardigan für Stil & Komfort,Pullover & Strickjacken,1,XSGA0103A,458453029,458453029,29.99,EUR,true
SKU-7926913408,SKU-7926913408,0313030022097,"TOPTREK Fahrradabdeckung: Ganzjahresschutz, wasserdicht für 1 Fahrrad",Fahrradzubehör,1,XSGA0103B,458453028,458453028,17.65,EUR,true
SKU-9091395294,SKU-9091395294,4002541707024,LEONARDO Trinkgläser Set Swing – Modernes Design für Wasser & Saft,Gläser,1,XGA0202C,458467756,458467756,7.5,EUR,true
SKU-9458628509,SKU-9458628509,6956079723620,Eureka E10s Saug- & Wischroboter mit Absaugstation für makellose Böden,Roboter,0,,,449816034,121.99,EUR,true
c6d932e0-cd68-4d66-8212-d98f5d10e8d2,SKU-7957694387,4047371128199,"SIRUS Mikrofonständer Desktop, Höhenverstellung ca. 27 - 41 cm,  3/8-Zoll Gewinde",Elektronik & Computer,1,XGA0106B,,,69,EUR,true
e29c131f-ec89-434c-b216-90f28330918d,SKU-6854747447,220653541150,Vinz Jethelm Como ECE R22-06 | Kratzfestes Visier & UV-Schutz,Helme & Kopfbedeckungen,1,XGA0101C,,,35,EUR,true
f20fc23c-f6dc-476a-9070-d943caec409f,SKU-3481827893,6946785119145,Rolife Miniatur-Bausatz Gartenhaus mit LED für Bücherregal-Ecke DIY,Modellbau,1,XGA0201B,,,35.65,EUR,true
f7a5bb4a-9e13-4a67-8065-996f9a809f26,SKU-0107097519,400690609473,Sontheimer Nockenschalter S06H | Robust & Zuverlässig für industrielle Steuerungen,Steuerung,2,XGA0106B,,,19.95,EUR,true
fad41e15-2900-414a-b739-2ed02d4394fe,SKU-9297459968,4027816262596,febi bilstein Waschwasserpumpe für Mercedes-Benz – Klare Sicht,Auto & Motorrad: Teile,1,XGA0106B,,,7.68,EUR,true
