Key,Products,Cluster,Types,Sources,TopCategories,SampleValues
gpsr.url,451,gpsr url,string:451,gpsr:451,15709:8 2994:6 33564:6 37644:6 179496:6,www.thule.com | www.patriotmemory.com | relionbattery.com | www.ate.de/original | www.europlast.lv | www.haskyy.com | www.silicon-power.com | https://www.delsey.com
identifiers.mpn,388,identifiers mpn,string:388,identifiers:388,179496:7 15709:6 33564:6 2994:4 16191:4,C001746 | X001Y0BTE9 | 3205317 | 20201512 | HMF-B03 | 100-10011 | 661581842 | 5023700V02
Material,360,material,string:355 null:5,attributes:360,37644:6 20460:5 3199:4 58100:4 158928:4,"Strapazierfähiges Textil | PVC, PP | Kunststoff | 100% Baumwolle | Metall | Hochwertige Verbundwerkstoffe | Hochwertiger Werkzeugstahl | Holzwerkstoff"
weight,346,weight,number:331 string:13 null:2,attributes:346,179496:7 33564:6 3034:4 15480:4 33612:4,1 kg | 3 | 1 | 0.1 | 0.64 | 15.6 | 2.23 | 12
Modell,329,modell,string:316 null:13,attributes:329,15709:12 2994:5 3034:5 16191:4 58100:4,"C22/S02 | Chariot Cargo Rack 2 | Bee Cream | HMF-B03 | CUBE | Smokey Mountain Cooker | Ducato, Jumper, Boxer | TX103"
Herstellernummer,303,herstellernummer,string:296 null:7,attributes:303,15709:6 33564:6 179496:6 16191:4 33612:4,C001746 | HMF-B03 | 60.237.00V02 | 9202922 | 7.22184.39.0 | LUH-A251-WEU | 802 472 019 | 3046
GPSR Manufacturer name,215,gpsr manufacturer name,string:215,attributes:215,238:4 3199:4 15480:4 15709:4 58100:4,Thule | Pokémon | Weber | Normans (Burton on Trent Ltd) | ATE | IKEA | TRW | RDINSCOS
Besonderheiten,197,besonderheiten,string:188 null:9,attributes:197,15709:6 3034:5 58100:4 158928:4 387:3,"Faltbar, Tragbar, Robust | Integrierte Reißverschlusstasche | Verstellbar | Mit Boosterpacks | Mit Deckel, Integriertes Thermometer | Spülmaschinenfeste Teile | Ultraschall, Kaltnebel, Top-Fill, Leise, DualValve Anti-Leak Design | Reisefreundlich, Kompaktes Design"
identifiers.gtin,135,identifiers gtin,string:135,identifiers:135,33564:5 179496:5 37644:4 238:3 15709:3,00872299043330 | 8424445107988 | 04052938000016 | 04260325295246 | 4059923008019 | 1004200304684 | 14006633314036 | 1795362000001
Größe,128,grosse,string:123 null:5,attributes:128,20460:4 58100:4 37644:3 2994:2 15687:2,120x30cm | L | 37 cm | 24 | S/M | XL | M | S
Stil,123,stil,string:123,attributes:123,15709:10 3034:6 2994:5 387:3 2996:2,Basic | Casual | Vintage | Modern | Glatter BH | Bustier | Pyjamahose | Ouvert-String
Anwendungsbereich,121,anwendungsbereich,string:121,attributes:121,3244:4 179496:4 8012:2 20770:2 28107:2,"Körper | Inkontinenzversorgung | Motorrad 4-Takt | Kfz, Maschinenbau, allgemeine Reparaturen | Wartungsschächte, Hohlräume | Backpacking | Außenbereich | Lackdickenmessung, Beschichtungsdickenmessung, Automobilindustrie"
Zielgruppe,113,zielgruppe,string:113,attributes:113,15480:4 15709:3 120:2 387:2 2994:2,"Unisex Erwachsene | Sammler, Kinder | Anfänger | Erwachsene | Erwachsene & Kinder | Herren | Gamer | Jugendliche, Erwachsene"
EAN,106,ean,string:106,attributes:106,179496:4 33612:2 170141:2 19456:1 22449:1,0098931289601 | 8424445107988 | 0615272916159 | 1004200304684 | 1795362000001 | 8029121951734 | 6933783712522 | 2290601009009
Muster,102,muster,string:102,attributes:102,15709:7 37644:6 20460:4 3034:3 387:2,Logo | Logo-Print | Geometrisch | Einfarbig | Unifarben | Gestreift | Feinripp | Uni
Lieferumfang,100,lieferumfang,string:100,attributes:100,33564:4 33612:4 170141:3 33694:2 37644:2,"1 Sammelordner, 5 Boosterpacks | Räucherofen, Premium Abdeckung | 1x Luftmassenmesser | 16 Schleifpapiere | Gehäuse, Armband (klein und groß), Ladekabel | 1x Federbeinlager | 1x Bremsscheibe | Ansaugsystem, Luftfilter, Befestigungsschellen"
Geschlecht,99,geschlecht,string:99,attributes:99,15709:5 2994:3 387:2 3034:2 1059:1,Unisex | Herren | Damen | UNISEX | Jungen | Mädchen
Herstellungsland,94,herstellungsland,string:94,attributes:94,33612:4 179496:4 120:2 3199:2 3244:2,Taiwan | Deutschland | Polen | EU | Frankreich | Italien | Belgien | Indien
Anlass,90,anlass,string:90,attributes:90,15709:10 3034:5 2994:3 387:2 57990:2,"Freizeit | Freizeit, Alltag | Freizeit, Business Casual | Sportveranstaltungen, Fan-Events | Besondere Anlässe | Dessous, Besondere Anlässe | Vielseitig | Casual"
Länge,79,lange,string:71 null:8,attributes:79,15480:4 58100:4 158928:4 387:2 66728:2,800 mm | 190 mm | 1140 | 615 mm | 250 cm | 120 cm | 125 cm | 160 cm
Breite,74,breite,string:68 null:6,attributes:74,15480:4 158928:4 57357:3 387:2 3199:2,77 cm | 300 mm | 460 mm | 34.5 cm | 460 | 87 | 370 mm | 10 cm
Höhe,74,hohe,string:69 null:5,attributes:74,15480:4 33564:3 57357:3 3199:2 85040:2,77 cm | 11 cm | 85 mm | 53.1 cm | 52.4 mm | 71 cm | 52.9 | 365 mm
Verschluss,69,verschluss,string:69,attributes:69,15709:10 3034:6 2994:3 387:2 2996:2,"Knopfleiste | Gummizug | Reißverschluss, Zwei-Wege-Zipper | Ohne Verschluss | Knopfverschluss | Reißverschluss | Reißverschluss und Druckknopf | Knopf"
Einsatzbereich,67,einsatzbereich,string:66 null:1,attributes:67,179496:4 177846:2 238:1 387:1 2994:1,"Möbelzubehör | Outdoor | Innenräume | Wassersport, Schnorcheln, Schwimmen, Tauchen | Außenbereich | Auto, Camping, LKW, Wohnmobil, Haushalt | Camping, Outdoor | Gastronomie, Catering, Vending"
Thema,60,thema,string:60,attributes:60,15709:4 387:2 15480:2 234:1 1188:1,"Anime & Manga | Fantasy, Zombies | Disney | Burgen & Schlösser | Basic | Deutschland | Klangkaskade | Erotik, Dessous"
Jahreszeit,57,jahreszeit,string:57,attributes:57,15709:7 3034:5 387:2 2994:2 1059:1,"Herbst, Winter | Ganzjährig | Winter | Herbst/Winter | Alle Jahreszeiten | Sommer | Frühling, Sommer, Herbst, Winter | Frühling, Sommer"
Passform,57,passform,string:57,attributes:57,15687:2 15709:2 1059:1 3034:1 11484:1,Regular Fit | Optimal | Drop Fit | Big Fit | Fahrzeugspezifisch | Normal | Slim Fit | Regular Fit / Normale Passform
Abteilung,56,abteilung,string:52 null:4,attributes:56,15709:8 3034:6 2994:2 85040:2 387:1,Herren | Damen | Unisex Erwachsene | Erwachsene | Unisex | Kinder | Unisex Kinder | Jungen
Hersteller,55,hersteller,string:55,attributes:55,238:4 33564:3 387:1 2024:1 2988:1,ATE | Galileo S.p.A. | Wizards of the Coast | ALURAD SHOP GBR | Bosch | Pierre Fabre | BRITA SE | Continental Aftermarket & Services GmbH
Anzahl der Einheiten,50,anzahl der einheiten,string:35 null:15,attributes:50,11195:4 158928:4 3199:2 13999:2 28107:2,1 | 3 | 2 | 12 | 40 | 6 | 50
Form,48,form,string:47 null:1,attributes:48,20460:2 28107:2 177031:2 238:1 3199:1,Rund | Rechteckig | Oval | Bolus | Wichtel im Schaukelstuhl | Tier | Gerade | Rechteckige Sticks
identifiers.upc,44,identifiers upc,string:44,identifiers:44,15709:3 16191:2 158916:2 120:1 2994:1,085854258548 | 872299043330 | 810123671069 | 850025732208 | 843820108804 | 727977275230 | 609832070375 | 655302158944
Obermaterial,44,obermaterial,string:44,attributes:44,15709:12 3034:5 2994:4 387:2 158916:2,Britische Wachsbaumwolle | Polyurethan | 100% Polyamid | Leder | Echtleder | Wildleder | 100 % recyceltes Polyvinylbutyral | Textil mit Wildleder-Overlays
Angebotspaket,42,angebotspaket,null:27 string:15,attributes:42,58100:4 177832:4 11195:2 13999:2 85040:2,Ja | Nein
Maßeinheit,42,masseinheit,string:27 null:15,attributes:42,11195:4 158928:4 13999:2 28107:2 3034:1,"µm, mil | Metrisch | Einheit | Stück | Satz | Set | L | Beutel"
Kompatibilität,41,kompatibilitat,string:40 null:1,attributes:41,54145:2 238:1 11778:1 15277:1 16191:1,"Universal (für Stühle & Fahrzeuge) | Thule Doppel-Kinderanhänger | Universal | Alle Maussensoren | Lenkradfernbedienung (SWC) | ROHO Standard und SELECT Sitzkissenmodelle | Wohnwagen, Campingbusse, Autos | BRITA P 1000 Systeme"
Modifizierter Artikel,37,modifizierter artikel,null:25 string:12,attributes:37,58100:4 177832:4 11195:3 13999:2 85040:2,Nein
Eigenschaften,35,eigenschaften,string:35,attributes:35,20460:3 387:2 2994:2 11778:1 15687:1,"Kühlend, Wärmend, Wohltuend | Stoßfest, Präzise Aussparungen, Einfache Installation, Angenehme Haptik | Wetterfest | Wetterfest, Solarbetrieben, Fernbedienung | Wasserdicht, Frostbeständig, UV-beständig | Kraftstoffsparend, Verschleißschutz, Motorsauberkeit, Kaltstartoptimiert | Atmungsaktiv | Wasserdicht, Winddicht, Atmungsaktiv, Warm, Recycelt"
K-Typ,35,k typ,string:35,attributes:35,33564:4 33612:3 170141:3 179496:3 57357:2,"23302,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|25455,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|19124,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|16077,Motorc | 4218|10319|10321|14020|16094|16095|18141|19991|19992|20676|20677|20678|20791|20792|20793|21553|24313|34970|34971|55231|57486|57487|57497|57498|106326|123021|129105|129107|129108|12 | 9135,Einbauposition Vorderachse|116960,Einbauposition Vorderachse|100972,Einbauposition Vorderachse|6647,Einbauposition Vorderachse|111969,Einbauposition Vorderachse|6649,Einbaupos | 58318,Einbauposition Hinterachse|29480,Einbauposition Hinterachse|34928,Einbauposition Hinterachse|29482,Einbauposition Hinterachse|29483,Einbauposition Hinterachse | 5062|5063|6030|6040|6516|6517|6518|6519|6520|7514|7515|7516|7517|10523|11052|17009|17172|17173|17398|17458|17577|17578|18066|18067|18068|18069|18070|18071|18082|18083|18356|18357|1 | 25|58|370|1360|2002|2003|2031|2038|2039|2040|2041|2042|3252|4613|4614|4615|4616|4617|4618|4619|4620|4621|4622|5071|5081|5125|5171|5289|5290|5305|5306|5307|5308|5310|5311|5313|5314| | 2311|4100|4101|4103|4104|4220|4221|4252|4254|4256|4257|4258|4260|4261|4284|4296|4297|5376|6974|7485|7486|8982|9358|9815|10239|10240|10349|10636|10958|11617|11645|11690|11959|14020| | 1360|1968|1969|1970|1971|5071|5081|6883|8493|8494|8600|8601|8602|8603|8861|9143|9307|11054|11058|11060|11179|11180|11986|11987|11988|11989|11990|11991|11992|11993|11994|11995|11996"
Geeignet für,34,geeignet fur,string:34,attributes:34,177031:2 120:1 3205:1 3244:1 9939:1,"Wassersprudler | Hängesessel | Strandkorb | Waschmaschinen, Spülmaschinen | Anfänger, Fortgeschrittene | Süßwasser und Meerwasser | Innenbereich | Salate, Beilagen, Obst"
Pflegehinweise,34,pflegehinweise,string:34,attributes:34,20460:4 37644:2 1059:1 3205:1 15687:1,"Maschinenwäsche kalt | Maschinenwäsche 60°C, Nicht bleichen, Trocknen niedrige Temperatur, Bügeln mittlere Temperatur, Nicht chemisch reinigen | Maschinenwäsche | Schonwaschgang, Maschinenwäsche bei 30 °C | Maschinenwäsche 30°C | Maschinenwäsche 60°C | Waschbar bei 30°C | Mit trockenem oder leicht feuchtem Tuch abwischen"
Zimmer,34,zimmer,string:34,attributes:34,3199:4 20460:4 37644:3 20445:2 20612:2,"Wohnzimmer, Schlafzimmer, Büro, Kinderzimmer | Schlafzimmer | Badezimmer | Garten, Terrasse, Balkon | Arbeitszimmer, Esszimmer, Garage, Kinderzimmer, Küche, Schlafzimmer, Wohnzimmer | Kinderzimmer | Wohnzimmer, Schlafzimmer, Flur/Diele, Esszimmer, Balkon | Badezimmer, Schlafzimmer, Waschküche, Kinderzimmer, Wohnzimmer"
Sportart,33,sportart,string:33,attributes:33,15709:5 2994:3 3034:2 387:1 2024:1,Radsport | Tauchen | Fußball | Badminton | Angeln | Outdoor | Lifestyle | Handball
Absatzhöhe,31,absatzhohe,string:31,attributes:31,15709:7 3034:6 2994:3 387:2 11498:1,"7 cm | Hoch | Hoch (7,6-10 cm) | Mittel | Flach (Kleiner als 2,5 cm) | Flach | Flach (weniger als 2,5 cm) | Flach (unter 3 cm)"
Einbauposition,31,einbauposition,string:31,attributes:31,33564:4 170141:4 33612:3 57357:3 33694:2,"Rechts | Vorderachse, Links, Rechts | Motorraum | Vorderachse | Vorne, Hinten | Hinterachse | Hinten | Vorderachse beidseitig (links und rechts)"
Verschlussart,31,verschlussart,string:30 null:1,attributes:31,37644:3 2994:1 11236:1 11507:1 15709:1,Verstellbarer Fersenriemen | Reißverschluss | Haken- und Ösenverschluss | Vierkantverschluss | Ohne Verschluss | Reißverschluss und Knopf | Zwei-Wege-Reißverschluss | Magnetisch
Durchmesser,30,durchmesser,string:26 null:4,attributes:30,33564:5 58100:4 20612:2 50382:2 3199:1,"37 cm | 314 mm | 321 mm | 8,5 cm | 240 mm | 2,5 mm | 300 mm | 110 cm"
Anzahl pro Packung,29,anzahl pro packung,string:29,attributes:29,57357:3 170141:3 3244:1 11507:1 19456:1,1 | 4 | 2 | 3 | 5 | 500 Stück | 3er Pack | 4 Stück
Leistung,29,leistung,string:28 null:1,attributes:29,20612:3 2662:1 8012:1 20614:1 20697:1,5W | 350 W | 2000 Watt | 17 W | 60 | 100W | 60 W | 4 W
Ärmellänge,28,armellange,string:28,attributes:28,15687:2 57990:2 1059:1 11484:1 59325:1,Kurzarm | Langarm | Extralanger Arm | Lange Ärmel
Modellnummer,28,modellnummer,string:28,attributes:28,15709:2 2996:1 3034:1 20660:1 33665:1,X001Y0BTE9 | 201010252 | 6S9701P | MW0MW28046DW5 | J20 | 7511 | 150.153 | KH121U1KW-C11
Modifikationsbeschreibung,28,modifikationsbeschreibung,null:28,attributes:28,58100:4 177832:4 13999:2 85040:2 177846:2,
Montageart,28,montageart,string:28,attributes:28,134642:2 387:1 11183:1 19839:1 20442:1,Seitenständer | Schraubmontage | Wandmontage | nicht vormontiert | Werkzeuglos | Standmontage | Aufputz | Aufputz / Unterputz
Serie,28,serie,string:28,attributes:28,4296:1 11195:1 11863:1 16191:1 20601:1,Karmesin & Purpur | 2000 Series | F45 | Vernis Blend | PURITY C | EDGE TURBO DIESEL | Rebris E | Classic Line
Oberfläche,26,oberflache,string:26,attributes:26,20349:1 20460:1 20601:1 22670:1 29508:1,"Matt, Transparent | Pulverbeschichtet | Glänzend | Glatt | Schwarz oxidiert | Chrom | Hochglanz | Getönt"
Vintage,26,vintage,string:26,attributes:26,15709:4 3034:3 2996:2 158916:2 387:1,Nein | Ja
Besonderheit,25,besonderheit,string:25,attributes:25,25354:1 29518:1 29525:1 33697:1 36025:1,"Brusttasche | Reisefreundlich, Kompaktes Design | Upcycled | Feststellschraube | Robuste Konstruktion | DPF- und Katalysator-kompatibel | Robuste Bauweise, präzise Verarbeitung | Verdrehschutz"
Besondere Merkmale,24,besondere merkmale,string:24,attributes:24,1188:1 2994:1 11863:1 14355:1 19656:1,"Drehzahlregelung, Staubabsaugung, Soft-Grip | Sichtfenster | Intelligente Steuerung, Lange Leuchtdauer, Hohe Helligkeit | Ohne Duftstoffe, Ohne Parabene, Hypoallergen, Ab Geburt geeignet, Medizinprodukt | Bio-Baumwolle | Leckageschutz, Erstausrüsterqualität | 6-in-1, Rucksack-Tragesystem | Doppeltank-System|Selbstreinigungsfunktion|Easy-Fill"
Anzahl der Teile,23,anzahl der teile,string:23,attributes:23,238:2 33694:2 50382:2 234:1 20444:1,6 | 4 | 16 | 1 | 7 | 5 | 8 | 18
Montage,23,montage,string:22 null:1,attributes:23,387:1 20442:1 20612:1 20622:1 25668:1,Unkomplizierte Installation | Wandmontage | Keine Montage erforderlich | Teilmontiert | Erforderlich | Nicht erforderlich | Klemmbefestigung | Werkzeuglos
Ausschnitt,21,ausschnitt,string:21,attributes:21,15687:2 1059:1 11484:1 59325:1 175774:1,Rundhals | Stehkragen | V-Ausschnitt | Polokragen | Kapuze
Technologie,21,technologie,string:21,attributes:21,179496:3 11195:1 15709:1 16191:1 36114:1,Rapid Air | Ultraschall-Kaltnebel | LiFePO4 | Intelligente Steuerung | SLA (Sealed Lead Acid) | Fluid Titanium | QuickClean | Lobrid
Zertifizierung,21,zertifizierung,string:21,attributes:21,2988:1 8012:1 20445:1 20460:1 28107:1,"CE, TÜV SÜD IE | OEKO-TEX Standard 100 | CE-zertifiziert | Carbon Neutral Product | EAC-zertifiziert | Öko-Tex Standard 100 | FSC-zertifiziert | Bio-Baumwolle (zertifiziert)"
Altersempfehlung,20,altersempfehlung,string:20,attributes:20,15480:2 120:1 234:1 1188:1 2988:1,"13+ | Ab 6 Jahren | Ab 3 Jahre | Ab 4 Jahren | Ab 1,5 Jahren | Babys und Kleinkinder | Erwachsene | Ab 3 Jahren"
Altersgruppe,20,altersgruppe,string:20,attributes:20,15709:4 3034:3 387:1 11778:1 23609:1,Kinder ab 6 Jahren | Erwachsene | Kleinkind | Babys und Kleinkinder | Kinder | Alle Altersgruppen | Ab 3 Jahre | Kindergartenkinder (3-6 Jahre)
Beschreibung des Angebotpakets,20,beschreibung des angebotpakets,null:20,attributes:20,58100:4 177832:4 85040:2 177846:2 22689:1,
Herstellerland - und Region,20,herstellerland und region,null:19 string:1,attributes:20,58100:4 177832:4 85040:2 177846:2 22689:1,Tschechische Republik
Produktlinie,20,produktlinie,string:20,attributes:20,15709:7 387:2 3034:2 2994:1 11195:1,Dexeryl Emolliente | Energy | Cotton Stretch | Duplo | LEGO City | American Classic | adidas Campus | ASICS EX89
Oldtimer-Teil,19,oldtimer teil,string:19,attributes:19,33564:2 170141:2 33589:1 33694:1 33697:1,Nein
Spannung,19,spannung,string:19,attributes:19,49782:2 3247:1 27653:1 29518:1 32109:1,51.2 V | 12V | AC100-240 V (50/60 Hz) DC 12/24 V | 18V | 12 V | 220 V | 48 V | 220-240 V
Volumen,19,volumen,string:19,attributes:19,179496:6 11863:1 16191:1 29585:1 68814:1,4 Liter | 65 L | 1 Liter | 37 L | 5 L | 5L | 15 ml | 2 ml
Eigenschaft,18,eigenschaft,string:18,attributes:18,120:1 11236:1 11854:1 11863:1 19456:1,"Medizinprodukt | Dornenfest | Rutschfeste Unterseite | Knickfest | Verdrehschutz | Harzfrei, doppelt gekocht, feuchtigkeitsbeständig, pilzhemmend | Faltbar, Leichtgewicht | Vegan"
GPSR Manufacturer address,18,gpsr manufacturer address,string:18,attributes:18,120:1 3244:1 3247:1 11498:1 19656:1,"Unit 3, Ryknild Industrial Estate, Derby Road, Burton upon Trent, DE14 1RZ | 66, avenue des Champs-Élysées, 75008 Paris, France | Hofner GmbH, Schönbacher Str. 50, 91088 Bubenreuth, Germany | Einhell Germany AG, Wiesenweg 22, 94405 Landau/Isar, Germany | Wolffstraße 1, 56746 Kempenich, Germany | EU | Unit 8 Third Way Corner, Avonmouth BS11 9HL Bristol (GB) | Gachedo 15, 38017 Betanzos, A Coruña, Spain"
Montage erforderlich,18,montage erforderlich,string:18,attributes:18,3199:2 1188:1 3205:1 11183:1 11731:1,Ja | Nein
Personalisieren,18,personalisieren,string:18,attributes:18,3034:3 15709:3 387:1 11484:1 11498:1,Nein
Pflegehinweis,18,pflegehinweis,string:18,attributes:18,37644:2 11484:1 15687:1 30251:1 162041:1,"Feucht abwischbar | Maschinenwäsche 30°C | Maschinenwäsche | Maschinenwäsche 60°C | Pflegeleicht | Leicht zu reinigen | Maschinenwäsche 40°C | Mit Wasser abwaschen, anschließend vollständig trocknen lassen"
Saison,18,saison,string:18,attributes:18,37644:2 15687:1 15709:1 20460:1 66728:1,"Ganzjährig | SP24 | Alle Jahreszeiten | A/S 9999 | Winter | Frühling, Sommer"
Sprache,18,sprache,string:18,attributes:18,15480:4 261186:2 234:1 9047:1 11731:1,Deutsch | Englisch | Deutsch; Englisch; Französisch; Italienisch; Spanisch
Anzahl Teile,17,anzahl teile,string:17,attributes:17,37644:2 387:1 1188:1 3244:1 33694:1,15 | 4 | 2 | 61 | 174 | 16 | 1 | 11
Herstellungsland und -region,17,herstellungsland und region,string:9 null:8,attributes:17,13999:2 9606:1 15709:1 20696:1 25354:1,Belgien | Polen | Österreich | Indonesien | Deutschland
Laufsohlenmaterial,17,laufsohlenmaterial,string:17,attributes:17,15709:7 3034:4 2994:3 387:1 95672:1,Leder | Gummi | Synthetik
Produktgruppe,17,produktgruppe,string:17,attributes:17,33564:3 170141:3 33612:2 33579:1 33665:1,Bremssystem | Ansaug- & Kraftstoffsysteme | Bremsenteile | Antriebsteile & Getriebe | Fahrwerk & Lenkung | Fahrwerk | Motorenteile | Federung & Lenkung
Einheitentyp,16,einheitentyp,string:16,attributes:16,84904:2 120:1 11183:1 16191:1 22670:1,Stück | Helm | Paar | Stifte | Einheit | Pinsel | Set | Patrone
Fahrzeugmodell,16,fahrzeugmodell,string:16,attributes:16,33564:2 262161:2 33579:1 33694:1 33697:1,"i30N | A3, Golf V | 2er F45 Active Tourer | W140, C140 | Kuga, Galaxy, Focus, Mondeo, Range Rover Evoque | CX-5 | VW Lupo, VW Polo, VW Scirocco | Mercedes E-Klasse W212 S212"
Garantie,16,garantie,string:16,attributes:16,177031:2 261011:2 16191:1 20601:1 32109:1,2 Jahre Herstellergarantie | 3 Jahre Herstellergarantie | 5 Jahre Herstellergarantie | 5 Jahre | 2 Jahre | 2 Jahre Herstellergarantie auf Material | 10 Jahre Herstellergarantie | 7 Jahre
Inhalt,16,inhalt,string:16,attributes:16,179496:4 11854:1 28107:1 45503:1 85915:1,"100 g | 100-Karten-Deck, 10 doppelseitige Token-Karten, Strategie-Insert, Referenzkarte, 1 Collector Booster Sample Pack, 2 legendäre traditionelle Foils | 1 Liter | 500 g | 5 | 5 Liter | 1 Tonerkartusche | 1 L"
Fassungsvermögen,15,fassungsvermogen,string:15,attributes:15,20696:2 25845:1 67720:1 87141:1 98844:1,"6.2 Liter | 55 L | 3,0 Liter | 20 Liter | 1.2 L | 2.1 L | 3,5 Liter | 0,7 L"
Materialzusammensetzung,15,materialzusammensetzung,string:15,attributes:15,20460:1 28829:1,"Upcycelte Vintage-Materialien | 92% Baumwolle, 8% Kaschmir | 84% Baumwolle, 16% Leinen | 92% Nylon, 8% Elastan | 90% Polyamid, 10% Elasthan | gewebtes Stretch-Material | 95% Baumwolle, 5% Elasthan | 100% Baumwolle"
Set,15,set,string:15,attributes:15,28107:2 11183:1 14355:1 20770:1 33694:1,Aetherdrift | Ja | Nein
Sohlenmaterial,15,sohlenmaterial,string:15,attributes:15,15709:4 2994:2 3034:1 11504:1 11505:1,Leichtes Thermoplastischer Gummi | Thermoplastischer Gummi | Synthetik | Gummi | EVA
Universelle Kompatibilität,15,universelle kompatibilitat,string:15,attributes:15,33564:2 33612:2 33694:2 170141:2 238:1,Nein | Ja
Fahrzeugmarke,14,fahrzeugmarke,string:14,attributes:14,33564:3 262161:2 170141:1 174030:1 174093:1,"Fiat, Citroën, Peugeot | Audi | Hyundai | Honda | Mercedes-Benz | Mazda | Fiat | VW"
Fahrzeugtyp,14,fahrzeugtyp,string:14,attributes:14,33694:2 170141:2 33564:1 33697:1 49782:1,PKW | Motorrad | Kompakte bis mittelgroße PKW
Funktion,14,funktion,string:14,attributes:14,23895:1 33164:1 33612:1 33614:1 44932:1,"Wiederherstellung Fahrwerksleistung | Plug & Play | Erweiterbar | Zuverlässige Abdichtung | Motorabdichtung | Wasserdicht, Winddicht | 3-in-1 | Eis- und Schneebeseitigung"
Handgefertigt,14,handgefertigt,string:14,attributes:14,3034:3 15709:2 158916:2 387:1 3205:1,Ja | Nein
Schuhgröße EU,14,schuhgrosse eu,string:14,attributes:14,15709:5 2994:2 158916:2 387:1 3034:1,42 | 40 | 48 | 38.5 | 39 | 43 | 38 | 36
Tiefe,14,tiefe,string:14,attributes:14,3205:1 15456:1 127551:1 139001:1 177031:1,"69.3 cm | 20 cm | 79 mm | 95 cm | 29 cm | 19 mm | 20,5 cm | 29.8 cm"
Anzahl,13,anzahl,string:13,attributes:13,28107:2 11778:1 16191:1 33697:1 41456:1,1 Stück | 1 | 4-teilig | 1 Patrone | 3 | 12 Stifte | 1 Paar (2 Stück) | 12
