id,sku,name,brand,ean,inventory_quantity,storage_bin,storage_qty,storageBins_json,pending_intake
4010886516256,SKU-0963183292,GEDORE Nusssteckleiste Federstahl - Sichere Werkzeugordnung & Halt,GEDORE,4010886516256,1,XGA0202D,1,"[{""firstStoredAt"":""2025-12-21T16:18:46.864Z"",""quantity"":1,""code"":""XGA0202D"",""ebene"":""D"",""etage"":""GA"",""gang"":2,""lastUpdatedAt"":""2025-12-21T16:18:46.864Z"",""zone"":""X"",""regal"":2}]",0
4013556577007,SKU-5410787453,acamp Hängesessel Schutzhülle: Ganzjähriger Premium Wetterschutz Ø110x200cm,acamp,4013556577007,2,XGA0302D,2,"[{""code"":""XGA0302D"",""firstStoredAt"":""2025-12-21T16:17:35.981Z"",""quantity"":2,""zone"":""X"",""etage"":""GA"",""ebene"":""D"",""regal"":2,""gang"":3,""lastUpdatedAt"":""2025-12-21T16:24:10.578Z""}]",0
4013556577076,SKU-2724878095,acamp Schutzhülle Cappa für ovale Tische - Wasserdicht & UV-beständig,acamp,4013556577076,3,XGA0302D,3,"[{""regal"":2,""code"":""XGA0302D"",""gang"":3,""lastUpdatedAt"":""2025-12-21T16:17:30.022Z"",""ebene"":""D"",""firstStoredAt"":""2025-12-21T16:17:30.022Z"",""zone"":""X"",""quantity"":3,""etage"":""GA""}]",0
4013556577120,SKU-7700165856,acamp Sonnenschirm Schutzhülle: Premium Ganzjahresschutz bis 400cm,acamp,4013556577120,11,XGA0302E,11,"[{""regal"":2,""code"":""XGA0302E"",""zone"":""X"",""etage"":""GA"",""quantity"":11,""lastUpdatedAt"":""2025-12-21T16:17:07.336Z"",""gang"":3,""firstStoredAt"":""2025-12-21T16:17:07.336Z"",""ebene"":""E""}]",0
4013556577144,SKU-0139597304,acamp Schutzhülle Cappa für Ampelschirme – Ganzjahresschutz bis 300cm,acamp,4013556577144,4,XGA0302E,4,"[{""ebene"":""E"",""gang"":3,""regal"":2,""code"":""XGA0302E"",""etage"":""GA"",""quantity"":4,""firstStoredAt"":""2025-12-21T16:16:53.823Z"",""zone"":""X"",""lastUpdatedAt"":""2025-12-21T16:16:53.823Z""}]",0
4013556592796,SKU-5928571392,acamp Strandkorb Schutzhülle Cappa – Optimaler Ganzjahresschutz,acamp,4013556592796,4,XGA0302E,4,"[{""etage"":""GA"",""regal"":2,""quantity"":4,""zone"":""X"",""ebene"":""E"",""gang"":3,""lastUpdatedAt"":""2025-12-21T16:16:37.641Z"",""code"":""XGA0302E"",""firstStoredAt"":""2025-12-21T16:16:37.641Z""}]",0
4016417025303,SKU-3586300359,EURO PART Ablaufschlauch 1.5m - Flexible Verlängerung für Wasch- & Spülmaschinen,EURO PART,4016417025303,6,XGA0303D,6,"[{""quantity"":6,""firstStoredAt"":""2025-12-21T16:19:54.916Z"",""etage"":""GA"",""code"":""XGA0303D"",""zone"":""X"",""ebene"":""D"",""lastUpdatedAt"":""2025-12-21T16:19:54.916Z"",""regal"":3,""gang"":3}]",0
4023103244009,SKU-9885764249,Vileda Wäscheständer King UNimate: 20m Trockenfläche für XXL Wäsche,Vileda,4023103244009,1,,,[],0
4027816273868,SKU-1137525213,febi bilstein Radlagersatz Opel PKW – Maximale Fahrsicherheit & Präzision,febi bilstein,4027816273868,1,XGA0106C,1,"[{""code"":""XGA0106C"",""lastUpdatedAt"":""2025-12-24T14:56:57.041Z"",""zone"":""X"",""regal"":6,""firstStoredAt"":""2025-12-24T14:56:57.041Z"",""etage"":""GA"",""gang"":1,""ebene"":""C"",""quantity"":1}]",0
4027816321033,SKU-1609202291,febi bilstein Ölfilter 32103: Maximaler Motorschutz für lange Lebensdauer,febi bilstein,4027816321033,1,XGA0106B,1,"[{""zone"":""X"",""regal"":6,""gang"":1,""lastUpdatedAt"":""2025-12-24T14:58:39.847Z"",""ebene"":""B"",""code"":""XGA0106B"",""quantity"":1,""etage"":""GA"",""firstStoredAt"":""2025-12-24T14:58:39.847Z""}]",0
4040074053454,SKU-0333689520,MEYLE Federbeinstützlager für Mercedes E-Klasse CLS – Maximale Fahrstabilität,MEYLE,4040074053454,2,XGA0106C,2,"[{""firstStoredAt"":""2025-12-24T15:53:19.222Z"",""zone"":""X"",""code"":""XGA0106C"",""regal"":6,""quantity"":2,""etage"":""GA"",""ebene"":""C"",""lastUpdatedAt"":""2025-12-24T15:53:19.222Z"",""gang"":1}]",0
4041248145418,SKU-8581934036,Elring Motordichtung 057.240 – Präzise Abdichtung für maximale Motorleistung,Elring,4041248145418,3,XGA0106C,3,"[{""lastUpdatedAt"":""2025-12-24T14:56:32.481Z"",""firstStoredAt"":""2025-12-24T14:56:32.481Z"",""regal"":6,""etage"":""GA"",""gang"":1,""quantity"":3,""ebene"":""C"",""zone"":""X"",""code"":""XGA0106C""}]",0
4041248434536,SKU-8529588380,Elring Motordichtungssatz 542.210 für maximale Motorzuverlässigkeit,Elring,4041248434536,1,XGA0106B,1,"[{""code"":""XGA0106B"",""ebene"":""B"",""etage"":""GA"",""firstStoredAt"":""2025-12-24T14:57:52.862Z"",""zone"":""X"",""quantity"":1,""regal"":6,""gang"":1,""lastUpdatedAt"":""2025-12-24T14:57:52.862Z""}]",0
4041248450864,SKU-7321712010,Elring Zylinderkopfdichtungssatz für maximale Motorleistung & Langlebigkeit,Elring,4041248450864,1,XGA0106B,1,"[{""ebene"":""B"",""etage"":""GA"",""quantity"":1,""code"":""XGA0106B"",""zone"":""X"",""lastUpdatedAt"":""2025-12-24T14:57:47.635Z"",""firstStoredAt"":""2025-12-24T14:57:47.635Z"",""gang"":1,""regal"":6}]",0
4041248450871,SKU-4780318569,Elring Zylinderkopfdichtung VW Motoren - Erstausrüsterqualität für Top-Leistung,Elring,4041248450871,1,XGA0106B,1,"[{""ebene"":""B"",""lastUpdatedAt"":""2025-12-24T14:57:41.738Z"",""firstStoredAt"":""2025-12-24T14:57:41.738Z"",""quantity"":1,""code"":""XGA0106B"",""regal"":6,""zone"":""X"",""gang"":1,""etage"":""GA""}]",0
4041248450888,SKU-1948960316,Elring Zylinderkopfdichtungssatz 150.172 für zuverlässige Motorabdichtung,Elring,4041248450888,1,XGA0106B,1,"[{""etage"":""GA"",""zone"":""X"",""regal"":6,""ebene"":""B"",""code"":""XGA0106B"",""firstStoredAt"":""2025-12-24T14:57:32.168Z"",""gang"":1,""lastUpdatedAt"":""2025-12-24T14:57:32.168Z"",""quantity"":1}]",0
4043962306996,SKU-8927251416,fischer Hammerbohrer SDS-plus Quattric II Ø 24mm für höchste Präzision,fischer,4043962306996,1,XGA0102B,1,"[{""ebene"":""B"",""lastUpdatedAt"":""2025-12-24T14:49:35.900Z"",""firstStoredAt"":""2025-12-24T14:49:35.900Z"",""etage"":""GA"",""zone"":""X"",""regal"":2,""code"":""XGA0102B"",""gang"":1,""quantity"":1}]",0
4046001447266,SKU-3016364513,VAICO Bremsscheibe V25-40006: Maximale Fahrsicherheit im 2er-Set,VAICO,4046001447266,1,XGA0106C,1,"[{""regal"":6,""zone"":""X"",""code"":""XGA0106C"",""firstStoredAt"":""2025-12-24T14:55:41.939Z"",""etage"":""GA"",""gang"":1,""quantity"":1,""ebene"":""C"",""lastUpdatedAt"":""2025-12-24T14:55:41.939Z""}]",0
4047059413104,SKU-6068074259,europet bernina Trinkbrunnen: Frisches & gefiltertes Wasser für gesunde Haustiere,europet bernina,4047059413104,1,XGA0201B,1,"[{""etage"":""GA"",""lastUpdatedAt"":""2025-12-21T16:18:14.094Z"",""gang"":2,""zone"":""X"",""ebene"":""B"",""quantity"":1,""code"":""XGA0201B"",""firstStoredAt"":""2025-12-21T16:18:14.094Z"",""regal"":1}]",0
4053479285122,SKU-0534200636,Würth Klingenschaber – Effiziente Rückstandsentfernung auf glatten Flächen,Würth,4053479285122,1,XGA0304A,1,"[{""firstStoredAt"":""2025-12-21T16:21:36.056Z"",""etage"":""GA"",""zone"":""X"",""quantity"":1,""ebene"":""A"",""lastUpdatedAt"":""2025-12-21T16:21:36.056Z"",""gang"":3,""regal"":4,""code"":""XGA0304A""}]",0
4063217299953,SKU-4885995332,Heidelberger BETTWAREN Bettdecke Grönland: Luxuriös warm & klimaregulierend,Heidelberger BETTWAREN,4063217299953,1,XGA0204A,1,"[{""lastUpdatedAt"":""2025-12-21T16:24:23.077Z"",""firstStoredAt"":""2025-12-21T16:24:23.077Z"",""zone"":""X"",""gang"":2,""etage"":""GA"",""regal"":4,""ebene"":""A"",""quantity"":1,""code"":""XGA0204A""}]",0
4069092282370,SKU-8382768165,Lawrence Grey Home Satin Bettwäsche-Set für luxuriösen Schlafkomfort,Lawrence Grey Home,4069092282370,1,XGA0201C,1,"[{""etage"":""GA"",""zone"":""X"",""firstStoredAt"":""2025-12-21T16:22:39.901Z"",""regal"":1,""code"":""XGA0201C"",""quantity"":1,""ebene"":""C"",""gang"":2,""lastUpdatedAt"":""2025-12-21T16:22:39.901Z""}]",0
4082300855241,SKU-1353005263,HELLA Anlasser 8EA 011 612-801 für zuverlässigen Motorstart 12V 1.2kW,HELLA,4082300855241,1,XGA0106C,1,"[{""firstStoredAt"":""2025-12-24T15:40:50.777Z"",""gang"":1,""regal"":6,""code"":""XGA0106C"",""quantity"":1,""lastUpdatedAt"":""2025-12-24T15:40:50.777Z"",""ebene"":""C"",""etage"":""GA"",""zone"":""X""}]",0
4250153617556,SKU-4649569251,Near Dark Metallpfeife Screen Prince – Eleganter Genuss für unterwegs,Near Dark,4250153617556,1,XGA0304A,1,"[{""zone"":""X"",""code"":""XGA0304A"",""regal"":4,""gang"":3,""etage"":""GA"",""quantity"":1,""lastUpdatedAt"":""2025-12-21T16:21:25.117Z"",""firstStoredAt"":""2025-12-21T16:21:25.117Z"",""ebene"":""A""}]",0
4250358601817,SKU-1964286581,Hofner HC504-7/8 Gitarren- & Bass-Zubehör für optimale Performance,Hofner,4250358601817,1,XGA0201A,1,"[{""regal"":1,""firstStoredAt"":""2025-12-24T14:47:25.139Z"",""lastUpdatedAt"":""2025-12-24T14:47:25.139Z"",""zone"":""X"",""code"":""XGA0201A"",""quantity"":1,""gang"":2,""etage"":""GA"",""ebene"":""A""}]",0
4250454729170,SKU-1784585629,adeo Verlag Kunstkarten-Set: Elegante Blumenmotive für herzliche Grüße,adeo Verlag,4250454729170,1,XGA0202D,1,"[{""zone"":""X"",""quantity"":1,""code"":""XGA0202D"",""firstStoredAt"":""2025-12-21T16:18:59.342Z"",""etage"":""GA"",""ebene"":""D"",""regal"":2,""gang"":2,""lastUpdatedAt"":""2025-12-21T16:18:59.342Z""}]",0
4251175827556,SKU-2902386366,EURO DRIVELINE Antriebswelle W135: Präzision & Langlebigkeit für Ihr Fahrzeug,EURO DRIVELINE,4251175821556,1,XGA0106D,1,"[{""regal"":6,""quantity"":1,""firstStoredAt"":""2025-12-24T15:53:29.826Z"",""ebene"":""D"",""etage"":""GA"",""gang"":1,""code"":""XGA0106D"",""zone"":""X"",""lastUpdatedAt"":""2025-12-24T15:53:29.826Z""}]",0
4260012351552,4260012351552,,,,0,,,[],
4260499852344,SKU-3933851468,BLAUPUNKT Autoradio VALENCIA 200 DAB+ BT – Digitalradio & Freisprechen,BLAUPUNKT,4260499852344,1,XGA0201B,1,"[{""firstStoredAt"":""2025-12-24T14:44:08.324Z"",""ebene"":""B"",""regal"":1,""gang"":2,""quantity"":1,""lastUpdatedAt"":""2025-12-24T14:44:08.324Z"",""code"":""XGA0201B"",""zone"":""X"",""etage"":""GA""}]",0
4260526472194,SKU-7139254013,DONBOLSO Slim Wallet Rome Herren Echtleder schlank mit Münzfach,DONBOLSO,4260526472194,1,XGA0102D,1,"[{""lastUpdatedAt"":""2025-12-24T14:45:29.228Z"",""quantity"":1,""ebene"":""D"",""zone"":""X"",""regal"":2,""etage"":""GA"",""gang"":1,""code"":""XGA0102D"",""firstStoredAt"":""2025-12-24T14:45:29.228Z""}]",0
4262405220148,SKU-2431535372,AZANO DESIGNS Katzentreppe 3er Set für sicheren Wandaufstieg,AZANO DESIGNS,4262405220148,1,XGA0301D,1,"[{""quantity"":1,""gang"":3,""code"":""XGA0301D"",""ebene"":""D"",""lastUpdatedAt"":""2025-12-21T16:23:07.594Z"",""firstStoredAt"":""2025-12-21T16:23:07.594Z"",""regal"":1,""etage"":""GA"",""zone"":""X""}]",0
4270001051905,SKU-9268872444,Spivo Topspin Trainer: Präzise Ballkontrolle & besseres Tennisspiel,Spivo,4270001051905,1,XGA0304B,1,"[{""lastUpdatedAt"":""2025-12-24T14:52:40.630Z"",""quantity"":1,""regal"":4,""gang"":3,""firstStoredAt"":""2025-12-24T14:52:40.630Z"",""ebene"":""B"",""etage"":""GA"",""zone"":""X"",""code"":""XGA0304B""}]",0
4710069708958,4710069708958,,,,0,,,[],
4806633149839,SKU-5619085780,ATE Bremsbeläge Original – Maximale Sicherheit & Zuverlässigkeit,ATE,14006633314036,1,XGA0106B,1,"[{""gang"":1,""etage"":""GA"",""quantity"":1,""firstStoredAt"":""2025-12-24T15:53:02.016Z"",""ebene"":""B"",""zone"":""X"",""lastUpdatedAt"":""2025-12-24T15:53:02.016Z"",""code"":""XGA0106B"",""regal"":6}]",0
4909500898543,SKU-2019632072,KYB Staubschutz-Kit 910158: Verlängert Stoßdämpfer-Lebensdauer effektiv,KYB,4909500898543,1,XGA0106B,1,"[{""gang"":1,""code"":""XGA0106B"",""firstStoredAt"":""2025-12-24T15:49:34.211Z"",""zone"":""X"",""quantity"":1,""regal"":6,""etage"":""GA"",""lastUpdatedAt"":""2025-12-24T15:49:34.211Z"",""ebene"":""B""}]",0
4960999610955,SKU-4090290612,Canon Toner 716 Schwarz Original für gestochen scharfe Laser-Ausdrucke,Canon,4960999610955,1,XGA0101B,1,"[{""lastUpdatedAt"":""2025-12-24T14:45:11.023Z"",""gang"":1,""ebene"":""B"",""quantity"":1,""zone"":""X"",""etage"":""GA"",""code"":""XGA0101B"",""firstStoredAt"":""2025-12-24T14:45:11.023Z"",""regal"":1}]",0
5060941713129,SKU-1031821522,Idea Factory Little Witch Nobeta Nintendo Switch Action-RPG Day One Edition,Idea Factory,5060941713129,1,XGA0202D,1,"[{""etage"":""GA"",""code"":""XGA0202D"",""firstStoredAt"":""2025-12-21T16:18:54.020Z"",""ebene"":""D"",""lastUpdatedAt"":""2025-12-21T16:18:54.020Z"",""regal"":2,""gang"":2,""zone"":""X"",""quantity"":1}]",0
56cdbf05-ce59-43c9-be15-6cc63c6dae93,SKU-0874304411,"Christian Ulbricht Wichtel Figur – Handgefertigt, zeitloser Charme für Ihr Zuhause",Christian Ulbricht,4016711018766,0,,,[],0
57380a89-b13c-470c-8167-aa51b43eb78e,SKU-5329605855,Ernie Ball E-Gitarrensaiten Regular Slinky 10-46: Ikonischer Slinky-Sound,Ernie Ball,4969913221,1,XGA0106B,1,"[{""lastUpdatedAt"":""2025-12-24T15:40:58.404Z"",""code"":""XGA0106B"",""regal"":6,""firstStoredAt"":""2025-12-24T15:40:58.404Z"",""quantity"":1,""zone"":""X"",""etage"":""GA"",""ebene"":""B"",""gang"":1}]",0
578c3341-658b-46d1-b419-b4ce60b534a5,SKU-9688561402,Oventrop Schrägsitzventil DN50 Totraumfrei für höchste Hygiene,Oventrop,,1,XGA0102D,1,"[{""etage"":""GA"",""zone"":""X"",""lastUpdatedAt"":""2025-12-24T17:48:27.870Z"",""ebene"":""D"",""regal"":2,""quantity"":1,""code"":""XGA0102D"",""gang"":1,""firstStoredAt"":""2025-12-24T17:48:27.870Z""}]",0
5900811829102,SKU-8404970287,Eurofirany Verdunkelungsvorhang Logan: Perfekte Verdunkelung & Privatsphäre,Eurofirany,5900811829102,1,XGA0201C,1,"[{""code"":""XGA0201C"",""lastUpdatedAt"":""2025-12-21T16:22:20.050Z"",""regal"":1,""zone"":""X"",""etage"":""GA"",""firstStoredAt"":""2025-12-21T16:22:20.050Z"",""quantity"":1,""ebene"":""C"",""gang"":2}]",0
5901532626087,SKU-1746174206,Polcar Außenspiegel Rechts Fiat Ducato 2006-2011 Elektrisch Beheizt,Polcar,5901532626087,1,XGA0106D,1,"[{""lastUpdatedAt"":""2025-12-24T14:55:27.204Z"",""gang"":1,""etage"":""GA"",""quantity"":1,""regal"":6,""zone"":""X"",""code"":""XGA0106D"",""ebene"":""D"",""firstStoredAt"":""2025-12-24T14:55:27.204Z""}]",0
5904270013775,SKU-5437386727,JPN Radlagersatz für KIA Sportage ix35 – Maximale Fahrsicherheit,JPN,5904270013775,1,XGA0106B,1,"[{""firstStoredAt"":""2025-12-24T14:59:37.016Z"",""zone"":""X"",""code"":""XGA0106B"",""regal"":6,""quantity"":1,""lastUpdatedAt"":""2025-12-24T14:59:37.016Z"",""gang"":1,""ebene"":""B"",""etage"":""GA""}]",0
5908242693453,SKU-6816251293,KAMOKA Radlagersatz für höchste Fahrsicherheit & optimalen Fahrkomfort,KAMOKA,5908242693453,1,XGA0106B,1,"[{""gang"":1,""ebene"":""B"",""firstStoredAt"":""2025-12-24T14:59:43.548Z"",""code"":""XGA0106B"",""lastUpdatedAt"":""2025-12-24T14:59:43.548Z"",""quantity"":1,""regal"":6,""zone"":""X"",""etage"":""GA""}]",0
6078c5f0-fb52-4c9c-b795-12a136ba6c79,SKU-2708761114,BITUXX Federspanner-Set Universal | Sicher & Präzise für Kfz-Wartung,BITUXX,4250394535152,1,XGA0101E,1,"[{""ebene"":""E"",""lastUpdatedAt"":""2025-12-24T14:53:31.058Z"",""gang"":1,""zone"":""X"",""etage"":""GA"",""quantity"":1,""regal"":1,""code"":""XGA0101E"",""firstStoredAt"":""2025-12-24T14:53:31.058Z""}]",0
61921411800024,SKU-6860111834,Qunsheng Haushaltshandschuhe: Robuster Naturlatex für optimalen Schutz,Qunsheng,61921411800024,0,,,[],0
