sku,produkt_name,BIN,BINs,initial_eingelagert_menge,initial_eingelagert_iso,initial_eingelagert_typ,initial_eingelagert_BIN,kommissionierung_stock_out_menge,offene_bestellungen_new_menge,kommissioniert_bestellungen_picked_menge,verpackt_bestellungen_packed_menge,offene_bestellungen_total_menge,aktuelle_menge_avycloud_physisch,aktuelle_menge_avycloud_inventory_field,avycloud_delta_inventory_minus_bins,avycloud_available_minus_new,baselinker_product_id,aktuelle_menge_baselinker,delta_baselinker_minus_avy_available_new,delta_baselinker_minus_avy_physisch,last_synced_iso
SKU-5729537867,"Astrid Lindgren: Wie gut, dass es Weihnachtsferien gibt, sagte Madita -",,,,,,,1,0,0,0,0,0,0,0,0,458475277,1,1,1,2026-01-30T20:13:18.658Z
SKU-6673544963,"PUMA Court Classico Damen Sneaker – Zeitloser Stil in Weiß, Gr. 38 aus Leder",XGA0302A,XGA0302A:1,,,,,0,0,0,0,0,1,0,-1,1,458456593,0,-1,-1,2026-02-02T20:24:55.987Z
SKU-6830410442,"FIREFIX Ofenrohr DN 180 mm, 1000 mm Länge, 2 mm Stahl, Senotherm Mattschwarz",XGA0102D,XGA0102D:1,,,,,0,0,0,0,0,1,0,-1,1,449822362,0,-1,-1,2026-02-02T20:24:56.866Z
SKU-8004480244,"Trotec TVE 16 Standventilator mit 50W Leistung, 3 Geschwindigkeitsstufen &",XGA0203E,XGA0203E:1,,,,,0,0,0,0,0,1,0,-1,1,449824682,0,-1,-1,2026-02-02T20:25:11.606Z
SKU-1041822612,Under Armour Herren HeatGear Armour Kompressionsshirt UA HG Comp SS –,XSGA0103A,XSGA0103A:1,1,2026-01-30T20:01:31.362Z,stock_in,XSGA0103A,0,0,0,0,0,1,1,0,1,504380894,1,0,0,2026-02-08T01:11:34.348Z
SKU-7225351886,"COSII Faltbarer Hundepool 120x30cm für große Hunde – Robust, Krallenresistent &",,,1,2025-12-27T13:09:17.329Z,stock_in,XGA0102D,1,0,1,0,1,0,0,0,0,467513684,0,0,0,2026-02-02T14:15:12.767Z
SKU-1844691476,Thule Landmark 70L Reiserucksack Darkest Blue – Robuster Trekkingrucksack für,,,,,,,1,0,1,0,1,0,0,0,0,465111088,0,0,0,2026-02-06T13:28:14.336Z
SKU-9129624671,Thule Chariot Cargo Rack 2 Gepäckträger für Doppel-Kinderanhänger –,,,1,2026-01-09T16:09:49.101Z,stock_in,XGA0301C,1,0,1,0,1,0,0,0,0,485930713,0,0,0,2026-02-09T12:37:48.967Z
SKU-2231367173,Bedrop Bee Cream Bienengiftsalbe hochdosiert – Kühlend & Wärmend mit 8,,,1,2026-01-20T18:09:34.731Z,stock_in,XGA0501D,1,0,1,0,1,0,0,0,0,491621018,0,0,0,2026-02-02T14:02:37.723Z
SKU-2250869990,HENMI Fahrradständer Universal Seitenständer für 24-29 Zoll Fahrräder – Robuste,,,1,2026-01-01T17:08:50.915Z,stock_in,XGA0105B,1,0,1,0,1,0,0,0,0,473049821,0,0,0,2026-02-07T19:20:22.382Z
SKU-1291336114,Under Armour UA Tech Graphic Shorts für Herren – Schnelltrocknende Sportshorts,XGA0203C,XGA0203C:1,1,2026-01-30T19:55:46.661Z,stock_in,XGA0203C,0,0,0,0,0,1,1,0,1,504381602,1,0,0,2026-02-08T01:11:36.155Z
SKU-4310621602,Pokémon Sammelordner Kollektion Karmesin & Purpur – Prismatische Entwicklungen,,,,,,,1,0,1,0,1,0,0,0,0,467385470,0,0,0,2026-01-30T19:59:32.261Z
SKU-7255766247,"Abercrombie & Fitch Polished Icon Herren T-Shirt 3er-Pack – 100% Baumwolle, Gr.",XGA0501D,XGA0501D:1,1,2026-01-09T16:05:26.815Z,stock_in,XGA0404A,0,0,0,0,0,1,1,0,1,484709398,1,0,0,2026-02-08T01:11:37.027Z
SKU-9947386415,Weber Smokey Mountain Cooker 37cm – Premium Holzkohle Räucherofen & Smoker für,XGA0203E,XGA0203E:1,,,,,0,0,0,0,0,1,1,0,1,467473381,1,0,0,2026-02-08T01:11:37.893Z
SKU-9400450055,"ALKAR 9202922 Außenspiegel Rechts Elektrisch 5-polig Konvex für Fiat Ducato,",XGA0403C,XGA0403C:1,1,2026-01-10T16:17:15.137Z,stock_in,XGA0403C,0,0,0,0,0,1,1,0,1,486559124,1,0,0,2026-02-08T01:11:38.777Z
SKU-4641833225,Pierburg Luftmassenmesser 7.22184.39.0 für AUDI VW Porsche - Original Qualität,XGA0106B,XGA0106B:1,,,,,0,0,0,0,0,1,1,0,1,467473379,1,0,0,2026-02-08T01:11:39.636Z
SKU-4629687923,"Sonodrum Zungentrommel - Premium Handgefertigt - 35,5cm - 15 Zungen - C-Dur für",XGA0104B,XGA0104B:1,1,2026-02-03T17:33:56.038Z,stock_in,XGA0104B,0,0,0,0,0,1,1,0,1,508515095,1,0,0,2026-02-08T01:11:40.505Z
SKU-4138606905,Stradivarius Damen Kunstleder Hose Schwarz High Waist Weites Bein EU 36,XGA0501B,XGA0501B:1,1,2026-01-26T21:02:40.141Z,stock_in,XGA0501B,0,0,0,0,0,1,1,0,1,499981015,1,0,0,2026-02-08T01:11:41.391Z
SKU-3166809997,"FIRE+ICE Herren Skihose SCOTT3-T – Wasserdicht, Atmungsaktiv & Nachhaltig für",XGA0501B,XGA0501B:1,1,2026-01-26T21:02:34.968Z,stock_in,XGA0501B,0,0,0,0,0,1,1,0,1,499981058,1,0,0,2026-02-08T01:11:42.257Z
SKU-6031918857,"SORAKO Exzenterschleifer TX103 – 350W, 125mm Schleifteller, 6",XGA0401C,XGA0401C:1,12,2026-01-20T18:10:39.902Z,stock_in,XGA0401C,13,0,7,4,11,1,1,0,1,491621064,1,0,0,2026-02-09T13:04:46.057Z
SKU-2014012963,3rd Avenue Akustikgitarre STX10ASBPK2 – Premium Set für Anfänger mit,,,,,,,1,0,1,0,1,0,0,0,0,467473380,0,0,0,2026-01-30T19:59:39.299Z
SKU-8559262370,"Tommy Hilfiger Jungen Langarmshirt – 100% Baumwolle, Dunkelblau, Rundhals,",XGA0203C,XGA0203C:1,1,2026-01-30T19:56:18.765Z,stock_in,XGA0203C,0,0,0,0,0,1,1,0,1,504404597,1,0,0,2026-02-08T01:11:44.040Z
SKU-2097206690,JARISO JSD 420 1-DIN Autoradio Bluetooth Freisprechanlage USB SD AUX MP3 Radio,,,1,2025-12-27T13:08:09.556Z,stock_in,XGA0106B,1,0,1,0,1,0,0,0,0,467513671,0,0,0,2026-01-31T23:56:04.091Z
SKU-4755521008,"Seguna Inkontinenz Pants Maxi Gr. L für Erwachsene, 100-135cm Hüftumfang, 20",XGA0401A,XGA0401A:4,4,2026-01-20T18:11:10.554Z,stock_in,XGA0401A,0,0,0,0,0,4,4,0,4,491621239,4,0,0,2026-02-08T01:11:45.001Z
SKU-1955199104,Levoit Core 400S Intelligenter True HEPA-Luftreiniger für Räume bis 90m² –,XGA0103D,XGA0103D:1,1,2026-02-03T17:32:43.256Z,stock_in,XGA0103D,0,0,0,0,0,1,1,0,1,508515067,1,0,0,2026-02-08T01:11:45.866Z
SKU-1890172110,Levoit Luftbefeuchter LUH-A251-WEU 17W 2.5L 20m NEU – Ultraschall Kaltnebel,,,,,,,1,0,1,0,1,0,0,0,0,465111098,0,0,0,2026-01-30T19:59:42.781Z
SKU-0279594894,Patriot P300 256GB M.2 NVMe SSD – PCIe Gen3 x4 Interne Solid State Drive für PC,XGA0403A,XGA0403A:1,1,2026-01-13T13:17:20.481Z,stock_in,XGA0403A,0,0,0,0,0,1,1,0,1,484709451,1,0,0,2026-02-08T01:11:46.748Z
SKU-4747629782,"Fitbit Charge 6 Fitness-Tracker in Koralle/Champagne Gold – Integriertes GPS,",XGA0501D,XGA0501D:1,1,2026-01-10T16:15:24.824Z,stock_in,XGA0404A,0,0,0,0,0,1,1,0,1,484709463,1,0,0,2026-02-08T01:11:47.679Z
SKU-3671103995,"SACHS 802 472 Reparatursatz Federbeinstützlager für Ford Fiesta V & Fusion,",XGA0106B,XGA0106B:1,,,,,0,0,0,0,0,1,1,0,1,467385468,1,0,0,2026-02-08T01:11:48.554Z
SKU-4955195373,LIQUI MOLY Motorbike 4T 10W-40 Hochleistungs-Mineralöl 4 Liter für 4-Takt,XGA0106D,XGA0106D:1,2,2026-01-02T14:21:43.802Z,stock_in,XGA0106D,1,0,1,0,1,1,1,0,1,473049813,1,0,0,2026-02-08T01:11:49.414Z
SKU-9143128563,"LINDENMANN Herren Gürtel aus echtem Büffelleder, 40mm breit, Dunkelbraun,",XGA0501C,XGA0501C:1,1,2026-01-24T13:53:07.948Z,stock_in,XGA0501C,0,0,0,0,0,1,1,0,1,499981363,1,0,0,2026-02-08T01:11:50.305Z
SKU-3023625088,WEBER TOOLS Profi Gewindereparaturset M14x1.5 – 15-teiliges Werkzeugset für,XGA0105B,XGA0105B:1,1,2026-01-01T17:30:59.709Z,stock_in,XGA0105B,0,0,0,0,0,1,1,0,1,473047241,1,0,0,2026-02-08T01:11:51.169Z
SKU-5246852701,RELION Insight LiFePO4 Lithium Batterie 51.2V 30Ah GC2 Hochleistungsakku für,XGA0106A,XGA0106A:1,1,2026-01-08T14:53:32.305Z,stock_in,XGA0106A,0,0,0,0,0,1,1,0,1,484714743,1,0,0,2026-02-08T01:11:52.110Z
SKU-1000000000,Under Armour UA Tech 2.0 Herren Sportshirt Kurzarm – Atmungsaktives,XSGA0103A,XSGA0103A:1,1,2026-01-27T18:02:12.909Z,stock_in,XSGA0103A,0,0,0,0,0,1,1,0,1,499981441,1,0,0,2026-02-08T01:11:52.970Z
SKU-8884319986,"Under Armour Damen Sport-BH Crossback Mid – Atmungsaktiv, mittlerer Halt für",XSGA0103A,XSGA0103A:1,1,2026-01-30T20:01:37.966Z,stock_in,XSGA0103A,0,0,0,0,0,1,1,0,1,504418609,1,0,0,2026-02-08T01:11:53.917Z
SKU-5722011324,Renogy 3000W/6000W 12V auf 230V Reine Sinus Wechselrichter Spannungswandler,XGA0404C,XGA0404C:1,1,2026-02-03T17:36:26.991Z,stock_in,XGA0404C,0,0,0,0,0,1,1,0,1,508515085,1,0,0,2026-02-08T01:11:54.791Z
SKU-7591395419,Premium ATE Bremsscheibe Vorderachse 314x25mm für Audi A4 B8 B9 A5 8T 8F Q5 8R,,,,,,,2,0,2,0,2,0,0,0,0,467473501,0,0,0,2026-01-31T23:56:02.249Z
SKU-7995751556,IKEA KALLAX Standregal 77x77cm Weiß – Flexibles Würfelregal aus Holzwerkstoff,,,,,,,2,0,2,0,2,0,0,0,0,467385469,0,0,0,2026-01-30T19:59:52.434Z
SKU-2064038107,"FNTCASE MagSafe Schutzhülle für Apple iPhone 15 Pro – Mattgrau, Stoßfest,",XGA0105B,XGA0105B:1,1,2026-01-05T14:39:03.014Z,stock_in,XGA0105B,0,0,0,0,0,1,1,0,1,476509916,1,0,0,2026-02-08T01:11:55.655Z
SKU-6705970836,BOOST TOWN Sportluftfilter Kit Offene Ansaugung für Hyundai i30N Vor-Facelift,,,1,2025-12-27T10:18:26.040Z,stock_in,XGA0106D,1,0,1,0,1,0,0,0,0,467380161,0,0,0,2026-02-02T14:15:34.263Z
SKU-3150649680,"RDX 6.5 Zoll Gewichthebergürtel für Krafttraining, Kreuzheben & Powerlifting –",XGA0403A,XGA0403A:1,1,2026-02-05T14:49:50.101Z,stock_in,XGA0403A,0,0,0,0,0,1,1,0,1,508515372,1,0,0,2026-02-08T01:11:56.590Z
SKU-4026350484,Patagonia Responsibill Herren T-Shirt Sienna Clay – Nachhaltig aus recycelter,XGA0501D,XGA0501D:1,1,2026-01-16T21:08:48.622Z,stock_in,XGA0404B,0,0,0,0,0,1,1,0,1,488457239,1,0,0,2026-02-08T01:11:57.462Z
SKU-7569423484,EUROPLAST Professional Metall Revisionsklappe RL2013 200x150mm - Wartungstür,XGA0403B,XGA0403B:1,1,2026-01-13T13:17:54.609Z,stock_in,XGA0403B,0,0,0,0,0,1,1,0,1,484714753,1,0,0,2026-02-08T01:11:58.345Z
SKU-0533124796,CAPAS Schnorchelflossen für Erwachsene & Kinder – Verstellbare Tauchflossen S/M,,,1,2026-01-01T17:09:12.732Z,stock_in,XGA0105A,1,0,1,0,1,0,0,0,0,473049898,0,0,0,2026-01-30T19:59:55.972Z
SKU-8073301246,BRUT Clothing REWORK BARBOUR V5 Herren Wachsjacke – Exklusives Patchwork Unikat,XGA0405A,XGA0405A:1,1,2026-01-16T20:59:55.592Z,stock_in,XGA0405A,0,0,0,0,0,1,1,0,1,488505117,1,0,0,2026-02-08T01:11:59.211Z
SKU-3918809518,"Osprey Aether 65 Herren Trekkingrucksack – Robuster, anpassbarer Rucksack für",,,1,2026-01-21T19:07:13.945Z,stock_in,XGA0301C,1,0,1,0,1,0,0,0,0,492850586,0,0,0,2026-02-06T13:27:37.445Z
SKU-8902752253,"ATE Bremsscheibe 24.0128-0248.1 für Hyundai & Kia Vorderachse – Ø 321mm, 28mm",XGA0106C,XGA0106C:1,1,2025-12-27T13:08:23.059Z,stock_in,XGA0106C,0,0,0,0,0,1,1,0,1,467513300,1,0,0,2026-02-08T01:12:00.097Z
SKU-4873494474,TRW DF4982 Bremsscheibe Hinterachse für Honda Accord Modelle – ECE R90,XGA0106C,XGA0106C:1,,,,,0,0,0,0,0,1,1,0,1,467473502,1,0,0,2026-02-08T01:12:00.965Z
SKU-1000000001,Shimano HB-RM35 Vorderradnabe Center Lock Schnellspanner 36 Loch Schwarz,XGA0501C,XGA0501C:1,1,2026-01-27T17:59:53.463Z,stock_in,XGA0501C,0,0,0,0,0,1,1,0,1,499981734,1,0,0,2026-02-08T01:12:01.841Z
SKU-0789448642,Kalahari Wassergläser Set 'Shades of Ocean' – 6x 300ml Trinkgläser aus Glas,XGA0202B,XGA0202B:1,1,2026-01-08T14:53:42.073Z,stock_in,XGA0202B,0,0,0,0,0,1,1,0,1,487361824,1,0,0,2026-02-08T01:12:02.727Z
SKU-4762036663,Intelamp Solarleuchte YL005-16A LED Außenleuchte mit Bewegungsmelder – 216,XGA0402B,XGA0402B:1,1,2026-01-13T13:16:25.666Z,stock_in,XGA0402B,0,0,0,0,0,1,1,0,1,487361823,1,0,0,2026-02-08T01:12:03.588Z
SKU-7736193220,RDINSCOS TC-100 Schichtdickenmessgerät für Lack- & Beschichtungsdicken auf,,,,,,,1,0,1,0,1,0,0,0,0,467473615,0,0,0,2026-01-30T20:00:00.379Z
SKU-6018787799,"VEVOR Vogelschutzgitter für Solarmodule – Metall, 270x270x225mm, Modell",XGA0104B,XGA0104B:1,1,2026-02-03T17:33:07.800Z,stock_in,XGA0104B,0,0,0,0,0,1,1,0,1,508515336,1,0,0,2026-02-08T01:12:04.461Z
SKU-0997953441,SKS GERMANY TOM 18 Multitool – 18-in-1 Fahrrad Minitool aus rostfreiem,XGA0501D,XGA0501D:1,1,2026-01-20T18:09:16.282Z,stock_in,XGA0501D,0,0,0,0,0,1,1,0,1,491621852,1,0,0,2026-02-08T01:12:05.322Z
SKU-6511282128,JMIYAV RGB Gaming Mauspad FGD-02 JD-80 Rosa 800x300mm – Große LED Mausunterlage,XGA0105B,XGA0105B:1,1,2026-01-01T17:08:39.636Z,stock_in,XGA0105B,0,0,0,0,0,1,1,0,1,473189266,1,0,0,2026-02-08T01:12:06.190Z
SKU-3806532980,"SHARGE Flow Mini Powerbank SP012 – 5000mAh USB-C mit 2x 12W Ausgang, Grau –",,,1,2025-12-31T15:55:17.913Z,stock_in,XQGA0101A,1,0,0,0,0,0,0,0,0,489024424,0,0,0,2026-01-30T20:00:04.856Z
SKU-1164276787,"VEVOR Kompressor Kühlbox 55L mit 2 Zonen, -20°C bis +20°C, 12V/24V/230V – Ideal",,,1,2026-01-21T19:06:59.675Z,stock_in,XGA0305A,1,0,1,0,1,0,0,0,0,492850567,0,0,0,2026-02-02T19:30:18.120Z
SKU-4603086544,URVOLAx UR73C 10.26 Zoll Tragbares Wireless CarPlay & Android Auto Display mit,,,1,2025-12-27T13:08:02.080Z,stock_in,XGA0106B,1,0,0,1,1,0,0,0,0,467513707,0,0,0,2026-02-09T12:41:29.891Z
SKU-0545917168,SPURTAR Präzisions Analog Messschieber 0-150mm aus Edelstahl nach DIN 862 –,,,1,2026-01-01T17:08:33.402Z,stock_in,XGA0105B,1,0,1,0,1,0,0,0,0,473189306,0,0,0,2026-02-07T11:12:51.796Z
SKU-0922374624,Magic: The Gathering Ätherdrift Commander-Deck – Ewige Macht (Englisch) –,,,,,,,1,0,1,0,1,0,0,0,0,465111103,0,0,0,2026-01-30T20:00:10.784Z
SKU-2511182802,SACHS Original Kupplungssatz mit Zweimassenschwungrad (ZMS) für Audi A3 & VW,,,1,2026-01-05T14:39:14.776Z,stock_in,XGA0106C,1,0,1,0,1,0,0,0,0,476175324,0,0,0,2026-01-31T23:56:06.832Z
SKU-5446097686,"Kecoolke Ultraschallreiniger KZ-F3 – 3.0L Edelstahl, 40kHz, 120W",XGA0101C,XGA0101C:1,1,2025-12-27T13:09:42.937Z,stock_in,XGA0101C,0,0,0,0,0,1,1,0,1,467514082,1,0,0,2026-02-08T01:12:07.953Z
SKU-5133324860,Patagonia Herren Go To Shirt – Kurzarmhemd aus 100% Bio-Baumwolle mit,XGA0502E,XGA0502E:1,1,2026-01-09T16:07:11.551Z,stock_in,XGA0404B,0,0,0,0,0,1,1,0,1,487361826,1,0,0,2026-02-08T01:12:08.819Z
SKU-2472780726,HOSIM X15 RC Auto 4WD Offroad Buggy 1:10 – Brushless High-Speed ca. 70 km/h,XGA0203D,XGA0203D:1,1,2026-02-04T18:28:35.698Z,stock_in,XGA0203D,0,0,0,0,0,1,1,0,1,508515332,1,0,0,2026-02-08T01:12:09.713Z
SKU-6761538665,"Original BMW 2er F45 Active Tourer Velours Fußmatten Anthrazit mit M2 Logo,",XGA0202A,XGA0202A:1,1,2025-12-27T09:51:00.332Z,stock_in,XGA0202A,2,0,0,0,0,1,1,0,1,467527271,1,0,0,2026-02-08T01:12:10.578Z
SKU-3050715048,HASKYY 16-teiliger Vielzahn Steckschlüsselsatz XZN 1/2 Zoll aus,,,1,2025-12-27T13:10:18.818Z,stock_in,XGA0101C,1,0,1,0,1,0,0,0,0,467514567,0,0,0,2026-01-30T20:00:14.320Z
SKU-3476455542,NINTH HALL Herren Crewneck Sweatshirt Gelb – Klassischer Rundhals Pullover,XGA0405A,XGA0405A:1,1,2026-01-16T20:59:05.302Z,stock_in,XGA0405A,0,0,0,0,0,1,1,0,1,489020645,1,0,0,2026-02-08T01:12:11.450Z
SKU-0704619212,Silicon Power A55 SSD 256GB SATA III 2.5 Zoll Internes Solid State Drive für,,,1,2026-01-13T13:17:27.823Z,stock_in,XGA0403A,1,0,1,0,1,0,0,0,0,487365277,0,0,0,2026-01-30T20:00:16.067Z
SKU-6617431534,"WUZECK Flexibles 100W Monokristallines Solarmodul für Wohnmobil, Boot, Garten &",XGA0403C,XGA0403C:2,1,2026-01-10T16:17:24.258Z,stock_in,XGA0403C,1,0,0,0,0,2,2,0,2,489020796,2,0,0,2026-02-08T01:12:12.361Z
SKU-3982672342,"Smart Car Radio 7 Zoll Android Autoradio mit GPS, Bluetooth, DSP & HD",XGA0106C,XGA0106C:1,,,,,0,0,0,0,0,1,1,0,1,467473504,1,0,0,2026-02-08T01:12:13.311Z
SKU-6634800828,Tommy Hilfiger Herren Pullover Premium Rundhals Baumwolle Kaschmir Dunkelblau,XGA0501D,XGA0501D:2,2,2026-01-16T21:08:38.344Z,stock_in,XGA0404B,0,0,0,0,0,2,2,0,2,489020673,2,0,0,2026-02-08T01:12:14.176Z
SKU-7824016126,LADYHOW 1215 Power Puller Handseilzug 4T – Robuster Greifzug Seilwinde mit 4000,XGA0404C,XGA0404C:1,1,2026-01-10T16:16:40.965Z,stock_in,XGA0404C,0,0,0,0,0,1,1,0,1,489021110,1,0,0,2026-02-08T01:12:17.834Z
SKU-4883385910,ZARA HOME Ovaler Couchtisch Massivholz Mangoholz – Moderner Wohnzimmer Tisch,XGA0106A,XGA0106A:1,1,2026-01-13T13:15:13.796Z,stock_in,XGA0106A,0,0,0,0,0,1,1,0,1,487365293,1,0,0,2026-02-08T01:12:18.710Z
SKU-7019404982,FALK Trettraktor New Holland T6 3080AB mit Anhänger – Robustes Kinderfahrzeug,,,1,2026-02-05T14:48:30.034Z,stock_in,XGA0102E,1,0,1,0,1,0,0,0,0,508515537,0,0,0,2026-02-09T12:40:30.175Z
SKU-5926653272,"Tefal Dual Easy Fry Heißluftfritteuse EY9018 – 8,3L Airfryer mit 2 Kammern,",,,1,2026-02-03T17:35:10.171Z,stock_in,XGA0103D,1,0,1,0,1,0,0,0,0,508515528,0,0,0,2026-02-07T11:23:12.778Z
SKU-7753504850,PerformaNat Calcium Bolus 8x110g für Milchkühe – Hochwirksame Futterergänzung,XGA0105B,XGA0105B:3,3,2026-01-01T17:05:30.832Z,stock_in,XGA0105B,3,0,3,0,3,3,3,0,3,473189030,3,0,0,2026-02-08T01:12:20.526Z
SKU-2941051529,TRW Bremsscheibe DF4866S Vorderachse für Audi A4 A5 A6 – Premium Qualität &,XGA0105C,XGA0105C:1,1,2026-01-05T14:38:38.230Z,stock_in,XGA0105C,0,0,0,0,0,1,1,0,1,476175269,1,0,0,2026-02-08T01:12:21.403Z
SKU-4092578845,Quooker POWERSWITCH EU Energiemanager für Kochendwasserhahn & CUBE –,XGA0404C,XGA0404C:1,1,2026-02-05T14:49:38.805Z,stock_in,XGA0404C,0,0,1,0,1,1,1,0,1,508515532,1,0,0,2026-02-08T01:12:22.296Z
SKU-4303462818,"GYS 252 Rutil Schweißelektroden Ø2,5mm, 4,6kg, 252 Stück – Hochwertige",XGA0106D,XGA0106D:1,1,2025-12-27T13:08:52.854Z,stock_in,XGA0106D,0,0,0,0,0,1,1,0,1,467514564,1,0,0,2026-02-08T01:12:23.796Z
SKU-6206509150,"Bosch Zusatzwasserpumpe 0392020073 – 12V, 500 l/h für VW, Audi, Ford, Seat,",,,,,,,1,0,1,0,1,0,0,0,0,467473614,0,0,0,2026-01-30T20:00:23.183Z
SKU-3877364215,DELSEY PARIS BELMONT PLUS 4-Rollen-Trolley 71cm Himbeere – Robust & Sicher,XGA0404A,XGA0404A:1,1,2026-01-21T19:16:00.666Z,stock_in,XGA0404A,0,0,0,0,0,1,1,0,1,492850561,1,0,0,2026-02-09T10:47:47.732Z
SKU-5868736484,TRW GDB1330 COTEC Bremsbelagsatz für die Hinterachse – Erstausrüsterqualität,XGA0106B,XGA0106B:1,,,,,0,0,0,0,0,1,1,0,1,467473506,1,0,0,2026-02-08T01:12:25.529Z
SKU-8229761001,"VEVOR Kompressor Kühlbox 20L – Tragbare Mini Kühlschrank für Auto, LKW, Camping",,,1,2026-01-21T19:06:16.694Z,stock_in,XGA0305B,1,0,1,0,1,0,0,0,0,492850690,0,0,0,2026-01-31T17:34:27.039Z
SKU-2267173123,MOTUL 8100 X-clean+ 5W-30 Vollsynthetisches Motoröl 1L für DPF & Katalysator,XGA0106C,XGA0106C:1,1,2026-01-02T14:21:29.597Z,stock_in,XGA0106C,0,0,0,0,0,1,1,0,1,473188306,1,0,0,2026-02-08T01:12:26.488Z
SKU-5700317364,Hansgrohe Vernis Blend 70 Waschtischarmatur – Einhebelmischer in Chrom für,,,1,2026-01-20T18:10:20.867Z,stock_in,XGA0502C,1,0,1,0,1,0,0,0,0,491621770,0,0,0,2026-01-30T20:00:26.716Z
SKU-2522561568,Asmodee Dobble Disney Edition Kartenspiel – Schnelles Reaktionsspiel für,,,1,2026-01-01T17:06:32.869Z,stock_in,XGA0105B,1,0,1,0,1,0,0,0,0,473188370,0,0,0,2026-02-07T11:15:29.347Z
SKU-8192040791,"Dexeryl Emolliente Pflegecreme 500g für trockene, atopische Haut &",,,3,2026-01-09T16:04:44.187Z,stock_in,XGA0404A,3,0,3,0,3,0,0,0,0,489021518,0,0,0,2026-01-30T20:00:30.397Z
