SKU,DocId,Titel,Brand,Produktart,CurrentCategoryId,CurrentBreadcrumb,CurrentRoot,Suggested1Id,Suggested1Breadcrumb,Suggested1Hit,Suggested2Id,Suggested2Breadcrumb,Suggested2Hit,Suggested3Id,Suggested3Breadcrumb,Suggested3Hit,TargetCategoryBreadcrumb,TargetCategoryId,Notes
SKU-7569423484,18023030150200,EUROPLAST Revisionsklappe Metall 180x230mm Weiß NEU,EUROPLAST,Revisionsklappe,,Baumarkt > Bauelemente & Treppen > Revisionsklappen,Baumarkt,113913,Beauty & Gesundheit > Mund- & Zahnpflege > Zahnweiß,1,179811,Sport > Fitness & Jogging > Bekleidung > Schweißbänder,1,81625,Sport > Weitere Ballsportarten > Tennis > Schweißbänder,1,,,missing_or_broad
SKU-8192040791,3573994006336,Dexeryl Pflegecreme 18747739 Babys Kinder Erwachsene 500g NEU,Dexeryl,Pflegecreme,,Beauty & Gesundheit > Hautpflege > Körperpflege > Körpercremes & -lotionen,Beauty & Gesundheit,260018,Kleidung & Accessoires > Babys,1,171146,Kleidung & Accessoires > Kinder,1,25945,Spielzeug > Kinderbadespaß > Bälle,1,,,missing_or_broad
SKU-0457243849,9368205000005,Blue Tomato Weste Gr. L Herren Polarfleece Schwarz NEU,Blue Tomato,Weste,,Bekleidung > Westen,Bekleidung,59353,Sport > Fitness & Jogging > Bekleidung > Herren > Jacken & Westen,2,181358,Sport > Camping & Outdoor > Bekleidung > Herren > Jacken & Westen,2,57988,"Kleidung & Accessoires > Herren > Herrenmode > Jacken, Mäntel & Westen",2,,,missing_or_broad
SKU-0606185267,8720672457583,PME Legend Herren Cargohose Olivgrün Gr. W30 L32 Stretch Twill Neu,PME Legend,Cargohose,,Bekleidung > Herren > Hosen > Cargohosen,Bekleidung,260012,Kleidung & Accessoires > Herren,1,10290,Uhren & Schmuck > Herrenschmuck,1,29585,Beauty & Gesundheit > Parfums > Herren,1,,,missing_or_broad
SKU-2693030055,f34aeded-183f-461f-8b6d-f899c863bddb,Adidas Jogginghose Gr. 2xS Herren Baumwollmischung Dunkelblau NEU,Adidas,Jogginghose,,Bekleidung > Herren > Hosen > Jogginghosen,Bekleidung,260012,Kleidung & Accessoires > Herren,1,10290,Uhren & Schmuck > Herrenschmuck,1,29585,Beauty & Gesundheit > Parfums > Herren,1,,,missing_or_broad
SKU-2733489996,4064886306904,Jack Wolfskin Outdoorjacke Gr. 3xL Herren Black Olive NEU,Jack Wolfskin,Outdoorjacke,,Bekleidung > Jacken,Bekleidung,59353,Sport > Fitness & Jogging > Bekleidung > Herren > Jacken & Westen,2,181358,Sport > Camping & Outdoor > Bekleidung > Herren > Jacken & Westen,2,185702,Kleidung & Accessoires > Herren > Herrenmode > Fitnessmode > Sportjacken,2,,,missing_or_broad
SKU-2808592829,8720672457736,PME Legend Herren Cargohose Olivgrün Gr. W36 L34 Stretch Twill Neu,PME Legend,Cargohose,,Bekleidung > Herren > Hosen > Cargohosen,Bekleidung,260012,Kleidung & Accessoires > Herren,1,10290,Uhren & Schmuck > Herrenschmuck,1,29585,Beauty & Gesundheit > Parfums > Herren,1,,,missing_or_broad
SKU-3476455542,2493370000004,NINTH HALL Sweatshirt Gr. M Unisex Baumwollmischung NEU,NINTH HALL,Sweatshirt,,Bekleidung > Herren > Sweatshirts & Hoodies,Bekleidung,155200,Kleidung & Accessoires > Kinder > Unisex für Kinder > Unisex-Mode > Kapuzenpullover & Sweatshirts,2,260986,Kleidung & Accessoires > Kinder > Unisex für Kinder > Unisex-Mode > Fitnessmode > Sport-Kapuzenpullover & -Sweatshirts,2,176985,Musik > Schallplatten,1,,,missing_or_broad
SKU-4208989688,7613136901818,Sloggi Hipster Gr. EU 6 Herren 96% Baumwolle 4% Elastan Mehrfarbig NEU,Sloggi,Hipster,,Bekleidung > Herren > Unterwäsche > Boxershorts & Slips,Bekleidung,260012,Kleidung & Accessoires > Herren,1,10290,Uhren & Schmuck > Herrenschmuck,1,29585,Beauty & Gesundheit > Parfums > Herren,1,,,missing_or_broad
SKU-4271597760,8720672457705,PME Legend Herren Cargohose Olivgrün Gr. W33 L34 Stretch Twill Neu,PME Legend,Cargohose,,Bekleidung > Herren > Hosen,Bekleidung,260012,Kleidung & Accessoires > Herren,1,10290,Uhren & Schmuck > Herrenschmuck,1,29585,Beauty & Gesundheit > Parfums > Herren,1,,,missing_or_broad
SKU-4874908260,5715574371849,Blend Langmantel Gr. M Herren Baumwolle Schwarz NEU,Blend,Langmantel,,Bekleidung > Herren > Jacken & Mäntel > Mäntel,Bekleidung,260012,Kleidung & Accessoires > Herren,1,10290,Uhren & Schmuck > Herrenschmuck,1,29585,Beauty & Gesundheit > Parfums > Herren,1,,,missing_or_broad
SKU-5198272869,ad41bd2c-b32b-4f84-8e10-70a3933b51e6,Street One Bekleidungsstück Gr. EUR 44-48 UnisexErwachsene Textil Neutral,Street One,Bekleidungsstück,,Bekleidung > Unisex-Bekleidung,Bekleidung,71237,Möbel & Wohnen > Kochen & Genießen > Küchentextilien,1,20657,Möbel & Wohnen > Kochen & Genießen > Küchentextilien > Schürzen,1,71239,Möbel & Wohnen > Kochen & Genießen > Küchentextilien > Sonstige,1,,,missing_or_broad
SKU-5526640633,3613379433101,Element Hemden Gr. L Herren Beige NEU,Element,,,Bekleidung > Hemden,Bekleidung,181361,Sport > Camping & Outdoor > Bekleidung > Herren > Hemden,2,185100,Kleidung & Accessoires > Herren > Herrenmode > Shirts & Hemden,2,80967,Kleidung & Accessoires > Herren > Herrenmode > Trachtenmode > Hemden,2,,,missing_or_broad
SKU-6033365611,5714487284420,VERO MODA Rock Gr. M Damen FauxSuede (Wildlederimitat NEU,VERO MODA,Rock,,Bekleidung > Damen > Röcke,Bekleidung,63864,Kleidung & Accessoires > Damen > Damenmode > Röcke,2,165163,Kleidung & Accessoires > Damen > Damenmode > Trachtenmode > Röcke,2,179824,Sport > Fitness & Jogging > Bekleidung > Damen > Röcke & Skorts,2,,,missing_or_broad
SKU-6634800828,295c4789-b314-43ba-a18c-274b6ac422ef,Tommy Hilfiger Pullover Gr.xL Herren Baumwolle Kaschmir Dunkelblau NEU,Tommy Hilfiger,Pullover,,Bekleidung > Pullover & Strickwaren,Bekleidung,261502,Sport > Golf > Golfbekleidung > Herren-Golfbekleidung > Pullover,2,11484,Kleidung & Accessoires > Herren > Herrenmode > Pullover & Strick,2,59392,Sport > Fitness & Jogging > Bekleidung > Herren > Sweatshirts & Kapuzenpullover,2,,,missing_or_broad
SKU-6703015625,c98d74fd-e1a0-42fd-ba6d-2ea526b6e643,Adidas Trainingshose Gr. M Herren Grün NEU,Adidas,Trainingshose,,Bekleidung > Herren > Hosen > Trainingshosen,Bekleidung,260012,Kleidung & Accessoires > Herren,1,10290,Uhren & Schmuck > Herrenschmuck,1,29585,Beauty & Gesundheit > Parfums > Herren,1,,,missing_or_broad
SKU-7167329167,8720672457712,PME Legend Herren Cargohose Olivgrün Gr. W34 L34 Stretch Twill Neu,PME Legend,Cargohose,,Bekleidung > Hosen > Cargohosen,Bekleidung,260012,Kleidung & Accessoires > Herren,1,10290,Uhren & Schmuck > Herrenschmuck,1,29585,Beauty & Gesundheit > Parfums > Herren,1,,,missing_or_broad
SKU-7255766247,0198303486543,Abercrombie Fitch T-Shirt Gr. L Herren 100% Baumwolle Mehrfarbig NEU,Abercrombie & Fitch,T-Shirt,,Bekleidung > T-Shirts,Bekleidung,185100,Kleidung & Accessoires > Herren > Herrenmode > Shirts & Hemden,2,15687,Kleidung & Accessoires > Herren > Herrenmode > Shirts & Hemden > T-Shirts,2,181138,Sport > Golf > Golfbekleidung > Herren-Golfbekleidung > Shirts & Tops,2,,,missing_or_broad
SKU-7707703650,4007066272026,SCHIESSER Pyjama Short Gr. M Damen 100% Baumwolle Dunkelblau NEU,SCHIESSER,Pyjama Short,,Bekleidung > Herren > Unterwäsche & Nachtwäsche > Schlafanzüge & Pyjamas,Bekleidung,181150,Sport > Golf > Golfbekleidung > Damen-Golfbekleidung > Shorts,2,11555,Kleidung & Accessoires > Damen > Damenmode > Shorts & Bermudas,2,59307,Sport > Fitness & Jogging > Bekleidung > Damen > Shorts & Radlerhosen,2,,,missing_or_broad
SKU-7977735758,8720245556002,Puma Boxershorts Gr.xL Herren Baumwolle Grau Schwarz NEU,Puma,Boxershorts,,Bekleidung,Bekleidung,260012,Kleidung & Accessoires > Herren,1,10290,Uhren & Schmuck > Herrenschmuck,1,29585,Beauty & Gesundheit > Parfums > Herren,1,,,missing_or_broad
SKU-8073301246,1852315181124,BRUT Clothing REWORK® BARBOUR V5 N° 084 Gr. XL,BRUT Clothing,Jacke,,Bekleidung > Jacken & Mäntel,Bekleidung,16053,Sport > Tauchen > Jackets,1,100147,Sport > Fußball > Bekleidung > Jacken,1,13354,Sport > Bootsport > Bekleidung > Jacken,1,,,missing_or_broad
SKU-8351368256,5063019974637,Regatta Shorts Gr. 56 Herren Golden Sand NEU,Regatta,Shorts,,Bekleidung > Hosen,Bekleidung,11504,Kleidung & Accessoires > Herren > Herrenschuhe > Sandalen,2,181139,Sport > Golf > Golfbekleidung > Herren-Golfbekleidung > Shorts,2,15689,Kleidung & Accessoires > Herren > Herrenmode > Shorts & Bermudas,2,,,missing_or_broad
SKU-8896806933,8720672452250,PME LEGEND Herren Langarm Poloshirt Blau Gr. M Neu,PME LEGEND,Poloshirt,,Bekleidung > Herren-T-Shirts & Hemden > Poloshirts,Bekleidung,185101,Kleidung & Accessoires > Herren > Herrenmode > Shirts & Hemden > Poloshirts,2,260012,Kleidung & Accessoires > Herren,1,10290,Uhren & Schmuck > Herrenschmuck,1,,,missing_or_broad
SKU-9245031381,8720672452137,PME LEGEND Herren Langarm Poloshirt Dunkelblau Gr. M Neu,PME LEGEND,Poloshirt,,Bekleidung > Herren > Poloshirts,Bekleidung,185101,Kleidung & Accessoires > Herren > Herrenmode > Shirts & Hemden > Poloshirts,2,260012,Kleidung & Accessoires > Herren,1,10290,Uhren & Schmuck > Herrenschmuck,1,,,missing_or_broad
SKU-3455080661,4007060000236,SCHIESSER Taillenslip Gr. 40 Damen 100% Baumwolle Weiß NEU,SCHIESSER,Taillenslip,,Bekleidung & Accessoires > Damenmode > Unterwäsche & Nachtwäsche > Slips,Bekleidung & Accessoires,260010,Kleidung & Accessoires > Damen,1,11848,Beauty & Gesundheit > Parfums > Damen,1,15724,Kleidung & Accessoires > Damen > Damenmode,1,,,missing_or_broad
SKU-7334344420,5714508372894,JACK JONES Socken Gr. Einheitsgröße Herren Schwarz NEU,JACK & JONES,Socken,,Bekleidung & Accessoires > Herren > Socken,Bekleidung & Accessoires,11511,Kleidung & Accessoires > Herren > Herrenmode > Socken,2,66095,Sport > Fitness & Jogging > Bekleidung > Herren > Socken,2,181362,Sport > Camping & Outdoor > Bekleidung > Herren > Socken,2,,,missing_or_broad
SKU-5602954541,9002759957889,EGLO Tischleuchte Schwarz-Gold 165mm 240V 60W NEU,EGLO,Tischleuchte,,Beleuchtung > Tischleuchte,Beleuchtung,110666,Uhren & Schmuck > Unikate & Goldschmiedearbeiten > Ringe,1,110634,Uhren & Schmuck > Unikate & Goldschmiedearbeiten > Fußketten,1,110645,Uhren & Schmuck > Unikate & Goldschmiedearbeiten > Ohrschmuck,1,,,missing_or_broad
SKU-2574433036,992c90f7-4b46-4306-8849-68b584459a4d,SUNLU 3D Drucker Filament PLA 1.75mm 0.02mm 1kg NEU,SUNLU,3D Drucker Filament,,Business & Industrie > 3D-Druck & Prototypen > 3D-Drucker-Filamente,Business & Industrie,183062,"Computer, Tablets & Netzwerk > 3D-Drucker & Zubehör",1,1245,"Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör > Drucker",1,11205,"Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör > Scanner",1,,,missing_or_broad
SKU-6536943755,f19c6d73-628b-424c-9d89-d950ebafb74b,ANYCUBIC 3D Drucker Filament AHPLPBW-102 PLA 1kg 1.75mm Hellweiß NEU,ANYCUBIC,3D Drucker Filament,,Business & Industrie > 3D-Druck & Prototyping > 3D-Drucker-Teile & Zubehör > 3D-Drucker-Filament,Business & Industrie,183062,"Computer, Tablets & Netzwerk > 3D-Drucker & Zubehör",1,1245,"Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör > Drucker",1,11205,"Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör > Scanner",1,,,missing_or_broad
SKU-0704619212,25004695020111,Silicon Power SSD SP256GBSS3A55S25 256GB 7mm sata NEU,Silicon Power,SSD,,"Computer, Tablets & Netzwerk > Laufwerke, Speichermedien & Rohlinge > Interne SSDs","Computer, Tablets & Netzwerk",177842,Sport > Radsport > Fahrradelektronik > Power Meters,1,159955,Musikinstrumente > Pro-Audio Equipment > Power Conditioner,1,67262,"Computer, Tablets & Netzwerk > Heimnetzwerke & Zubehör > PowerLAN-Netzwerke",1,,,missing_or_broad
SKU-5047615558,ddf71447-e7dd-4f92-afa1-9fc1b7fad114,Sunlu F-SL-PLA-PLA+-BK-5-S-AE 3D Drucker Filament 1.75mm 5kg Schwarz NEU,Sunlu,3D Drucker Filament,,"Computer, Tablets & Netzwerk > 3D-Druck & -Scan > 3D-Drucker-Filamente","Computer, Tablets & Netzwerk",183062,"Computer, Tablets & Netzwerk > 3D-Drucker & Zubehör",1,1245,"Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör > Drucker",1,11205,"Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör > Scanner",1,,,missing_or_broad
SKU-6099828388,76113588807201,Sloggi BH Gr. M Damen Baumwolle Elfenbein NEU,Sloggi,BH Top,,Damen > Shirts und Tops,Damen,260010,Kleidung & Accessoires > Damen,1,11848,Beauty & Gesundheit > Parfums > Damen,1,15724,Kleidung & Accessoires > Damen > Damenmode,1,,,missing_or_broad
SKU-2005525534,8720676510376,Hunkemöller Shapewear Body Damen Gr. M Schwarz NEU,Hunkemöller,Shapewear Body,,Damen Shapewear,Damen Shapewear,45279,Kleidung & Accessoires > Damen > Damenmode > Unterwäsche > Bodys,2,179315,Kleidung & Accessoires > Spezielle Anlässe > Erotik > Damenunterwäsche > Bodys & Catsuits,2,260010,Kleidung & Accessoires > Damen,1,,,missing_or_broad
SKU-1814556864,7613109117017,Sloggi Mini Slip GO Crush Damen Gr. S Baumwolle Multi-Colour NEU,Sloggi,Mini Slip,,Damen Unterwäsche >,Damen Unterwäsche,180946,Beauty & Gesundheit > Pflege- & Medizinischer Bedarf > Damenhygiene > Slipeinlagen,2,63854,"Kleidung & Accessoires > Damen > Damenmode > Unterwäsche > Slips, Strings & Panties",2,179317,"Kleidung & Accessoires > Spezielle Anlässe > Erotik > Damenunterwäsche > Slips, Strings & Pants",2,,,missing_or_broad
SKU-1018841553,7325720928841,ROCKANDBLUE Mantel Gr. 46 Damen Winter Memory Poly Recycled Light Stone NEU,ROCKANDBLUE,Mantel,,Damenbekleidung > Mäntel,Damenbekleidung,26346,"Sport > Wintersport > Bekleidung > Mäntel, Jacken & Westen",2,63862,"Kleidung & Accessoires > Damen > Damenmode > Jacken, Mäntel & Westen",2,21227,Sport > Wintersport > Eislaufen > Schlittschuhe > Damen Schlittschuhe,2,,,missing_or_broad
SKU-5749801311,4063544824545,HUGO Blazer Damen Elastan 5% Polyester 64% Viskose 31 NEU,HUGO,Blazer,,Damenbekleidung > Blazer,Damenbekleidung,260010,Kleidung & Accessoires > Damen,1,11848,Beauty & Gesundheit > Parfums > Damen,1,15724,Kleidung & Accessoires > Damen > Damenmode,1,,,missing_or_broad
SKU-0563915773,4061504016139,PENTHOUSE String Open Secret Damen Gr. L/xL Polyamid Schwarz NEU,PENTHOUSE,String,,Damenunterwäsche > String,Damenunterwäsche,63854,"Kleidung & Accessoires > Damen > Damenmode > Unterwäsche > Slips, Strings & Panties",2,179317,"Kleidung & Accessoires > Spezielle Anlässe > Erotik > Damenunterwäsche > Slips, Strings & Pants",2,182054,"Kleidung & Accessoires > Spezielle Anlässe > Vintage-Mode > Vintage-Mode für Damen > Unterwäsche > Slips, Strings & Pants",2,,,missing_or_broad
SKU-8205373469,4061504006000,Penthouse String Ouvert Hot Getaway Damen Gr. L/xL Schwarz NEU,Penthouse,String Ouvert,,Damenunterwäsche > Strings &,Damenunterwäsche,63854,"Kleidung & Accessoires > Damen > Damenmode > Unterwäsche > Slips, Strings & Panties",2,179317,"Kleidung & Accessoires > Spezielle Anlässe > Erotik > Damenunterwäsche > Slips, Strings & Pants",2,182054,"Kleidung & Accessoires > Spezielle Anlässe > Vintage-Mode > Vintage-Mode für Damen > Unterwäsche > Slips, Strings & Pants",2,,,missing_or_broad
SKU-1708759606,4007065867636,SCHIESSER Bustier 174926 Damen Gr. 42 95% Bio-Baumwolle 5% Elasthan Schwarz,SCHIESSER,Bustier,,Damenwäsche & Nachtwäsche > BHs & Bustiers,Damenwäsche & Nachtwäsche,11522,Kleidung & Accessoires > Damen > Damenmode > Unterwäsche > Korsagen & Bustiers,2,260010,Kleidung & Accessoires > Damen,1,11848,Beauty & Gesundheit > Parfums > Damen,1,,,missing_or_broad
SKU-1769600457,a306ee5a-9713-4ee0-8e51-a97b458577d5,Jesebang In-Ear Kopfhörer YT18 Schwarz NEU True Wireless Bluetooth 5.3,Jesebang,In-Ear Kopfhörer,,Elektronik & Computer > Audio & Hi-Fi > Kopfhörer,Elektronik & Computer,14985,"TV, Video & Audio > DJ-Equipment > DJ-Kopfhörer",1,183074,"TV, Video & Audio > TV-, Video- & Audio-Raritäten > Kopfhörer",1,112529,"TV, Video & Audio > Tragbare Geräte & Kopfhörer > Kopfhörer",1,,,missing_or_broad
SKU-1198160025,4251665310447,AMORELIE Mini-Vibrator Joy Shine 2.1-3.3cm Damen Silikon ABS 3.3cm Grün,AMORELIE,Mini-Vibrator,,Erotikartikel > Vibratoren,Erotikartikel,260010,Kleidung & Accessoires > Damen,1,11848,Beauty & Gesundheit > Parfums > Damen,1,38708,Auto & Motorrad: Fahrzeuge > Automobile > Mini,1,,,missing_or_broad
SKU-0997953441,2021181818184,SKS Germany Fahrrad Kompakt-Werkzeug TOM 18 NEU,SKS Germany,Fahrrad Kompakt-Werkzeug,,Fahrradzubehör > Fahrrad,Fahrradzubehör,177846,Sport > Radsport > Fahrradreparatur & Werkzeug > Werkzeug,2,177848,Sport > Radsport > Fahrradreparatur & Werkzeug > Sonstige,2,177845,Sport > Radsport > Fahrradreparatur & Werkzeug > Flickzeug,2,,,missing_or_broad
SKU-4762036663,1d5b4c7f-5b0b-42ac-a3a4-1ff4ce852794,intelamp Solarleuchte YL005-16A LED Außenleuchte Bewegungsmelder Garten Neu,Intelamp,Solarleuchte,,Garten > Solarleuchten,Garten,25863,Garten & Terrasse > Möbel,1,159913,Garten & Terrasse > Sonstige,1,29521,Garten & Terrasse > Bewässern,1,,,missing_or_broad
SKU-5660339205,48093417-f9ef-497f-96a7-e17838a5280f,Enders Holzkohlegrill Mason XL Schwarz Stahl NEU großer Grillfläche Ablagen,Enders,Holzkohlegrill,,Garten > Grills > Holzkohlegrill,Garten,31529,"Computer, Tablets & Netzwerk > Notebook- & Desktop-Zubehör > Diebstahlschutz",1,29985,Foto & Camcorder > Analoge Fotografie > Fotolabor > Vergrößerungsgeräte,1,179819,Sport > Fitness & Jogging > Krafttraining & Gewichte > Hantelablagen & -ständer,1,,,missing_or_broad
SKU-2424861616,43422328612861,RAGNARÖK Gartenmöbel Set S42 Polyrattan NEU Lounge Schwarz inkl. Polster,RAGNARÖK,Gartenmöbel Set,,Garten & Terrasse > Gartenmöbel-Sets,Garten & Terrasse,139849,Garten & Terrasse > Möbel > Loungemöbel & Sitzgruppen,1,33717,Auto & Motorrad: Teile > Autoteile & Zubehör > Beleuchtung > Blinkleuchten,1,20542,Garten & Terrasse > Bewässern > Bewässerungssysteme > Regner & Sprinkler,1,,,missing_or_broad
SKU-3748510561,6acf0526-65bd-4c5a-bd00-abe9bfb5f483,Casaria Gartenliege 105967 60cm Erwachsene Akazienholz Anthrazit NEU,Casaria,Gartenliege,,Garten & Terrasse > Gartenmöbel > Gartenliegen,Garten & Terrasse,22150,Spielzeug > Spiele > Nur für Erwachsene,1,1105,"Bücher & Zeitschriften > Fachbücher, Lernen & Nachschlagen > Studium & Erwachsenenbildung",1,181315,Sport > Weitere Ballsportarten > Baseball & Softball > Baseballschläger > Erwachsenen-Schläger,1,,,missing_or_broad
SKU-3855746092,4055333068964,PARKSIDE Benzin-Rucksack-Kombigerät PBRK 700 A1 1.5kW (2 PS Grün NEU,PARKSIDE,Benzin-Rucksack-Kombigerät,,Garten & Terrasse > Gartengeräte > Motor- & Elektrogeräte > Multifunktionsgeräte,Garten & Terrasse,181378,Sport > Camping & Outdoor > Rucksäcke,1,16081,Reisen > Reisekoffer & -taschen > Rucksäcke,1,26154,Sport > Sporttaschen & Rucksäcke > Sonstige,1,,,missing_or_broad
SKU-5134751391,20221705000003,Intelamp Solar-Außenleuchte Wandmontage 1200 LM MotionSensor Schwarz NEU,Intelamp,Solar-Straßenleuchte,,Garten & Terrasse > Beleuchtung > Solarleuchten,Garten & Terrasse,259283,Heimwerker > Erneuerbare Energie > Solarenergie,1,31772,Beauty & Gesundheit > Sonnenschutz & Solarium,1,31774,Beauty & Gesundheit > Sonnenschutz & Solarium > Sonnenschutz,1,,,missing_or_broad
SKU-2365442999,a18d09b8-ae6e-4114-9b82-f7cf388905d0,Unbekannt Gastronormbehälter Edelstahl 176mm 2.4 Liter 2.4L 150mm Silber,Unbekannt,,,Gastronomie & Hotellerie > Küchentechnik & -geräte > Gastronormbehälter,Gastronomie & Hotellerie,97093,Modellbau > Auto- & Verkehrsmodelle > Literatur & Kataloge,1,76144,Auto & Motorrad: Teile > Motorrad-Motorsport > MS-Literatur & -Accessoires,1,,,,,,missing_or_broad
SKU-4465485856,dd602152-c85f-4a41-b405-0b04e500834f,Mahlzeit Chafing Dish Montpellier CHAD13 Silber Edelstahl NEU Profi Set,Mahlzeit,Chafing Dish,,Gastronomie & Hotellerie > Küchengeräte & Ausstattung > Speisewärmer & Chafing Dishes,Gastronomie & Hotellerie,23650,Modellbau > Rennbahnen & Slotcars > Autos > Carrera Profi,1,259167,Heimwerker > Bodenbeläge & Fliesen > Bodenübergangsprofile,1,257997,Feinschmecker > Lebensmittel > Fertigspeisen & Fertiggerichte > Fertigmahlzeiten,1,,,missing_or_broad
SKU-8261682619,f0796a2b-7a12-4f55-b343-cf8e47e35ad0,TePe Interdentalbürsten 138826 Gr. 0.45mm Biobasierter Kunststoff Orange,TePe,Interdentalbürsten,,Gesundheit & Körperpflege > Mundpflege,Gesundheit & Körperpflege,159758,Beauty & Gesundheit > Mund- & Zahnpflege > Zahnseide & Interdentalbürsten,1,183186,Bastel- & Künstlerbedarf > Bastelmaterialien > Organisation & Aufbewahrung > Kunststoffboxen,1,,,,,,missing_or_broad
