category_id,breadcrumb,kaufland_category_id,match_method,match_key
6556158,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Kabel & Drähte,,,
6556159,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Lichtmaschinen,18601,suffix_1,Lichtmaschinen
6556160,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Schalter & Relais,,,
6556162,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Sicherungen,,,
6556164,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Sonstige,,,
6556165,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Terminals & Anschlüsse,,,
6551526,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning,,,
6556166,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Drehzahlbegrenzer,18531,suffix_1,Drehzahlbegrenzer
6556167,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Haubenlift,,,
6556168,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Kabel-Sets,,,
6556169,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Motorhalter verstärkt,,,
6556170,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Nockenwellenräder & Teile,,,
6556171,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Öl-Auffangbehälter,,,
6556172,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Öldeckel,,,
6556173,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Ölpumpe,,,
6556174,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Radlager verstärkt,,,
6556175,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Sonstige,,,
6556176,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Sport-Chip,,,
6556177,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Sport-Dichtungen & Ringe,,,
6556178,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Sport-Kolbenringe,,,
6556179,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Sport-Kurbelwellen,,,
6556180,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Sport-Motoren,,,
6556181,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Sport-Nockenwellen,,,
6556182,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Sport-Pleuel & Teile,,,
6556183,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Sport-Zylinderköpfe,,,
6556184,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Steuergeräte,18671,suffix_1,Steuergeräte
6556185,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Tuning Ölfilter,,,
6556186,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Tuning Software,,,
6556187,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Turboschläuche & Teile,,,
6556188,"Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Ventile, Ventilfeder & Sets",,,
6556189,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Wannen,,,
6556190,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Zahnriemen,17131,suffix_1,Zahnriemen
6556191,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Zylinderkopfschrauben,,,
6551527,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile,,,
6556192,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Auspuffanlagen,16861,suffix_1,Auspuffanlagen
6556193,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Batterien,,,
6556207,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Batterien,,,
6556208,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Bremsenteile,,,
6556210,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Fahrwerke & Rahmen,,,
6556213,"Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Ketten, Ritzel & Kupplungen",,,
6556214,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Kraftstoffversorgung,,,
6556215,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Kühlung,,,
6556216,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Lenkung,,,
6556217,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Motoren,,,
6556218,"Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Räder, Reifen & Naben",,,
6556219,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Radlager,,,
6556222,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Sitze & Zubehör,,,
6556224,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Sonstige,,,
6556225,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Zünd- & Glühanlagen,,,
6551528,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung,,,
6556227,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Armaturenbretter,,,
6556228,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Armlehnen,19851,suffix_1,Armlehnen
6556229,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Designschalter,,,
6556231,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Designspiegel,,,
6556232,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Einstiegsleisten & Türrahmen,,,
6556233,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Fensterkurbeln,,,
6556235,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Handbrems- & Schaltumrandung,,,
6556236,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Handbremshebel,,,
6556237,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Handbremshebelmanschetten,,,
6556239,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Hupen,18541,suffix_1,Hupen
6556240,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Instrumente & Tachoscheiben,,,
6556241,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Lenkradbezüge,19901,suffix_1,Lenkradbezüge
6556242,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Lenkräder & Naben komplett,,,
6556243,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Messgeräte & Anzeige,,,
6556244,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Schalthebel & -knäufe,,,
6556245,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Schaltmanschetten,,,
6556246,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Sitz-Hilfsrahmen & Teile,,,
6556247,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Sitzbezüge,,,
6556248,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Sonstige,,,
6556249,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Sportgurte & Polster,,,
6556250,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Sportsitze,,,
6556251,"Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Trittbretter, Pedalen, Leisten",,,
6556252,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Türpinsschlösser & -griffe,,,
6556253,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Zigarettenanzünder,59521,suffix_1,Zigarettenanzünder
6551529,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling,,,
6556254,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Aufkleber & Embleme,,,
6556255,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Außenspiegelkappen,,,
6556257,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Autofolien,,,
6556258,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Designantennen,,,
6556261,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Einarmwischer,,,
6556262,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Frontgrills & Renngitter,,,
6556263,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Haubenbras & Schutzteile,,,
6556264,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Heckspoiler & -flügel,,,
6556266,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Karosserie-Kits,,,
6556267,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Kennzeichenhalterungen,,,
6556268,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Motorhauben,18261,suffix_1,Motorhauben
6556269,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Radläufe,66971,suffix_1,Radläufe
6556270,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Scheinwerferblenden & -gitter,,,
6556271,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Seitenschweller,18231,suffix_1,Seitenschweller
6556272,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Sonnenblendstreifen,,,
6556273,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Sonstige,,,
6556275,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Stoßfängerabdeckungen,,,
6556276,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Stoßstangen,66911,suffix_1,Stoßstangen
6556277,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Tankdeckel,61881,suffix_1,Tankdeckel
6556278,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Tönungsfolien,17521,suffix_1,Tönungsfolien
6556279,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Türen,43461,suffix_1,Türen
6556280,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Türschutzleisten,,,
6556281,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Wind- & Regenabweiser,18361,suffix_1,Wind- & Regenabweiser
6556282,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Zierstreifen,,,
6551530,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung,,,
6556283,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Benzindruckregler,,,
6556284,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Brennstoffzelle,,,
6556285,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Drosselklappen,17341,suffix_1,Drosselklappen
6556286,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Einspritzpumpen,,,
6556287,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Kraftstofffilter,17171,suffix_1,Kraftstofffilter
6556288,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Kraftstoffpumpen,17391,suffix_1,Kraftstoffpumpen
6556289,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Kraftstofftank,,,
6556290,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Kraftstoffzuteiler,,,
6556291,"Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Leitungen, Röhre & Schläuche",,,
6556292,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Rückschlagventile,,,
6556293,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Schlingertöpfe,,,
6556294,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Sonstige,,,
6556295,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Sport-Vergaser,,,
6551531,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kühlung,,,
6556296,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kühlung > Ausgleichsbehälter,,,
6556297,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kühlung > Kühlereinfüllstutzen &-Deckel,,,
6556298,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kühlung > Kühlwasserschläuche & Schellen,,,
6556299,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kühlung > Lüfter & Lüftersets,,,
6556300,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kühlung > Ölkühler,17241,suffix_1,Ölkühler
6556301,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kühlung > Sonstige,,,
6556302,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kühlung > Thermostate & Steuerungen,,,
6556306,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kühlung > Wasserkühler,17261,suffix_1,Wasserkühler
6556309,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kühlung > Wasserpumpen,,,
6551532,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten,,,
6556310,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Angel Eyes/Standlichtringe,,,
6556311,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Blinker,18841,suffix_1,Blinker
6556313,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Bremsleuchte,,,
6556314,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Frontscheinwerfer,18861,suffix_1,Frontscheinwerfer
6556315,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > HID Sets,,,
6556316,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Innenraumbeleuchtungen,,,
6556317,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Kennzeichenleuchten,18871,suffix_1,Kennzeichenleuchten
6556318,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Lampen & LEDs,,,
6556319,"Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Linsen, Tönungen & Folien",,,
6556320,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Rück- & Bremsleuchten,18901,suffix_1,Rück- & Bremsleuchten
6556321,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Scheinwerfer,,,
6556322,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Seitenbegrenzungsleuchten,,,
6556323,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Sonstige,,,
6556324,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Stroboskope,,,
6556325,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Tagfahrlichter,,,
6556326,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Unterbodenleuchten,,,
6551533,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung,,,
6556328,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Bypass- & Ablassventile,,,
6556329,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Hitzeschilder & Schutz,,,
6556330,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Kompressoren,31131,suffix_1,Kompressoren
6556331,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Lachgasflaschen,,,
6556332,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Ladedruckanzeiger,,,
6556333,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Ladeluftkühler,,,
6556334,"Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Leitungen, Röhre & Schläuche",,,
6556335,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Luftversorgungsätze,,,
6556338,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Luftversorgungsysteme,,,
6556339,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Sonstige,,,
6556340,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Sport-Ansaugbrücken,,,
6556342,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Sportluftfilter,,,
6556343,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Tuning Airboxes,,,
6556344,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Turbolader,17111,suffix_1,Turbolader
6551534,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sonstige,,,
6551535,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe,,,
6556345,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Abgaskrümmer,17561,suffix_1,Abgaskrümmer
6556346,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Auspuffdichtungen,,,
6556347,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Endrohre & Endstücke,,,
6556348,"Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Hitzeschilder, Hüllen, Muffen",,,
6556349,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Katalysatoren,17601,suffix_1,Katalysatoren
6556350,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Komplette Auspuffanlagen,,,
6556351,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Schalldämpfer,,,
6556353,"Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Schellen, Klemmen & Flansche",,,
6556354,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Sonstige,,,
6556355,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Vorderrohre,,,
6556356,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Zwischenrohre,17571,suffix_1,Zwischenrohre
6551536,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Bremsenteile,,,
6556357,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Bremsenteile > Bremskit,,,
6556358,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Bremsenteile > Bremssattelabdeckungen,,,
6556359,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Bremsenteile > Bremssattellack,,,
6556360,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Bremsenteile > Hauptbremszylinder,17841,suffix_1,Hauptbremszylinder
6556361,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Bremsenteile > Leitungen & Schläuche,,,
