productId,sku,title,title_len,brand,category,barcode_count,invalid_barcodes,nonstandard_barcodes,flags
182c0593-5b66-4304-80fa-d1a56eb08210,SKU-0533124796,CAPAS Schnorchelflossen Travel Fins Grün Gr. S/M für Erwachsene & Kinder,72,CAPAS,Sport > Tauchen > ABC & Blei > Schnorchelflossen,0,,,barcode_missing
1900201150572,SKU-8902752253,"ATE Bremsscheibe 24.0128-0248.1 für Hyundai Kia, 321mm Durchmesser, 28mm Dicke",78,ATE,Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsscheiben,1,,,
1900201900525,SKU-4873494474,"TRW Bremsscheibe DF4982 für Honda Accord - 282mm Durchmesser, 9mm Dicke",71,TRW,Sport > Radsport > Fahrradteile & -komponenten > Bremsscheiben,1,,,
1e369bf5-e5e6-460c-b595-8a08a2bbaf2d,SKU-7736193220,RDINSCOS Schichtdickenmessgerät TC-100 µm/mil für Eisen- & Nichteisen-Metalle,77,RDINSCOS,Heimwerker > Werkzeuge > Messwerkzeuge & Messgeräte,1,,,
20220424000047,SKU-6511282128,JMIYAV Gaming Mauspad FGD-02 JD-80 Rosa Mikrofaser NEU Gr. 300 mm Computer,74,JMIYAV,"Computer, Tablets & Netzwerk > Notebook- & Desktop-Zubehör > Mauspads & Handgelenkauflagen",1,,,
20221212000014,SKU-3806532980,"SHARGE Powerbank Flow Mini SP012, 5000mAh, USB-C, 2x 5V/2.4A Ausgang Grau",73,SHARGE,Musikinstrumente > Gitarren & Bässe > Zubehör > Kabel,1,,,
20240129000072,SKU-4603086544,URVOLAX CarPlay Display UR73C 10.26 Zoll NEU Schwarz Drahtloses Auto-Monitore,77,URVOLAX,Auto-Monitore,1,,,category_id_missing|category_text_not_breadcrumb
2024080701046,SKU-0545917168,SPURTAR Messschieber 0-150mm NEU DIN 862 Präzision 0.02mm Business Industrie,76,SPURTAR,Heimwerker > Werkzeuge > Messwerkzeuge & Messgeräte > Messschieber,1,,,
2074133001002,SKU-0922374624,"Magic: The Gathering Commander Deck – Sofort spielbar, epische Zombie-Horden",76,Magic: The Gathering,Sammeln & Seltenes > Sammelkartenspiele/TCGs > TCG OVP Decks & Starter,1,,,
2290601009009,SKU-2511182802,SACHS Kupplungssatz 2290601009 für Audi A3 VW Golf 2.0 TDI 240mm mit ZMS NEU,76,SACHS,Auto & Motorrad: Teile > Autoteile & Zubehör > Getriebe & Antriebstechnik > Kupplungsteile & -sätze > Kupplungssätze,1,,,
2312388888888,SKU-5446097686,"kecoolke Ultraschallreiniger KZ-F3, 3.0L, 120W Ultraschall, 150W Heizung Silber",79,kecoolke,Haushalt & Wohnen > Reinigung > Ultraschallreiniger,1,,,category_id_missing
2452014202112,SKU-6761538665,BMW Fußmatten 2er F45 Active Tourer Velours Anthrazit 4-teilig 2452014202112,76,BMW,Auto & Motorrad: Teile > Autoteile & Zubehör > Innenausstattung,1,,,
247e01a5-fa99-4b01-be0a-fefbe97a145d,SKU-3050715048,"HASKYY Vielzahn Steckschlüsselsatz XZN CVN-16, 1/2 Zoll, 16-tlg (8-24mm)",72,HASKYY,Heimwerker > Handwerkzeuge > Werkzeugsets,1,,,category_id_missing
2810449728013,SKU-3982672342,Unbekannt Autoradio 6S9701P NEU Schwarz Android Motorrad Teile GPS Autoradios,77,Unbekannt,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Autoradios",1,,,
30c418b6-000b-47e9-8252-3478b4693cda,SKU-7753504850,PerformaNat Calcium Bolus für Milchkühe | Milchfieber-Prophylaxe | 8x110g | Neu,79,PerformaNat,Tierbedarf > Nutztiere > Rinderzubehör > Futterergänzungsmittel,0,,,barcode_missing|category_id_missing
31080024102010,SKU-2941051529,"TRW Bremsscheibe DF4866S für Audi Modelle, Schwarz lackiert, Premium Qualität,",78,TRW,Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsscheiben,1,,,
3154020086005,SKU-4303462818,"GYS Rutil Elektrode 252 186005 NEU Gr. 2,5 mm new Herst.-Nr. Ø2 4 6kg Business",78,GYS,Heimwerker > Werkzeuge > Elektrowerkzeug- & Druckluftgerät-Zubehör,1,,,
3165143111321,SKU-6206509150,Bosch Zusatzwasserpumpe 0392020073 für Bosch NEU Kühlwasserkreislauf 12V,72,Bosch,Auto & Motorrad: Teile > Spezielle Fahrzeug-Teile > Wohnmobil- & Wohnwagenteile & Zubehör > Wasser- & Sanitärsysteme > Wasserpumpen,1,,,
3322937241712,SKU-5868736484,TRW Bremsbelagsatz GDB1330 87 Hinterachse NEU Gr. 87 WVA 20960 Ford Skoda,73,TRW,Auto & Motorrad: Teile,1,,,category_too_broad|category_text_not_breadcrumb
3374650257716,SKU-2267173123,MOTUL Motoröl 8100 X-clean+ SAE 5W-30 Vollsynthetisch 1L ACEA C3 für DPF/Kat NEU,80,MOTUL,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl",2,,,
3558380099390,SKU-2522561568,Asmodee Dobble Disney Edition Kartenspiel 2-8 Spieler ab 6 Jahren Deutsch Neu,77,Asmodee,Kartenspiel,1,,,category_id_missing|category_text_not_breadcrumb
3662775243128,SKU-5896801162,KYOTO Motorradbatterie GTX5L-BS SLA 12V 4Ah Wartungsfrei für Motorrad Schwarz,77,KYOTO,Auto & Motorrad: Teile,1,,,category_too_broad|category_text_not_breadcrumb
3770010398363,SKU-6722573428,Umami Bento Lunch Box 1.2L Auslaufsicher Mikrowellengeeignet Bento Box,70,Umami,Möbel & Wohnen > Kochen & Genießen > Ordnung & Aufbewahrung > Brotdosen,1,,,
4003318620911,SKU-8850596846,"ABUS Faltschloss BORDO 6000K/120 BK SH, 120cm, Sicherheitslevel 10 Schwarz",74,ABUS,Sport > Radsport > Fahrradzubehör > Schlösser & Sicherheit,1,,,
4004133669093,SKU-0200958470,APS Glas Trinkflasche 1L – Auslaufsicher & Nachhaltig für puren Genuss,70,APS,Sport > Fitness & Jogging > Kleingeräte & Zubehör > Trinkflaschen,1,,,
4005414511612,SKU-4715041854,ESPRIT Bettwäsche-Set CHILL Streifen Blau 155x220 cm Baumwolle Renforcé OEKO-TEX,80,ESPRIT,Bettwäsche,1,,,category_id_missing|category_text_not_breadcrumb
4006094887004,SKU-1892441877,"PEBARO Holzbausatz Ritterburg Burgen & Schlösser für Kinder ab 6 Jahre, 61",74,PEBARO,Holzbausatz,1,,,category_id_missing|category_text_not_breadcrumb
4006387029807,SKU-5978798764,BRITA Wasserfilter-Kartusche P 1000 für reinen Geschmack & Geräteschutz,71,BRITA,Möbel & Wohnen > Kochen & Genießen > Wasseraufbereitung & Trinkwassersprudler > Wasserfilter-Kartuschen,1,,,
4006633310222,SKU-4616386559,"ATE Bremsscheiben Set 24.0112-0178.1 für Audi - 300mm Durchmesser, 12mm Dicke",77,ATE,Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsscheiben,2,,,
4009384341071,SKU-2859032659,"MFLAX Außenspiegelflagge Deutschland – Extrem stabil, einfache Montage",70,MFLAX,Spielzeug > Puppen & Zubehör,1,,,
4009384458304,SKU-4401248629,Fries GmbH Deutschland Fan Schal – Zeigen Sie Ihre Unterstützung stilvoll,73,Fries GmbH,Sport > Weitere Ballsportarten > Football > Fanartikel,1,,,
4010886516256,SKU-0963183292,GEDORE Nusssteckleiste 5162520 Silber Federstahl NEU Sichere Werkzeugordnung,76,GEDORE,Heimwerker > Werkzeuge > Handwerkzeuge > Schraubenschlüssel > Steckschlüssel,1,,,
4013556577007,SKU-5410787453,acamp Hängesessel Schutzhülle: Ganzjähriger Premium Wetterschutz Ø110x200cm,75,acamp,Garten & Terrasse > Möbel > Möbelschutzhüllen,1,,,
4013556577076,SKU-2724878095,acamp Schutzhülle 57707 Anthrazit Polyestergewebe NEU Gr. 160 cm Cappa,70,acamp,Garten & Terrasse,1,,,category_too_broad|category_text_not_breadcrumb
4013556577120,SKU-7700165856,acamp Schutzhülle 57712 Anthrazit Polyestergewebe NEU Gr. 200 cm Sonnenschirm,77,acamp,Garten & Terrasse > Gartenbauten & Sonnenschutz > Sonnenschirmzubehör,1,,,
4013556577144,SKU-0139597304,acamp Schutzhülle 57714 Anthrazit Polyester NEU Cappa Ampelschirme bis,70,acamp,Garten & Terrasse > Gartenbauten & Sonnenschutz > Sonnenschirmzubehör,1,,,
4013556592796,SKU-5928571392,acamp Schutzhülle 59279 Anthrazit Polyester NEU Strandkorb Cappa Optimaler,74,acamp,Garten & Terrasse > Möbel > Möbelschutzhüllen,1,,,
4013594537810,SKU-3704607179,Goki Murmelbahn Klangkaskade Holzspielzeug Soundeffekte ab 3 Jahre Neu,70,Goki,Holzspielzeug,1,,,category_id_missing|category_text_not_breadcrumb
4016417025303,SKU-3586300359,EURO PART Ablaufschlauch 1.5m - Flexible Verlängerung für Wasch- & Spülmaschinen,80,EURO PART,Haushaltsgeräte,1,,,category_too_broad|category_text_not_breadcrumb
4023103244009,SKU-9885764249,"Vileda Wäscheständer King UNimate Schwarz Stahl, Aluminium NEU 20m Trockenfläche",80,Vileda,Möbel & Wohnen > Haushalt > Wäsche > Wäscheständer,1,,,
4027816273868,SKU-1137525213,"febi bilstein Radlagersatz 27386 für Opel PKW, Vorderachse beidseitig NEU",73,febi bilstein,"Auto & Motorrad: Teile > Autoteile & Zubehör > Federung & Lenkung > Radlager, -naben & Buchsen",1,,,
4027816321033,SKU-1609202291,febi bilstein Ölfilter 32103 NEU PSA-Motoren 9818914980 Auto Motorrad Teile,75,febi bilstein,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Ölfilter,1,,,
4030434105633,SKU-9182883969,FLENNOR Radlagersatz FR490971 für Mercedes-Benz OE 1403300051 Passgenau NEU,75,FLENNOR,"Auto & Motorrad: Teile > Autoteile & Zubehör > Federung & Lenkung > Radlager, -naben & Buchsen",1,,,
4034144003036,SKU-3097738026,EMUK Anhängerspiegel 2-Punkt-Bügel Aluminium für Renault Kadjar Espace Scénic,77,EMUK,Anhängerspiegel,1,,,category_id_missing|category_text_not_breadcrumb
4040074053454,SKU-0333689520,MEYLE Federbeinstützlager Mercedes E-Klasse CLS 014 641 0004 Vorderachse Schwarz,80,MEYLE,Auto & Motorrad: Teile > Autoteile & Zubehör > Federung & Lenkung > Stoßdämpfer- & Federbeinhalterungen,1,,,
4040074122754,SKU-0945605804,MEYLE ATF DCG II Getriebeöl 277026 für Doppelkupplungsgetriebe DCT NEU,70,MEYLE,"Auto & Motorrad: Teile > Öle, Flüssigkeiten & Additive > Getriebeöle",1,,,category_id_missing
4040074137246,SKU-9078406333,"MEYLE Filter-Satz 112 330 0003/S für Audi, Seat, Skoda, VW 1.6/2.0 TDI Neu",74,MEYLE,Auto & Motorrad: Teile > Auto-Ersatz- & -Reparaturteile > Filter > Filter-Sets,1,,,category_id_missing
4040074266946,SKU-6074840029,"MEYLE Gelenksatz Antriebswelle 100 498 0057, radseitig, ABS-Ring, Schwarz",73,MEYLE,Antriebswellen & Gelenke,1,,,category_id_missing|category_text_not_breadcrumb
4041248145418,SKU-8581934036,Elring Motordichtung 057.240 Motorblock Dichtung für präzise Abdichtung Neu,75,Elring,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile,1,,,
4041248434536,SKU-8529588380,Elring Motordichtungssatz 542.210 Leckageschutz Erstausrüsterqualität Schwarz,77,Elring,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile > Dichtungssätze,1,,,
4041248450864,SKU-7321712010,Elring Zylinderkopfdichtungssatz 1212188109 für Elring Motor NEU 60 Auto,72,Elring,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile > Dichtungen & Dichtungsringe,1,,,
4041248450871,SKU-4780318569,Elring Zylinderkopfdichtung 150.162 für Volkswagen Motoren Schwarz/Bronze Neu,77,Elring,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile,1,,,
4041248450888,SKU-1948960316,Elring Zylinderkopfdichtungssatz 150.172 Motor Erstausrüsterqualität Neu,72,Elring,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile,1,,,
4043962306996,SKU-8927251416,fischer Hammerbohrer Quattric II SDS-plus Ø 24mm 450mm Quattric II 24/450/400,77,fischer,Heimwerker > Werkzeuge > Elektrowerkzeug- & Druckluftgerät-Zubehör > Bohrer-Bits,0,,,barcode_missing
4046001447266,SKU-3016364513,VAICO 2x Bremsscheibe voll hinten für Ford Kuga I Galaxy WA6 Land Rover Range,77,VAICO,Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsscheiben,1,,,
4047059413104,SKU-6068074259,europet bernina Trinkbrunnen: Frisches & gefiltertes Wasser für gesunde,71,europet bernina,Haustierbedarf > Katzen > Näpfe & Trinkbrunnen,1,,,
4052138007280,SKU-8414659629,Trotec HEPA Carbon Kombifilter für AirgoClean 170 E Luftreiniger Schwarz,72,Trotec,"Haushaltsgeräte > Kaffee-, Tee- & Espressomaschinen > Filter-Kaffeemaschinen",1,,,
4053202268477,SKU-2191775022,ZF Automatikgetriebeöl Lifeguard Fluid 8 1L TE-ML 11 für Pkw MPN 600083246 NEU,78,ZF,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Automatikgetriebeöl",1,,,
4053479285122,SKU-0534200636,Würth Klingenschaber – Effiziente Rückstandsentfernung auf glatten Flächen,74,Würth,Heimwerker > Werkzeuge > Handwerkzeuge,1,,,
4063217299953,SKU-4885995332,Heidelberger BETTWAREN Bettdecke Grönland: Luxuriös warm & klimaregulierend,75,Heidelberger BETTWAREN,Möbel & Wohnen > Kindermöbel & Wohnen > Bettwaren & -wäsche > Bettdecken,1,,,
4063541990120,SKU-4973901806,HUGO BOSS Zestart Herren Sweatjacke Beige Gr. 4XL Langarm Reißverschluss,72,HUGO BOSS,Herrenbekleidung > Sweatshirts & Hoodies,1,,,category_id_missing
4063544208888,SKU-1747542074,BOSS Herren T-Shirt 3er Pack Classic Crew Neck Regular Fit Bio-Baumwolle Gr. M,78,BOSS,Herren T-Shirts,1,,,category_id_missing|category_text_not_breadcrumb
4069092282370,SKU-8382768165,Lawrence Grey Home Bettwäsche-Set 40225462-004 Orange/Creme gestreift Gr. 135 x,79,Lawrence Grey Home,"Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Bettwäsche",1,,,
4078500055604,SKU-1803692252,"GARDENA Akku- & Ladegerät-Set 18V 2.5 Ah Starter-Kit PBA 18V/45 Neu, OVP besch.",79,GARDENA,Gartengeräte Zubehör,1,,,category_id_missing|category_text_not_breadcrumb
4082300855241,SKU-1353005263,"HELLA Anlasser 011 612-801 NEU 8EA 011 612-801 Silber, Schwarz Metall 12V",73,HELLA,Auto & Motorrad: Teile > Autoteile & Zubehör > Autoelektrik > Anlasser,2,,,
4100420037405,SKU-0694979094,LIQUI MOLY Motoröl 3740 NEU TOP TEC 4300 5W-30 1L MPN ACEA C2/C3 API Benzin,75,LIQUI MOLY,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl",1,,,
4100420037412,SKU-7902875633,"LIQUI MOLY Motoröl TOP TEC 4300 5W-30 5L für Benzin Diesel Motoren, MPN 3741 NEU",80,LIQUI MOLY,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl",1,,,
4100420206474,SKU-4309949637,LIQUI MOLY Motoröl 20647 NEU 5W-30 Longlife III Liter Auto Motorrad Teile,73,LIQUI MOLY,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl",1,,,
4250153617556,SKU-4649569251,Near Dark Pfeife Screen Prince 46020335 Schwarz Metall NEU Metallpfeife,71,Near Dark,Spielzeug > Puppen & Zubehör,1,,,
4250358601817,SKU-1964286581,Höfner Konzertgitarre HC504-7/8 Gr. 7/8 NEU Carmencita Musikinstrumente,71,Höfner,Musikinstrumente > Gitarren & Bässe > Zubehör > Teile > Pickups,1,,,
4250454729170,SKU-1784585629,adeo Verlag Kunstkarten-Set: Elegante Blumenmotive für herzliche Grüße,70,adeo Verlag,"Büro & Schreibwaren > Papier, Büro- & Schreibwaren > Papier, Hefte & Blöcke > Briefpapier & Karten",1,,,
4251175827556,SKU-2902386366,"EURO DRIVELINE Antriebswelle W135 - Präzisionsgefertigt, extrem belastbar",73,EURO DRIVELINE,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Getriebe > Antriebswellen,1,,,
4251806427775,SKU-8942698934,SCHIESSER Musselin Bettwäsche-Set Unisex Braun 135x200/80x80 cm Baumwolle Neu,77,SCHIESSER,Bettwäsche,1,,,category_id_missing|category_text_not_breadcrumb
4260443571086,SKU-9713309170,Best Netzwerkdose LAND001 RJ45 2-fach für Cat5e/Cat6 Aufputz/Unterputz Neu,74,Best,Netzwerkdosen,1,,,category_id_missing|category_text_not_breadcrumb
4260499852344,SKU-3933851468,BLAUPUNKT Autoradio VALENCIA 200 DAB+ BT BP2208M0007720 4x40W 1-DIN Schwarz,75,BLAUPUNKT,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Autoradios",1,,,
4260526472194,SKU-7139254013,DONBOLSO Slim Wallet Herren Vintage Braun 100% reines Rindsleder NEU Rome,73,DONBOLSO,Kleidung & Accessoires > Spezielle Anlässe > Vintage-Mode > Vintage-Accessoires > Geldbörsen & Etuis,1,,,
4260532290669,SKU-7226847075,"BBQ-Toro Gusseisen Grillpfanne 3,5L für Herd Backofen Grill 42,5x27cm NEU",73,BBQ-Toro,Grillpfanne,1,,,category_id_missing|category_text_not_breadcrumb
4262405220148,SKU-2431535372,"AZANO DESIGNS Katzentreppe Holz NEU Inklusive Montagematerial, Kratzfläche",74,AZANO DESIGNS,Haustierbedarf > Katzen > Kratzbäume & Möbel,1,,,
4262427090057,SKU-0135090467,purahelp Warnwesten Set 4x XL Erwachsene + 1x Kind EN ISO 20471 Gelb PH-WW-SET+1,80,purahelp,Sicherheit & Pannenhilfe,1,,,category_id_missing|category_text_not_breadcrumb
4262472110243,SKU-7909541265,Grana Home Bratpfanne Classic Line 24 cm Antihaft Edelstahl Schwarz Neu,71,Grana Home,Pfanne,1,,,category_id_missing|category_text_not_breadcrumb
4270001051905,SKU-9268872444,Spivo Topspin Trainer Tennis Trainingshilfe mit akustischem Feedback Schwarz,76,Spivo,Sport > Weitere Ballsportarten > Basketball > Trainingshilfen,1,,,
45005591930000,SKU-6587967689,Calvin Klein Herren Trunks 3er Pack Baumwoll-Stretch Classic Fit Low Rise Gr. L,79,Calvin Klein,Kleidung & Accessoires > Herrenmode > Unterwäsche > Boxershorts & Trunks,1,,,category_id_missing
4806633149839,SKU-5619085780,ATE Bremsbeläge 13.0460-7195.2 ECE R90 mit Prüfzeichen E90R-02A1163/0750 602880,79,ATE,Sport > Radsport > Fahrradteile & -komponenten > Bremsbeläge,1,,,
48fe16c6-bdc6-42f6-862e-fc9eb4962c93,SKU-3756924465,FEDOUR Heizstab HP-608 50W mit Temperaturregler für Süß- & Meerwasser 20-34°C,77,FEDOUR,Tierbedarf > Aquaristik > Aquarienheizungen,1,,,category_id_missing
4906958001464,SKU-2966583160,YUASA Motorradbatterie passgenau für YTZ10S NEU AGM 12V 9.1Ah 190A CCA,70,YUASA,Motorradbatterie,1,,,category_id_missing|category_text_not_breadcrumb
4909500898543,SKU-2019632072,KYB Staubschutz-Kit 910158 für KYB NEU Schwarz Gummi 2 Stoßdämpfer pro,70,KYB,Auto & Motorrad: Teile > Autoteile & Zubehör > Federung & Lenkung,2,,,
4960999610955,SKU-4090290612,"Canon Tonerkartusche 716 Schwarz, MPN 1980B002, Laser-Drucktechnologie",70,Canon,"Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör",1,,,
4dd32c21-2afe-4c13-b354-605f97e6f590,SKU-1306047599,LIQUI MOLY Hypoid Getriebeöl GL4/5 SAE 75W-90 1L für Schalt- & Achsgetriebe,75,LIQUI MOLY,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Getriebeöl",1,,,
5010996282880,SKU-4519918204,Hasbro Marvel X-Men Wolverine Actionfigur Marvel Legends Marvel's Nemesis BAF,77,Hasbro,Actionfigur,1,,,category_id_missing|category_text_not_breadcrumb
5011987005952,SKU-9425624573,Shell Helix Ultra ECT C3 5W-30 Motoröl 1L für Diesel & Otto Motoren NEU,71,Shell,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl",1,,,
5055350245538,SKU-9039614531,FOX Windschutz faltbar für Outdoor Kocher Camping schwarz NEU inkl. Tragetasche,79,FOX,"Auto & Motorrad: Teile > Quad-, SSV- & UTV-Teile & -Zubehör > Verkleidungen & Rahmen > Verkleidungen, Türen & Kotflügel > Windschutz- & Fensterscheiben",1,,,
5055350248140,SKU-7417485934,FOX Edges Kwik Change Pop-Up Gewichte für Karpfenangeln VS-XL Blei NEU CAC518,77,FOX,Angeln,1,,,category_id_missing|category_text_not_breadcrumb
5060570201660,SKU-8735317765,VaultX Deck Box Schwarz NEU Sammelkarten Exo-Tec Toploading 80+ Sammeln,71,VaultX,"Sammeln & Seltenes > Sammelkartenspiele/TCGs > TCG Zubehör > TCG Deck-Boxen, Blechdosen & Kartentrenner",1,,,
5060941713129,SKU-1031821522,Idea Factory Little Witch Nobeta Nintendo Switch Action-RPG Day One Edition,75,Idea Factory,Sport > Tauchen > Instrumente & Uhren > Konsolen,1,,,
52820776-34bb-4776-b728-06c521593d3a,SKU-1489693054,16er Pack Gastgeschenke Salbeigrün für Brautparty Hochzeit Deko Partyzubehör,76,Unbekannt,Möbel & Wohnen > Hochzeitsdekoration > Gastgeschenke,0,,,barcode_missing
54c1a366-798b-42bf-9014-95729468c623,SKU-4252129103,"purehelp Schuhüberzieher PH-SC-SET100, 500 Stück, Einheitsgröße, Blau, CPE",74,purehelp,Hygieneartikel,1,,,category_id_missing|category_text_not_breadcrumb
56cdbf05-ce59-43c9-be15-6cc63c6dae93,SKU-0874304411,"Christian Ulbricht Wichtel Figur – Handgefertigt, zeitloser Charme für Ihr",74,Christian Ulbricht,Möbel & Wohnen > Feste & Besondere Anlässe > Party- & Eventdekoration,1,,,
5702017153599,SKU-9272258811,"LEGO Duplo 10965 Badespaß: Schwimmender Tierzug für Kleinkinder ab 1,5 Jahren",77,LEGO,Spielzeug,1,,,category_too_broad|category_text_not_breadcrumb
5702017567501,SKU-9904325113,LEGO City Space Raumschiff & Asteroiden-Entdeckung Baukasten Set 60429 ab 4+,76,LEGO,Spielzeug > Bausets & Konstruktion > LEGO (R) Konstruktionsspielzeuge > LEGO (R) Komplette Sets & Packs,1,,,
5713487061253,SKU-3782469631,Spring Copenhagen Dekofigur Spirit Eichenholz Neu Natur 19x8.3x13cm Chresten,76,Spring Copenhagen,Dekofigur,1,,,category_id_missing|category_text_not_breadcrumb
5713487061277,SKU-1466301102,Spring Copenhagen Dekofigur Spot Rehkitz Holz braun handgefertigt von Chresten,78,Spring Copenhagen,Dekofigur,1,,,category_id_missing|category_text_not_breadcrumb
5715335047020,SKU-8921872481,Liewood Pete Drum Kindertrommel Buchenholz MDF Faune Green/Dove Blue Mix ab 12,78,Liewood,Kinderspielzeug,1,,,category_id_missing|category_text_not_breadcrumb
57380a89-b13c-470c-8167-aa51b43eb78e,SKU-5329605855,"Ernie Ball E-Gitarrensaiten Regular Slinky 3221 - Saitenstärke 10-46, 3er-Pack",78,Ernie Ball,Musikinstrumente,0,,,barcode_missing|category_too_broad|category_text_not_breadcrumb
578c3341-658b-46d1-b419-b4ce60b534a5,SKU-9688561402,Oventrop Y-Schmutzfänger 1121016 Messing DN50 PN25 G2 250µm Maschenweite Neu,76,Oventrop,"Heimwerker > Heizen, Klima & Sanitär > Wasser > Ventile",1,,,
