sku,docId,lastSource,status,before_len,after_len,before_issues,after_issues,before,after,reason
SKU-4973901806,4063541990120,job-improve,update,71,49,priority_a_missing_in_title|priority_a_not_in_first_60,,BOSS Zestart Herren Sweatjacke Beige Gr. 4XL Langarm Reißverschluss Neu,BOSS Sweatjacke 50511709 Herren Gr. 4xL Beige NEU,
SKU-3010724612,4063543580763,job-improve,update,73,56,priority_a_missing_in_title|priority_a_not_in_first_60,,HUGO BOSS Jeans P-Delaware3-1-20 Herren Slim Fit Dunkelblau Gr. 36/32 Neu,HUGO BOSS Jeans 50520195 Herren Gr. 36/32 Dunkelblau NEU,
SKU-1747542074,4063544208888,job-improve,update,76,57,priority_a_missing_in_title|priority_a_not_in_first_60,,BOSS Herren T-Shirt 3er Pack Classic Crew Neck Regular Fit Bio-Baumwolle NEU,BOSS T-Shirt 50517856 Herren Gr. M 100% Bio-Baumwolle NEU,
SKU-2733489996,4064886306904,job-improve,update,77,65,priority_a_missing_in_title|priority_a_not_in_first_60,,ALTENBERG 3-in-1 Outdoorjacke Herren Black Olive Gr. XL Polyester Wasserdicht,ALTENBERG Outdoorjacke A618644161A12 Herren Gr.xL Black Olive NEU,
SKU-8382768165,4069092282370,job-improve,update,79,75,priority_a_missing_in_title|priority_a_not_in_first_60,,Lawrence Grey Home Salin Bettwäsche-Set 135x200 cm Baumwollsatin Reißverschluss,Lawrence Grey Home Bettwäsche-Set 40225462-004 Gr. 135x200cm 100% Baumwolle,
SKU-1803692252,4078500055604,job-improve,update,77,41,priority_a_missing_in_title|priority_a_not_in_first_60,,GARDENA Akku Starter-Kit 18V 2.5 Ah Ladegerät AL 1810 CV für Gartengeräte NEU,GARDENA Akku- Ladegerät-Set 14910 18V NEU,
SKU-1353005263,4082300855241,title-normalize,update,73,50,duplicate_word,,"HELLA Anlasser 011 612-801 NEU 8EA 011 612-801 Silber, Schwarz Metall 12V","HELLA Anlasser 011 612-801 12V Silber, Schwarz NEU",
SKU-7902875633,4100420037412,job-improve,update,78,33,priority_a_missing_in_title|priority_a_not_in_first_60,,LIQUI MOLY Motoröl TOP TEC 4300 5W-30 HC-Synthese für Benzin Diesel Motoren 5L,LIQUI MOLY Motoröl 3741 5W 5L NEU,
SKU-1784585629,4250454729170,category-review-csv,update,70,51,priority_a_missing_in_title|priority_a_not_in_first_60,,adeo Verlag Kunstkarten-Set: Elegante Blumenmotive für herzliche Grüße,adeo Verlag Grußkarte 5572917 Papier Mehrfarbig NEU,
SKU-8942698934,4251806427775,category-review-csv,update,77,68,model_or_mpn_missing,model_or_mpn_missing,SCHIESSER Musselin Bettwäsche-Set Unisex Braun 135x200/80x80 cm Baumwolle Neu,SCHIESSER Bettwäsche-Set Erwachsene 100% Baumwolle 80x80cm Braun NEU,
SKU-7139254013,4260526472194,title-normalize,update,73,70,priority_a_missing_in_title|priority_a_not_in_first_60,,DONBOLSO Slim Wallet Herren Vintage Braun 100% reines Rindsleder NEU Rome,DONBOLSO Slim Wallet DONB-000205-PO363540-IST-TUR-05/24 Herren Vintage,
SKU-7226847075,4260532290669,category-review-csv,update,73,63,model_or_mpn_missing,model_or_mpn_missing,"BBQ-Toro Gusseisen Grillpfanne 3,5L für Herd Backofen Grill 42,5x27cm NEU","BBQ-Toro Grillpfanne 42,5cm 3,5 Liter Gusseisen 5x27cm 3,5L NEU",
SKU-2431535372,4262405220148,title-normalize,update,74,42,order_producttype_after_model,order_producttype_after_model,"AZANO DESIGNS Katzentreppe Holz NEU Inklusive Montagematerial, Kratzfläche",AZANO DESIGNS Katzentreppe Katzen Holz NEU,
SKU-0135090467,4262427090057,category-review-csv,update,80,62,priority_a_not_in_first_60,,purahelp Warnwesten Set 4x XL Erwachsene + 1x Kind EN ISO 20471 Gelb PH-WW-SET+1,purahelp Warnwesten Set PH-WW-SET+1 Kinder Erwachsene Gelb NEU,
SKU-7909541265,4262472110243,category-review-csv,update,71,38,order_producttype_after_model,order_producttype_after_model,Grana Home Bratpfanne Classic Line 24 cm Antihaft Edelstahl Schwarz Neu,Grana Home Bratpfanne 24cm Schwarz NEU,
SKU-6587967689,45005591930000,job-improve,update,71,59,priority_a_missing_in_title|priority_a_not_in_first_60,,Calvin Klein Trunks Herren 3er Pack Baumwoll-Stretch Low Rise Gr. L NEU,"Calvin Klein Trunks 000026640 Schwarz, Weiß, Marineblau NEU",
SKU-5619085780,4806633149839,unknown,update,79,67,priority_a_not_in_first_60,,ATE Bremsbeläge 13.0460-7195.2 ECE R90 mit Prüfzeichen E90R-02A1163/0750 602880,ATE Bremsbeläge 602880 Hochwertige Reibmaterialien Schwarz/Grau NEU,
SKU-2019632072,4909500898543,job-improve,update,70,38,duplicate_word,,KYB Staubschutz-Kit 910158 für KYB NEU Schwarz Gummi Stoßdämpfer Achse,KYB Staubschutz-Kit 910158 Schwarz NEU,
SKU-4519918204,5010996282880,job-improve,update,77,33,model_or_mpn_missing,model_or_mpn_missing,Hasbro Marvel Legends Wolverine X-Men Actionfigur Sammlerfigur ab 4 Jahre Neu,Hasbro Actionfigur Kunststoff NEU,
SKU-9425624573,5011987005952,job-improve,update,78,50,priority_a_missing_in_title|priority_a_not_in_first_60,,Shell Helix Ultra ECT C3 5W-30 Motoröl 1L für Diesel & Otto Motoren DPF-Schutz,Shell Motoröl 600071884 Deutschland GmbH 5W 1L NEU,
SKU-9039614531,5055350245538,job-improve,update,70,43,priority_a_missing_in_title|priority_a_not_in_first_60,,FOX Outdoor Windschutz faltbar Aluminium schwarz für Campingkocher NEU,FOX Windschutz CDW004 Aluminium Schwarz NEU,
SKU-7417485934,5055350248140,job-improve,update,78,50,priority_a_missing_in_title|priority_a_not_in_first_60,,FOX Edges Kwik Change Pop-Up Gewichte für Karpfenangeln Schneller Wechsel Blei,FOX Pop-Up Gewichte CAC518 Angler Blei Schwarz NEU,
SKU-8447826159,5059732709403,job-improve,update,70,75,priority_a_missing_in_title|priority_a_not_in_first_60,,"Ellesse Boxershorts Herren Schwarz Gr. M 95% Baumwolle, 5% Elastan NEU","Ellesse Boxershorts SZA02765 Herren Gr. M 95% Baumwolle, 5% Elastan Schwarz",
SKU-8735317765,5060570201660,title-normalize,update,71,38,model_or_mpn_missing,model_or_mpn_missing,VaultX Deck Box Schwarz NEU Sammelkarten Exo-Tec Toploading 80+ Sammeln,VaultX Deck Box 80+ Karten Schwarz NEU,
SKU-1489693054,52820776-34bb-4776-b728-06c521593d3a,job-improve,update,70,70,model_or_mpn_missing|priority_a_missing_in_title|priority_a_not_in_first_60,model_or_mpn_missing,Segarids Mini-Flaschen 16er Set Glas transparent für Gastgeschenke NEU,"Segarids Miniaturflasche, Gastgeschenk Erwachsene Glas Transparent NEU",
SKU-4252129103,54c1a366-798b-42bf-9014-95729468c623,job-improve,update,72,75,priority_a_missing_in_title|priority_a_not_in_first_60,,purehelp CPE Schuhüberzieher Hygienisch Blau Einheitsgröße 500 Stück NEU,purehelp Schuhüberzieher PH-SC-SET100 Unisex Gr. Einheitsgröße CPE Blau NEU,
SKU-0874304411,56cdbf05-ce59-43c9-be15-6cc63c6dae93,title-normalize,update,74,69,priority_a_missing_in_title|priority_a_not_in_first_60,,"Christian Ulbricht Wichtel Figur – Handgefertigt, zeitloser Charme für Ihr","Christian Ulbricht Figur 010876 14,5cm Erwachsene Holz Mehrfarbig NEU",
SKU-9272258811,5702017153599,job-improve,update,77,57,priority_a_missing_in_title|priority_a_not_in_first_60,,"LEGO Duplo Badespaß Tierzug Schwimmendes Badespielzeug für Kleinkinder ab 1,5",LEGO Badespielzeug 10965 Unisex Kunststoff Mehrfarbig NEU,
SKU-9904325113,5702017567501,job-improve,update,76,55,priority_a_missing_in_title|priority_a_not_in_first_60,,LEGO City Spaceship & Asteroid Entdeckung Baukasten Weltraum ab 4 Jahren Neu,LEGO Baukasten 6465033 Kinder Kunststoff Mehrfarbig NEU,
SKU-3782469631,5713487061253,category-review-csv,update,76,72,priority_a_missing_in_title|priority_a_not_in_first_60,,Spring Copenhagen Dekofigur Spirit Eichenholz Neu Natur 19x8.3x13cm Chresten,Spring Copenhagen Dekofigur 102386 19x8.3x13cm (HxBxL) Eichenholz 3x13cm,
SKU-7334344420,5714508372894,job-improve,update,74,63,priority_a_missing_in_title|priority_a_not_in_first_60,,JACK & JONES Socken Herren Schwarz Einheitsgröße Baumwollmix NEU 10er Pack,JACK JONES Socken 12172337 Herren Gr. Einheitsgröße Schwarz NEU,
SKU-8921872481,5715335047020,job-improve,update,75,67,priority_a_missing_in_title|priority_a_not_in_first_60,,Liewood Pete Kindertrommel Musikinstrument für Kleinkinder ab 12 Monate Neu,"Liewood Kindertrommel LW15104 Unisex Buchenholz, lackiertes MDF NEU",
SKU-4874908260,5715574371849,job-improve,update,77,59,priority_a_not_in_first_60|order_producttype_after_model,,Blend Oberteil Herren Schwarz Gr. M Baumwolle NEU 21301225ME BHKARSIN T-Shirt,Blend T-Shirt 21301225ME Herren Gr. M Baumwolle Schwarz NEU,
SKU-9688561402,578c3341-658b-46d1-b419-b4ce60b534a5,job-improve,update,73,49,priority_a_missing_in_title|priority_a_not_in_first_60,,Oventrop Y-Schmutzfänger DN50 PN25 G2 Messing 250µm für Wasseranlagen NEU,Oventrop Y-Schmutzfänger 1121016 Messing Gold NEU,
SKU-5753016417,5820082016105,barcode-rollback,update,74,50,duplicate_word,,"Audi Fußmatten Set Vorne, Hinten NEU Q5 8R Schwarz Velours Audi Q5 8R Nein","Audi Fußmatten Set Q5 8R Vorne, Hinten Schwarz NEU",
SKU-8404970287,5900811829102,job-improve,update,78,62,priority_a_missing_in_title|priority_a_not_in_first_60,,Edenfocity Logan Verdunkelungsvorhang Grau 155x270 cm Blickdicht Polyester Neu,Edenfocity Verdunkelungsvorhang 396297 100% Polyester Grau NEU,
SKU-6816251293,5908242693453,title-normalize,update,79,67,product_type_missing|model_or_mpn_missing|priority_a_not_in_first_60,product_type_missing|model_or_mpn_missing|priority_a_missing_in_title|priority_a_not_in_first_60,"KAMOKA Radlagersatz 5600063 für KIA, Hyundai, Silber/Rot Metall NEU Vorderachse","KAMOKA Radlagersatz 5600063 für KIA, Hyundai, Silber/Rot Metall NEU",
SKU-8684520981,59151383083624,category-review-csv,update,74,52,priority_a_missing_in_title|priority_a_not_in_first_60,,home24 Beistelltisch MANCHESTER 31x63x63 cm NEU Robustes Design Vielseitig,home24 Beistelltisch JI-05510-50 31cm 31x63x63cm NEU,
SKU-6274769815,60539f7f-f556-4103-bc2c-cc17f5a455c3,job-improve,update,77,44,brand_missing|priority_a_missing_in_title|priority_a_not_in_first_60,brand_missing,RJ45 Splitter Combiner für Netzwerk uPOE Gigabit Ethernet Schwarz 2er Set NEU,Unbekannt RJ45 Splitter/Combiner Schwarz NEU,
SKU-9041995991,6922738000364,job-improve,update,71,62,priority_a_not_in_first_60|order_producttype_after_model,,Nanyang NiuJin Dongfanghong Sneaker Gelb Gr. XL NEU Haushaltshandschuhe,Nanyang NiuJin Haushaltshandschuhe Dongfanghong Gr.xL Gelb NEU,
SKU-0735099796,6954850111741,category-review-csv,update,72,49,priority_a_missing_in_title|priority_a_not_in_first_60,order_producttype_after_model,Dong Fang Hong Latex Handschuhe 6 Stück - für optimalen Schutz & Komfort,Dong Fang Hong Haushaltshandschuhe Latex Gelb NEU,
SKU-9003235487,6957303824717,job-improve,update,75,53,priority_a_missing_in_title|priority_a_not_in_first_60,,"UGREEN Vertikaler Laptop Ständer LP258 für Notebooks bis 15,6 Zoll Grau NEU",UGREEN Vertikaler Laptop Ständer 20471 150mm Grau NEU,
SKU-9905416565,7290006780805,category-review-csv,update,78,48,model_or_mpn_missing,model_or_mpn_missing,"SodaStream Glaskaraffe 0,7L für CRYSTAL/PENGUIN - Spülmaschinenfest & Stilvoll","SodaStream Glaskaraffe 0,7L Glas Transparent NEU",
SKU-0225495136,7290116742380,unknown,update,76,74,order_producttype_after_model,,SodaStream Crystal 3.0 Wassersprudler: Frisches Sprudelwasser auf Knopfdruck,"SodaStream Wassersprudler Crystal 3.0 0.7L Edelstahl, Glas, Kunststoff NEU",
SKU-8906682806,7316577150929,title-normalize,update,75,35,duplicate_word,,SKF Schrägkugellager 7315 BEGAP 7315 BEGAP NEU hohe Drehzahlen Lasten Sport,SKF Schrägkugellager 7315 BEGAP NEU,
SKU-6480044357,7325549884427,script-condition-normalize,update,75,58,priority_a_missing_in_title|priority_a_not_in_first_60,,POC Fahrradhelm Axion Race MIPS Gr. M – MTB Schutz mit MIPS-Technologie NEU,POC Fahrradhelm PC107438595MED1 UnisexErwachsene Gr. M NEU,
SKU-6162434731,74429111967912,unknown,update,75,48,model_or_mpn_missing,model_or_mpn_missing,"KOTO Dartständer aus Metall, Höhenverstellbar, Werkzeuglose Montage Schwarz",KOTO Dartständer Dartsspieler Metall Schwarz NEU,
SKU-1703368789,7611916163227,title-normalize,update,77,39,priority_a_not_in_first_60,,Weleda Tagescreme: Festigende Anti-Aging Pflege für reife Haut mit 8005360055,Weleda Tagescreme 8005360055 Unisex NEU,
SKU-1055381582,7630751727135,script-condition-normalize,update,80,54,priority_a_missing_in_title|priority_a_not_in_first_60,,Nespresso Barista Recipe Kaffeegläser Set Klein 2 Stück für kreative Rezepte NEU,Nespresso Kaffeegläser Set 130706 Glas Transparent NEU,
SKU-3130743576,7649988997723,job-improve,update,77,75,priority_a_missing_in_title|priority_a_not_in_first_60,,MONASERA Lufterfrischer Halter Set Schwarz Aluminium für Auto Lüftung inkl. 2,"MONASERA Lufterfrischer Halter Set HA-MS-B1-232097 87,5x12,5x15,5mm (LxBxH)",
SKU-7200941317,76a7cc4f-9aa4-4149-ad6b-9cc4ef1dc1df,category-review-csv,update,74,35,model_or_mpn_missing,model_or_mpn_missing,Tesla Sonnenschutz Panorama-Glasdach Schwarz Mesh-Gewebe für Innenraum NEU,Tesla Sonnenschutz Dach Schwarz NEU,
SKU-5120624450,7b442083-e5d5-43c0-92ef-76c6432fe919,job-improve,update,79,69,priority_a_missing_in_title|priority_a_not_in_first_60,,ELUTO Sitzbezug Set Universal für PKW Vordersitze & Rückbank Schwarz Silber Neu,"ELUTO Sitzbezug Set 946921699 Vorne, Hinten Schwarz, Silber, Weiß NEU",
SKU-2801069572,8052694010041,unknown,update,78,36,priority_a_missing_in_title|priority_a_not_in_first_60,,LEGAMI MILANO Federmäppchen Kawaii Pinguin – Stilvolle Organisation für Stifte,LEGAMI MILANO Schulbedarf KA0015 NEU,
SKU-6543182729,8088208802015,job-improve,update,79,65,order_producttype_after_model,order_producttype_after_model,AR HOME Spannbettlaken 140x200 cm Beige Recycelte Baumwolle Fadendichte 144 Neu,"AR HOME Spannbettlaken Gr. 140x200cm 80% Baumwolle, 20% Recycelte",
SKU-3938831828,81715585302754,job-improve,update,78,62,priority_a_missing_in_title|priority_a_not_in_first_60,,PandaEar Baby Esslernset Silikon 2er Set Teller Becher Besteck Beige Taupe Neu,"PandaEar Esslernset X0023LNTRD Unisex Silikon Beige, Taupe NEU",
SKU-5764056320,81717285233178,job-improve,update,78,69,priority_a_missing_in_title|priority_a_not_in_first_60,,good morning Flanell Bettwäsche BERNARDUS Kariert Sand 155x220cm Baumwolle NEU,good morning Bettwäsche-Set 20104-F 100% Baumwolle 155x220cm Sand NEU,
SKU-5952589845,85020cb2-38be-42d7-a2d1-bb5aa92d9e36,unknown,update,73,72,brand_missing,brand_missing,Unbekannt Einhandfräse 3709 220 V Silber/Türkis/Schwarz Kunststoff/Metall,Unbekannt Einhandfräse 3709 220V Kunststoff/Metall Silber/Türkis/Schwarz,
SKU-8805500495,8712013813820,job-improve,update,73,51,priority_a_missing_in_title|priority_a_not_in_first_60,,Bo-Camp Mix & Match Melamin Geschirrset 16-teilig für 4 Personen Blau Neu,Bo-Camp Geschirrset 40-051-059-005 Melamin Blau NEU,
SKU-9132277490,8719076052258,title-normalize,update,71,52,order_producttype_after_model,order_producttype_after_model,"Victron Energy Batterieschalter passgenau für NEU Schwarz, Rot 275A/48V","Victron Energy Batterieschalter 48V Schwarz, Rot NEU",
SKU-8798489036,8719115000028,job-improve,update,78,75,priority_a_missing_in_title|priority_a_not_in_first_60,,Calvin Klein Boxershorts Herren Low Rise Mehrfarbig Gr. L Baumwoll-Stretch Neu,Calvin Klein Boxershorts U2664-4KU Herren Gr. L Baumwoll-Stretch Mehrfarbig,
SKU-3692000771,8720828172452,unknown,update,74,37,priority_a_missing_in_title|priority_a_not_in_first_60,,Cloudpillo Kissen für individuellen Schlafkomfort & optimale Unterstützung,Cloudpillo Kissen CPP10101-6 Grau NEU,
SKU-5644516401,8720892260901,job-improve,update,73,32,model_or_mpn_missing,model_or_mpn_missing,Supplend Nagelpilzbehandlung NEU Nagelpflege Stift Schmerzfreie Anwendung,Supplend Nagelpilzbehandlung NEU,
SKU-2629282795,8b41bda6-bc97-4d34-8644-f081c7d180cb,job-improve,update,71,42,model_or_mpn_missing,model_or_mpn_missing,Glosen Schubladenbox Stahl Silber abschließbar 7 Fächer Breite 35cm NEU,Glosen Schubladenbox 35cm Stahl Silber NEU,
SKU-0457243849,9368205000005,job-improve,update,73,63,priority_a_missing_in_title|priority_a_not_in_first_60,,Blue Tomato 23Reversible Polar Weste Herren Schwarz Gr. L Polarfleece Neu,Blue Tomato Weste BTFW2329 Herren Gr. L Polarfleece Schwarz NEU,
SKU-2439653897,9aff4795-bed9-4a09-ba98-77c2e138b511,title-normalize,update,74,42,duplicate_word,,FAST Kabelloses Ladegerät A1Pro A1Pro Kunststoff NEU 15W 9V Eingang Handys,FAST Kabelloses Ladegerät A1Pro 15W 9V NEU,
SKU-6469360404,9e35f9b4-5df8-4db7-9dd7-31e4491488ef,job-improve,update,71,53,model_or_mpn_missing,model_or_mpn_missing,Leevitex Spannbettlaken Gelb 100% Baumwolle NEU Jersey 90-100x200-220cm,Leevitex Spannbettlaken 100% Baumwolle 220cm Gelb NEU,
SKU-0000524938,SKU-0000524938,title-normalize,update,74,25,duplicate_word,,"Apple Maus Magic Mouse 2 A1657 A1657 Weiß NEU Multi-Touch, Wiederaufladbar",Apple Maus A1657 Weiß NEU,
SKU-0110888325,SKU-0110888325,bulk-table,update,76,74,priority_a_missing_in_title|priority_a_not_in_first_60,,ARKK Copenhagen Visuklass Leather Damen Sneaker White Pacific NEU OVP Gr. 37,ARKK Copenhagen Freizeitschuh Visuklass Leather Strat65 Damen Gr. 37 Leder,
SKU-0114729665,SKU-0114729665,job-improve,update,72,54,priority_a_missing_in_title|priority_a_not_in_first_60,,"Adidas Campus 00s Herren Sneaker Rot NEU Wildleder Atmungsaktiv, Komfort",Adidas Sneaker SKU-0114729665 Herren Wildleder Rot NEU,
