SKU,Title,Abteilung,Anlass,Besonderheiten,Erscheinungsjahr,EU-Schuhgröße,Farbe,Futtermaterial,Gewebeart,Herstellernummer,Herstellungsjahr,Innensohlenmaterial,Jahreszeit,Laufsohlenmaterial,Marke,Maßeinheit,Modell,Obermaterial,Produktart,Produktlinie,Schuhweite,Stil,Thema,UK-Schuhgröße,US-Schuhgröße,Verschluss
SKU-9289261489,Isabel Abedi: Lola Löwenherz – Fesselnde Abenteuer für junge Leser | 2007 |,283,Isabel Abedi,15 cm,Lola,Lola Löwenherz,2007,Gebundene Ausgabe,Abenteuer,465 g,15 cm,Dagmar Henze,15 cm,,Deutsch,,Deutsch,Eltern-Kind-Beziehung,"Loewe,Loewe Verlag Gmbh",,,,,,,
SKU-4743695203,"molino Bilderbuch Hannelore: Zauberhaftes Zirkusabenteuer, fördert Fantasie",,Frieder Stöckle,,,Hannelore: Zauberhaftes Zirkusabenteuer,,Gebundene Ausgabe,"Abenteuer,Kinder- & Jugendliteratur",200 g,25 cm,,20 cm,Belletristik,Deutsch,Bilderbuch,Deutsch,Freundschaft,,,,,,,,
SKU-5729537867,Oetinger Kinderbuch Madita: Weihnachtsferien für magische Vorlesestunden,,Astrid Lindgren,,,"Wie gut, daß es Weihnachtsferien gibt, sagte Madita.",,Gebundene Ausgabe,Kinder- & Jugendliteratur,300 g,26 cm,Ilon Wikland,21 cm,Belletristik,Deutsch,Bilderbuch,Deutsch,Freundschaft,,,,,,,,
SKU-2841208491,Olivia Huth: Hilfst du mir? Dann teilen wir! Freundschaft & Teilen ab 3 Jahren,32,Olivia Huth,23 cm,,Hilfst du mir? Dann teilen wir!,2020,Gebundene Ausgabe,Geschichte,438 g,23 cm,,23 cm,,Deutsch,Bilderbuch,Deutsch,Freundschaft,Südpol Verlag Gmbh,,,,,,,
SKU-8483173682,Reader's Digest Sachbuch: Weltgeschichte verstehen – Fundiertes Wissen,,Unbekannt,,,Weltgeschichte: Alles was man wissen muss.,Unbekannt,Gebundene Ausgabe,Sachbuch,1000 g,30 cm,,21 cm,Sachbuch,Deutsch,Sachbuch,Deutsch,Amerikanische Geschichte,Reader's Digest Association,,,,,,,
SKU-1040274599,SCM Bilderbuch: Mut & Freundschaft ab 3 Jahren – Stärkt soziale Kompetenzen,40,Kerstin Toepel,22 cm,,"Vom Kleinen Waschbären, der Sich Traute, Mutig zu Sein",2021,Gebundene Ausgabe,Abenteuer,493 g,22 cm,,22 cm,,Deutsch,Bilderbuch,Deutsch,Freundschaft,"Scm R. Brockhaus,Scm Brockhaus, R.",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU,Title,Besonderheiten,Farbe,Hersteller,Herstellernummer,Im Lieferumfang enthalten,Material,OE/OEM Referenznummer(n),Oldtimer-Teil,Produktart,Tuning- & Styling-Teil,Universelle Kompatibilität,,,,,,,,,,,,,,
SKU-6705970836,BOOST TOWN Hyundai Kona N Offene Ansaugung mit ABE | Rot | Nicht für I30N,ABE,Rot,Boost Town,1507000192029,"Montagesatz, Ansaugung Kit",Kunststoff,hyundai-kona-n-ansaugung,Nein,Ladeluftrohr Ansaugrohr Kit,Ja,Nein,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU,Title,Bremsscheibenart,Einbauposition,Hersteller,Herstellernummer,Im Lieferumfang enthalten,Lochkreis,Material,Oberflächenbeschaffenheit,OE/OEM Referenznummer(n),Oldtimer-Teil,Produktart,Tuning- & Styling-Teil,Universelle Kompatibilität,Weight,,,,,,,,,,,
SKU-4873494474,2x TRW DF4982 Bremsscheibe für HONDA DF4982 hinten Bremsscheibe Bremsanlage,Belüftet,Hinten,TRW,DF4982,,"114,3",Stahl,,,,Bremsscheibe,Nein,Nein,3,,,,,,,,,,,
SKU-7591395419,"ATE Bremsscheibe 24.0125-0184.1 für Audi, 314mm Durchmesser, 25mm Dicke",Belüftet,Vorne,ATE,24.0125-0184.1,Bremsbelagsatz,,,Rostvorbeugend,,Nein,Bremsscheibe,Nein,Nein,1,,,,,,,,,,,
SKU-8902752253,"ATE Bremsscheibe 24.0128-0248.1 für Hyundai Kia, 321mm Durchmesser, 28mm Dicke",Belüftet,Vorne,ATE,24.0128-0248.1,Bremsbelagsatz,112,,,0588 + 0569,,Bremsscheibe,Nein,Nein,1 kg,,,,,,,,,,,
SKU-4616386559,"ATE Bremsscheiben Set 24.0112-0178.1 für Audi, 300mm Durchmesser, 12mm Dicke",Belüftet,Hinten,31 Incorporated,24.0112-0178.1,Befestigung,,Grauguss,,,,Bremsscheibe,Nein,Nein,1,,,,,,,,,,,
SKU-3016364513,VAICO 2x Bremsscheibe voll hinten für Ford Kuga I Galaxy WA6 Land Rover Range,Belüftet,Vorne,Vaico,V25-40006,Befestigung,,,,,Nein,Bremsscheibe,Nein,Nein,1 kg,,,,,,,,,,,
